"Step","RewardsMean","Alien-v5 PPO NoisyNet - rewards/rewards_mean__MIN","Alien-v5 PPO NoisyNet - rewards/rewards_mean__MAX"
"16384","0.03480364382266998","0.03480364382266998","0.03480364382266998"
"32768","0.020258817821741104","0.020258817821741104","0.020258817821741104"
"49152","0.015311803668737411","0.015311803668737411","0.015311803668737411"
"65536","0.016009541228413582","0.016009541228413582","0.016009541228413582"
"81920","0.02024633251130581","0.02024633251130581","0.02024633251130581"
"98304","0.02484310232102871","0.02484310232102871","0.02484310232102871"
"114688","0.020184986293315887","0.020184986293315887","0.020184986293315887"
"131072","0.01757078804075718","0.01757078804075718","0.01757078804075718"
"147456","0.01538977399468422","0.01538977399468422","0.01538977399468422"
"163840","0.018290938809514046","0.018290938809514046","0.018290938809514046"
"180224","0.022820226848125458","0.022820226848125458","0.022820226848125458"
"196608","0.020213618874549866","0.020213618874549866","0.020213618874549866"
"212992","0.016079317778348923","0.016079317778348923","0.016079317778348923"
"229376","0.0195377916097641","0.0195377916097641","0.0195377916097641"
"245760","0.019097261130809784","0.019097261130809784","0.019097261130809784"
"262144","0.021878201514482498","0.021878201514482498","0.021878201514482498"
"278528","0.01899324357509613","0.01899324357509613","0.01899324357509613"
"294912","0.01879439875483513","0.01879439875483513","0.01879439875483513"
"311296","0.017830852419137955","0.017830852419137955","0.017830852419137955"
"327680","0.019565878435969353","0.019565878435969353","0.019565878435969353"
"344064","0.02207082509994507","0.02207082509994507","0.02207082509994507"
"360448","0.02047049254179001","0.02047049254179001","0.02047049254179001"
"376832","0.02032775804400444","0.02032775804400444","0.02032775804400444"
"393216","0.01865391433238983","0.01865391433238983","0.01865391433238983"
"409600","0.02210656926035881","0.02210656926035881","0.02210656926035881"
"425984","0.021710015833377838","0.021710015833377838","0.021710015833377838"
"442368","0.021197166293859482","0.021197166293859482","0.021197166293859482"
"458752","0.02187996730208397","0.02187996730208397","0.02187996730208397"
"475136","0.02227461338043213","0.02227461338043213","0.02227461338043213"
"491520","0.01969044655561447","0.01969044655561447","0.01969044655561447"
"507904","0.02211415395140648","0.02211415395140648","0.02211415395140648"
"524288","0.02037273347377777","0.02037273347377777","0.02037273347377777"
"540672","0.022482547909021378","0.022482547909021378","0.022482547909021378"
"557056","0.023663261905312538","0.023663261905312538","0.023663261905312538"
"573440","0.023110367357730865","0.023110367357730865","0.023110367357730865"
"589824","0.025520918890833855","0.025520918890833855","0.025520918890833855"
"606208","0.02504391223192215","0.02504391223192215","0.02504391223192215"
"622592","0.02275782823562622","0.02275782823562622","0.02275782823562622"
"638976","0.02310721017420292","0.02310721017420292","0.02310721017420292"
"655360","0.025333207100629807","0.025333207100629807","0.025333207100629807"
"671744","0.028625700622797012","0.028625700622797012","0.028625700622797012"
"688128","0.023798301815986633","0.023798301815986633","0.023798301815986633"
"704512","0.02400406263768673","0.02400406263768673","0.02400406263768673"
"720896","0.022097036242485046","0.022097036242485046","0.022097036242485046"
"737280","0.023469047620892525","0.023469047620892525","0.023469047620892525"
"753664","0.02411634474992752","0.02411634474992752","0.02411634474992752"
"770048","0.023302733898162842","0.023302733898162842","0.023302733898162842"
"786432","0.02595045603811741","0.02595045603811741","0.02595045603811741"
"802816","0.018675582483410835","0.018675582483410835","0.018675582483410835"
"819200","0.019183192402124405","0.019183192402124405","0.019183192402124405"
"835584","0.02101699635386467","0.02101699635386467","0.02101699635386467"
"851968","0.02104112319648266","0.02104112319648266","0.02104112319648266"
"868352","0.020969413220882416","0.020969413220882416","0.020969413220882416"
"884736","0.019927918910980225","0.019927918910980225","0.019927918910980225"
"901120","0.02059789188206196","0.02059789188206196","0.02059789188206196"
"917504","0.02145485021173954","0.02145485021173954","0.02145485021173954"
"933888","0.018033329397439957","0.018033329397439957","0.018033329397439957"
"950272","0.018289126455783844","0.018289126455783844","0.018289126455783844"
"966656","0.02084634266793728","0.02084634266793728","0.02084634266793728"
"983040","0.01959870383143425","0.01959870383143425","0.01959870383143425"
"999424","0.0217724721878767","0.0217724721878767","0.0217724721878767"
"1015808","0.020713547244668007","0.020713547244668007","0.020713547244668007"
"1032192","0.01914379745721817","0.01914379745721817","0.01914379745721817"
"1048576","0.02102499268949032","0.02102499268949032","0.02102499268949032"
"1064960","0.020865991711616516","0.020865991711616516","0.020865991711616516"
"1081344","0.021826375275850296","0.021826375275850296","0.021826375275850296"
"1097728","0.022231828421354294","0.022231828421354294","0.022231828421354294"
"1114112","0.020137988030910492","0.020137988030910492","0.020137988030910492"
"1130496","0.019162211567163467","0.019162211567163467","0.019162211567163467"
"1146880","0.02269895188510418","0.02269895188510418","0.02269895188510418"
"1163264","0.023691168054938316","0.023691168054938316","0.023691168054938316"
"1179648","0.019116943702101707","0.019116943702101707","0.019116943702101707"
"1196032","0.02023467794060707","0.02023467794060707","0.02023467794060707"
"1212416","0.02404358610510826","0.02404358610510826","0.02404358610510826"
"1228800","0.021527323871850967","0.021527323871850967","0.021527323871850967"
"1245184","0.02152172103524208","0.02152172103524208","0.02152172103524208"
"1261568","0.019158946350216866","0.019158946350216866","0.019158946350216866"
"1277952","0.02218942902982235","0.02218942902982235","0.02218942902982235"
"1294336","0.022254254668951035","0.022254254668951035","0.022254254668951035"
"1310720","0.020770452916622162","0.020770452916622162","0.020770452916622162"
"1327104","0.022238684818148613","0.022238684818148613","0.022238684818148613"
"1343488","0.020644504576921463","0.020644504576921463","0.020644504576921463"
"1359872","0.02146776020526886","0.02146776020526886","0.02146776020526886"
"1376256","0.021176563575863838","0.021176563575863838","0.021176563575863838"
"1392640","0.020198501646518707","0.020198501646518707","0.020198501646518707"
"1409024","0.019510969519615173","0.019510969519615173","0.019510969519615173"
"1425408","0.02129710093140602","0.02129710093140602","0.02129710093140602"
"1441792","0.02148349955677986","0.02148349955677986","0.02148349955677986"
"1458176","0.022251879796385765","0.022251879796385765","0.022251879796385765"
"1474560","0.0233420692384243","0.0233420692384243","0.0233420692384243"
"1490944","0.024574019014835358","0.024574019014835358","0.024574019014835358"
"1507328","0.023496899753808975","0.023496899753808975","0.023496899753808975"
"1523712","0.024676324799656868","0.024676324799656868","0.024676324799656868"
"1540096","0.023506255820393562","0.023506255820393562","0.023506255820393562"
"1556480","0.02272534929215908","0.02272534929215908","0.02272534929215908"
"1572864","0.02150176279246807","0.02150176279246807","0.02150176279246807"
"1589248","0.021267127245664597","0.021267127245664597","0.021267127245664597"
