"Step","RewardsMean","Alien-v5__ppo_rnd_envpool - rewards/rewards_mean__MIN","Alien-v5__ppo_rnd_envpool - rewards/rewards_mean__MAX"
"16384","0.015095097944140434","0.015095097944140434","0.015095097944140434"
"32768","0.010464003309607506","0.010464003309607506","0.010464003309607506"
"49152","0.007623941171914339","0.007623941171914339","0.007623941171914339"
"65536","0.00649565365165472","0.00649565365165472","0.00649565365165472"
"81920","0.006186019629240036","0.006186019629240036","0.006186019629240036"
"98304","0.005050703417509794","0.005050703417509794","0.005050703417509794"
"114688","0.004722630139440298","0.004722630139440298","0.004722630139440298"
"131072","0.004287432413548231","0.004287432413548231","0.004287432413548231"
"147456","0.004720630124211311","0.004720630124211311","0.004720630124211311"
"163840","0.004600713029503822","0.004600713029503822","0.004600713029503822"
"180224","0.003954231273382902","0.003954231273382902","0.003954231273382902"
"196608","0.003390880301594734","0.003390880301594734","0.003390880301594734"
"212992","0.0043512629345059395","0.0043512629345059395","0.0043512629345059395"
"229376","0.004175271838903427","0.004175271838903427","0.004175271838903427"
"245760","0.0045214444398880005","0.0045214444398880005","0.0045214444398880005"
"262144","0.0041552959010005","0.0041552959010005","0.0041552959010005"
"278528","0.004014937207102776","0.004014937207102776","0.004014937207102776"
"294912","0.0040808748453855515","0.0040808748453855515","0.0040808748453855515"
"311296","0.004153684712946415","0.004153684712946415","0.004153684712946415"
"327680","0.00419964361935854","0.00419964361935854","0.00419964361935854"
"344064","0.004362769424915314","0.004362769424915314","0.004362769424915314"
"360448","0.004051074851304293","0.004051074851304293","0.004051074851304293"
"376832","0.004506447818130255","0.004506447818130255","0.004506447818130255"
"393216","0.004302443005144596","0.004302443005144596","0.004302443005144596"
"409600","0.004743206314742565","0.004743206314742565","0.004743206314742565"
"425984","0.0037080408073961735","0.0037080408073961735","0.0037080408073961735"
"442368","0.0038974410854279995","0.0038974410854279995","0.0038974410854279995"
"458752","0.003920853137969971","0.003920853137969971","0.003920853137969971"
"475136","0.0037565261591225863","0.0037565261591225863","0.0037565261591225863"
"491520","0.0036127157509326935","0.0036127157509326935","0.0036127157509326935"
"507904","0.0037336761597543955","0.0037336761597543955","0.0037336761597543955"
"524288","0.0038568268064409494","0.0038568268064409494","0.0038568268064409494"
"540672","0.003774381708353758","0.003774381708353758","0.003774381708353758"
"557056","0.003939524292945862","0.003939524292945862","0.003939524292945862"
"573440","0.003792205359786749","0.003792205359786749","0.003792205359786749"
"589824","0.003976428881287575","0.003976428881287575","0.003976428881287575"
"606208","0.003807315370067954","0.003807315370067954","0.003807315370067954"
"622592","0.003646325785666704","0.003646325785666704","0.003646325785666704"
"638976","0.0035208691842854023","0.0035208691842854023","0.0035208691842854023"
"655360","0.0036601093597710133","0.0036601093597710133","0.0036601093597710133"
"671744","0.0035027111880481243","0.0035027111880481243","0.0035027111880481243"
"688128","0.0034526525996625423","0.0034526525996625423","0.0034526525996625423"
"704512","0.0035510032903403044","0.0035510032903403044","0.0035510032903403044"
"720896","0.00361230643466115","0.00361230643466115","0.00361230643466115"
"737280","0.0031624615658074617","0.0031624615658074617","0.0031624615658074617"
"753664","0.003180155763402581","0.003180155763402581","0.003180155763402581"
"770048","0.00319606252014637","0.00319606252014637","0.00319606252014637"
"786432","0.0033969844225794077","0.0033969844225794077","0.0033969844225794077"
"802816","0.0035337787121534348","0.0035337787121534348","0.0035337787121534348"
"819200","0.003579394891858101","0.003579394891858101","0.003579394891858101"
"835584","0.003751490032300353","0.003751490032300353","0.003751490032300353"
