"Step","RewardsMean","Alien-v5__bootstrapRLE - rewards/rewards_mean__MIN","Alien-v5__bootstrapRLE - rewards/rewards_mean__MAX"
"16384","0.015465991571545601","0.015465991571545601","0.015465991571545601"
"32768","0.008935978636145592","0.008935978636145592","0.008935978636145592"
"49152","0.006238570436835289","0.006238570436835289","0.006238570436835289"
"65536","0.0075537580996751785","0.0075537580996751785","0.0075537580996751785"
"81920","0.007999308407306671","0.007999308407306671","0.007999308407306671"
"98304","0.006029387935996056","0.006029387935996056","0.006029387935996056"
"114688","0.004853582940995693","0.004853582940995693","0.004853582940995693"
"131072","0.0044277990236878395","0.0044277990236878395","0.0044277990236878395"
"147456","0.005216107703745365","0.005216107703745365","0.005216107703745365"
"163840","0.0054501499980688095","0.0054501499980688095","0.0054501499980688095"
"180224","0.005126758012920618","0.005126758012920618","0.005126758012920618"
"196608","0.004085984081029892","0.004085984081029892","0.004085984081029892"
"212992","0.0037346850149333477","0.0037346850149333477","0.0037346850149333477"
"229376","0.005040185526013374","0.005040185526013374","0.005040185526013374"
"245760","0.004512101877480745","0.004512101877480745","0.004512101877480745"
"262144","0.0037875105626881123","0.0037875105626881123","0.0037875105626881123"
"278528","0.0031690560281276703","0.0031690560281276703","0.0031690560281276703"
"294912","0.003743558656424284","0.003743558656424284","0.003743558656424284"
"311296","0.004150541499257088","0.004150541499257088","0.004150541499257088"
"327680","0.00372772803530097","0.00372772803530097","0.00372772803530097"
"344064","0.0030748602002859116","0.0030748602002859116","0.0030748602002859116"
"360448","0.003581375814974308","0.003581375814974308","0.003581375814974308"
"376832","0.003588416613638401","0.003588416613638401","0.003588416613638401"
"393216","0.0033042076975107193","0.0033042076975107193","0.0033042076975107193"
"409600","0.0036754622124135494","0.0036754622124135494","0.0036754622124135494"
"425984","0.0034981551580131054","0.0034981551580131054","0.0034981551580131054"
"442368","0.0034107717219740152","0.0034107717219740152","0.0034107717219740152"
"458752","0.003129655495285988","0.003129655495285988","0.003129655495285988"
"475136","0.003105956595391035","0.003105956595391035","0.003105956595391035"
"491520","0.003553972812369466","0.003553972812369466","0.003553972812369466"
"507904","0.0032669021748006344","0.0032669021748006344","0.0032669021748006344"
"524288","0.003202345222234726","0.003202345222234726","0.003202345222234726"
"540672","0.0031374823302030563","0.0031374823302030563","0.0031374823302030563"
"557056","0.0030716394539922476","0.0030716394539922476","0.0030716394539922476"
"573440","0.0035151978954672813","0.0035151978954672813","0.0035151978954672813"
"589824","0.0034279876854270697","0.0034279876854270697","0.0034279876854270697"
"606208","0.0030801640823483467","0.0030801640823483467","0.0030801640823483467"
"622592","0.0035293607506901026","0.0035293607506901026","0.0035293607506901026"
"638976","0.0030518132261931896","0.0030518132261931896","0.0030518132261931896"
"655360","0.0037977483589202166","0.0037977483589202166","0.0037977483589202166"
"671744","0.0036329510621726513","0.0036329510621726513","0.0036329510621726513"
"688128","0.0028772917576134205","0.0028772917576134205","0.0028772917576134205"
"704512","0.0034507843665778637","0.0034507843665778637","0.0034507843665778637"
"720896","0.0034681460820138454","0.0034681460820138454","0.0034681460820138454"
"737280","0.003327314741909504","0.003327314741909504","0.003327314741909504"
"753664","0.002904006280004978","0.002904006280004978","0.002904006280004978"
"770048","0.003441197331994772","0.003441197331994772","0.003441197331994772"
"786432","0.003703965339809656","0.003703965339809656","0.003703965339809656"
"802816","0.0037843536119908094","0.0037843536119908094","0.0037843536119908094"
"819200","0.003453795565292239","0.003453795565292239","0.003453795565292239"
"835584","0.0034702345728874207","0.0034702345728874207","0.0034702345728874207"
"851968","0.00404910184442997","0.00404910184442997","0.00404910184442997"
"868352","0.0035278971772640944","0.0035278971772640944","0.0035278971772640944"
"884736","0.003438635729253292","0.003438635729253292","0.003438635729253292"
"901120","0.0036605698987841606","0.0036605698987841606","0.0036605698987841606"
"917504","0.004088368266820908","0.004088368266820908","0.004088368266820908"
"933888","0.0033044894225895405","0.0033044894225895405","0.0033044894225895405"
"950272","0.0036083003506064415","0.0036083003506064415","0.0036083003506064415"
"966656","0.004036965314298868","0.004036965314298868","0.004036965314298868"
"983040","0.0041107190772891045","0.0041107190772891045","0.0041107190772891045"
"999424","0.004168964456766844","0.004168964456766844","0.004168964456766844"
"1015808","0.0039331307634711266","0.0039331307634711266","0.0039331307634711266"
"1032192","0.003730424214154482","0.003730424214154482","0.003730424214154482"
"1048576","0.003995192237198353","0.003995192237198353","0.003995192237198353"
"1064960","0.003811347298324108","0.003811347298324108","0.003811347298324108"
"1081344","0.003789018839597702","0.003789018839597702","0.003789018839597702"
"1097728","0.004165582358837128","0.004165582358837128","0.004165582358837128"
"1114112","0.004141887184232473","0.004141887184232473","0.004141887184232473"
"1130496","0.003396764164790511","0.003396764164790511","0.003396764164790511"
"1146880","0.004525010474026203","0.004525010474026203","0.004525010474026203"
"1163264","0.003672584192827344","0.003672584192827344","0.003672584192827344"
"1179648","0.003997085150331259","0.003997085150331259","0.003997085150331259"
"1196032","0.0042793177999556065","0.0042793177999556065","0.0042793177999556065"
"1212416","0.0043448940850794315","0.0043448940850794315","0.0043448940850794315"
"1228800","0.0036952553782612085","0.0036952553782612085","0.0036952553782612085"
"1245184","0.003922717180103064","0.003922717180103064","0.003922717180103064"
"1261568","0.00414999620988965","0.00414999620988965","0.00414999620988965"
"1277952","0.004271227866411209","0.004271227866411209","0.004271227866411209"
"1294336","0.004165204241871834","0.004165204241871834","0.004165204241871834"
"1310720","0.003964437171816826","0.003964437171816826","0.003964437171816826"
"1327104","0.0035697082057595253","0.0035697082057595253","0.0035697082057595253"
"1343488","0.004041898064315319","0.004041898064315319","0.004041898064315319"
"1359872","0.004227455239742994","0.004227455239742994","0.004227455239742994"
"1376256","0.004368531052023172","0.004368531052023172","0.004368531052023172"
"1392640","0.004189933650195599","0.004189933650195599","0.004189933650195599"
"1409024","0.003822196274995804","0.003822196274995804","0.003822196274995804"
"1425408","0.003851675195619464","0.003851675195619464","0.003851675195619464"
