Episode,Extrinsic Return
1,0
2,-3.420481682
3,-5.556694984
4,-5.65138936
5,-5.951848602
6,-5.884379943
7,-5.85831683
8,-5.818749428
9,-5.852040768
10,-5.74744525
11,-5.603944345
12,-5.461296499
13,-5.296353102
14,-5.160194567
15,-5.004884052
16,-4.801312685
17,-4.606251394
18,-4.410712726
19,-4.197533987
20,-3.986607946
21,-3.798355543
22,-3.555951149
23,-3.349110726
24,-3.133883678
25,-2.859314035
26,-2.594633995
27,-2.329959086
28,-2.096919786
29,-1.843126702
30,-1.633952024
31,-1.365362777
32,-1.101059313
33,-0.91918598
34,-0.755251122
35,-0.566922551
36,-0.449605931
37,-0.246581325
38,-0.089324
39,0.080780688
40,0.208086226
41,0.379708102
42,0.593018394
43,0.714187354
44,0.870794966
45,1.056147023
46,1.234361751
47,1.407380204
48,1.528498827
49,1.644699825
50,1.784815071
51,1.924781209
52,2.006653867
53,2.108033359
54,2.175182977
55,2.333696173
56,2.544888257
57,2.708973114
58,2.882943958
59,3.127198962
60,3.276604651
61,3.437964079
62,3.604003859
63,3.739099895
64,3.940448879
65,4.196974328
66,4.398164777
67,4.55198833
68,4.742922038
69,4.885027456
70,5.07778312
71,5.193172776
72,5.426067139
73,5.61826745
74,5.690873944
75,5.881896641
76,5.985785483
77,6.20570366
78,6.424454419
79,6.651126957
80,6.875641512
81,7.042813006
82,7.286408889
83,7.556767842
84,7.768208889
85,8.049172928
86,8.287821414
87,8.574284454
88,8.837165203
89,9.148307006
90,9.426728884
91,9.756891585
92,10.09180627
93,10.41444411
94,10.7128902
95,11.05427597
96,11.38238539
97,11.72541481
98,12.04522497
99,12.4034943
100,12.8152564
101,13.23626135
102,13.795271
103,14.39122903
104,14.99373794
105,15.59740438
106,16.23687431
107,16.80225718
108,17.41363867
109,18.07144195
110,18.65174989
111,19.26136126
112,19.93049163
113,20.57131786
114,21.2043927
115,21.79219327
116,22.3654656
117,22.95792337
118,23.6002033
119,24.2065355
120,24.79748011
121,25.40931858
122,26.04571213
123,26.71988884
124,27.40138152
125,28.02489544
126,28.73227919
127,29.27688198
128,29.88167533
129,30.53595715
130,31.13119229
131,31.77239887
132,32.46135301
133,33.14899351
134,33.85557687
135,34.53281809
136,35.26462858
137,35.94582087
138,36.60828209
139,37.25295352
140,37.92562642
141,38.57912023
142,39.21932833
143,39.90500231
144,40.59910041
145,41.14778398
146,41.86177022
147,42.56410234
148,43.2312824
149,43.81234787
150,44.63990949
151,45.38864561
152,46.02378042
153,46.85965995
154,47.54718615
155,48.38627788
156,48.9484853
157,49.82515784
158,50.48256305
159,51.24239347
160,52.00973391
161,52.76529978
162,53.66975419
163,54.32851744
164,55.11209951
165,55.70136349
166,56.34128677
167,57.08279681
168,57.7471244
169,58.48623579
170,59.13727268
171,59.86081392
172,60.71021406
173,61.52712025
174,62.5687763
175,63.36448196
176,64.12328569
177,64.8317709
178,65.55038473
179,66.430487
180,67.23808571
181,68.32836756
182,69.18101162
183,69.80492697
184,70.56170837
185,71.52880426
186,72.08364597
187,72.93407169
188,73.49463524
189,74.08022949
190,74.85376945
191,75.69388298
192,76.61841106
193,77.15568909
194,77.78669312
195,78.50844315
196,78.85504814
197,79.72321751
198,80.45362377
199,81.21031578
200,81.79680634
201,82.43278557
202,83.20647259
203,84.06320915
204,84.81199696
205,85.53474316
206,86.00593853
207,86.72775959
208,87.20278877
209,88.08040337
210,88.48592087
211,88.67167408
212,89.24573666
213,89.97046692
214,90.45781776
215,91.36446789
216,92.46186375
217,93.88464993
218,94.42552711
219,94.95234642
220,95.50728226
221,96.27089527
222,96.49109745
223,97.32506413
224,98.0529842
225,98.15071384
226,98.53293087
227,99.22263351
228,99.50913422
229,99.83401924
230,101.0498261
231,102.3830582
232,103.3949181
233,103.9321598
234,105.0584958
235,105.5472311
236,106.6112247
237,107.2867419
238,107.5080293
239,108.6079812
240,109.4652816
241,109.5526098
242,110.1980367
243,111.1433989
244,111.7877036
245,112.4494948
