charts/time_per_it,returns/ret_ext,_step,losses/approx_kl,losses/old_approx_kl,charts/min_game_score,returns/values_ext,_runtime,charts/game_score_upper,rewards/num_envs_with_pos_rews,losses/clipfrac,losses/policy_loss,returns/advantages,charts/game_score_lower,charts/max_game_score,losses/entropy,charts/learning_rate,charts/iqm_lower,rewards/rewards_min,rewards/rewards_mean,charts/iqm_upper,rewards/rewards_max,charts/max_traj_len,charts/iqm,charts/min_traj_len,charts/SPS,charts/game_score,charts/iterations,_timestamp,losses/all_loss,charts/traj_len,losses/value_loss
7.478189468383789,0.5173834562301636,16384,1.3088283594697714e-06,-3.001885488629341e-06,0,0.00010279970592819154,16,0.0,128,0.0,-2.811802551150322e-05,0.5172806978225708,0.0,0,2.8903703689575195,0.0001,0.0,0,0.0353376641869545,0.0,0.6677881479263306,0,0.0,0,2053,NaN,1,1732338349,0.066128671169281,NaN,0.19012098014354706
6.452489614486694,0.4041140079498291,32768,7.534392352681607e-05,-9.796681115403771e-05,0,0.19500571489334106,23,0.0,116,0.0,-0.00020224740728735924,0.20910832285881042,0.0,0,2.890275716781616,0.0001,0.0,0,0.01844644919037819,0.0,0.6761221885681152,0,0.0,0,2270,NaN,2,1732338356,0.00956825539469719,NaN,0.07734651863574982
6.232182264328003,0.48134544491767883,49152,0.0011153616942465305,-0.0002294601290486753,0,0.28056806325912476,29,0.0,115,0.0,-0.001115117920562625,0.2007773518562317,0.0,0,2.8884851932525635,0.0001,0.0,0,0.018534813076257706,0.0,0.6763349175453186,0,0.0,0,2378,NaN,3,1732338362,0.012509312480688095,NaN,0.08501856029033661
6.287281036376953,0.50975501537323,65536,0.0020579693373292685,0.001755731413140893,0,0.35134610533714294,35,178.3333282470703,110,0.0428619384765625,-0.002653932198882103,0.15840892493724823,126.66666412353516,200,2.8826375007629395,0.0001,-0.017072711198713026,0,0.015761729329824448,-0.006927636632414965,0.6707536578178406,509,-0.011758624521128328,0,2430,153.3333282470703,4,1732338368,0.001832515001296997,486.1666666666667,0.06662563979625702
6.748307466506958,0.6510699987411499,81920,0.0017621266888454556,0.0020512528717517853,0,0.45748934149742126,42,188.1690216064453,115,0.0036773681640625,-0.0005500968545675278,0.19358068704605103,168.0246467590332,290,2.8754637241363525,0.0001,-0.009343130576771646,0,0.021381597965955734,-0.006322756690515647,0.6609737277030945,639,-0.00781331774534575,0,2428,177.8873291015625,5,1732338375,0.015193486586213112,576.3521126760563,0.08899644017219543
6.950617790222168,0.7867332696914673,98304,0.0010902599897235632,0.001971856690943241,0,0.5420789122581482,49,198.25000648498533,125,0.0193328857421875,-0.0009800889529287815,0.2446543425321579,180.4385986328125,330,2.868589401245117,0.0001,-0.007842981706065916,0,0.02580197900533676,-0.004918327064490894,0.6366560459136963,765,-0.0064699640955894885,0,2415,189.29824829101562,6,1732338382,0.027427474036812782,616.6929824561404,0.11418691277503967
6.3346147537231445,0.7694492340087891,114688,0.0025668360758572817,0.0019085166277363896,0,0.6235541105270386,55,208.76239624023438,121,0.0242919921875,-0.002753234002739191,0.14589515328407288,184.29544982910156,760,2.8568522930145264,0.0001,-0.007555665057947703,0,0.019972629845142365,-0.00455984869345933,0.6354011297225952,874,-0.006082213751890127,0,2437,195.95040893554688,7,1732338388,0.01192525401711464,628.5454545454545,0.08649402111768723
6.2944793701171875,0.8171338438987732,131072,0.0026440611109137535,0.0018844050355255604,0,0.7401015758514404,62,214.25393676757812,116,0.07720947265625,-0.0035766586661338806,0.07703232765197754,189.44488487243652,760,2.841758966445923,0.0001,-0.0072225910882766425,0,0.0161936916410923,-0.004141704046435458,0.6424151062965393,971,-0.005750083334541082,0,2456,200.47244262695312,8,1732338395,0.0040947794914245605,640.0787401574803,0.07217805087566376
6.531022787094116,0.8988715410232544,147456,0.0025796019472181797,-4.646851448342204e-05,0,0.8157380819320679,68,216.875,111,0.0613861083984375,-0.002095479052513838,0.08313343673944473,188.431640625,760,2.8282203674316406,0.0001,-0.00726788159973333,0,0.017622752115130424,-0.004231718937955626,0.6430538296699524,1152,-0.005772728590269427,0,2461,201.71875,9,1732338401,0.011754289269447327,651.34375,0.08426394313573837
6.6925623416900635,1.0771031379699707,163840,0.003036542795598507,0.0037131772842258215,0,0.9059664011001587,75,219.30078125,120,0.0386810302734375,0.00014938320964574814,0.1711367815732956,194.0625,760,2.813812255859375,0.0001,-0.006520022029304774,0,0.025271203368902206,-0.003712010318990132,0.6282904744148254,1152,-0.005206597197060829,0,2459,205.3125,10,1732338408,0.033460840582847595,650.9609375,0.12289915978908539
6.615543842315674,1.2024751901626587,180224,0.0015038724523037672,-4.36658738180995e-05,0,1.0538444519042969,82,224.689453125,124,0.0624542236328125,-0.0018189805559813976,0.14863070845603943,197.419921875,760,2.8005807399749756,0.0001,-0.005818019101726114,0,0.026218455284833908,-0.0023306497195611548,0.6016290783882141,1152,-0.004187560689285354,0,2460,210,11,1732338415,0.04256045073270798,648.84375,0.14477047324180603
6.528080224990845,1.2199980020523071,196608,0.0027621956542134285,0.001536691328510642,0,1.1394484043121338,88,218.986328125,116,0.04730224609375,-0.0018344533164054155,0.08054962754249573,197.109375,390,2.7857227325439453,0.0001,-0.005931811511761041,0,0.022786695510149002,-0.0024206646110813217,0.5851680636405945,1152,-0.004187560689285354,0,2464,207.5,12,1732338421,0.029917240142822266,643.0703125,0.11921784281730652
