"Step","Entropy","StarGunner-v5__ppo - losses/entropy__MIN","StarGunner-v5__ppo - losses/entropy__MAX"
"16384","2.890371322631836","2.890371322631836","2.890371322631836"
"32768","2.8903698921203613","2.8903698921203613","2.8903698921203613"
"49152","2.8903684616088867","2.8903684616088867","2.8903684616088867"
"65536","2.890354633331299","2.890354633331299","2.890354633331299"
"81920","2.8903093338012695","2.8903093338012695","2.8903093338012695"
"98304","2.8900489807128906","2.8900489807128906","2.8900489807128906"
"114688","2.888065814971924","2.888065814971924","2.888065814971924"
"131072","2.8862671852111816","2.8862671852111816","2.8862671852111816"
"147456","2.883371353149414","2.883371353149414","2.883371353149414"
"163840","2.8853249549865723","2.8853249549865723","2.8853249549865723"
"180224","2.8850693702697754","2.8850693702697754","2.8850693702697754"
"196608","2.8789548873901367","2.8789548873901367","2.8789548873901367"
"212992","2.869032382965088","2.869032382965088","2.869032382965088"
"229376","2.857475757598877","2.857475757598877","2.857475757598877"
"245760","2.8536570072174072","2.8536570072174072","2.8536570072174072"
"262144","2.8568687438964844","2.8568687438964844","2.8568687438964844"
"278528","2.8410348892211914","2.8410348892211914","2.8410348892211914"
"294912","2.849950075149536","2.849950075149536","2.849950075149536"
"311296","2.8434293270111084","2.8434293270111084","2.8434293270111084"
"327680","2.8574700355529785","2.8574700355529785","2.8574700355529785"
"344064","2.844552993774414","2.844552993774414","2.844552993774414"
"360448","2.8551931381225586","2.8551931381225586","2.8551931381225586"
"376832","2.8478517532348633","2.8478517532348633","2.8478517532348633"
"393216","2.8506102561950684","2.8506102561950684","2.8506102561950684"
"409600","2.848292827606201","2.848292827606201","2.848292827606201"
"425984","2.83644962310791","2.83644962310791","2.83644962310791"
"442368","2.84763765335083","2.84763765335083","2.84763765335083"
"458752","2.8426690101623535","2.8426690101623535","2.8426690101623535"
"475136","2.8264029026031494","2.8264029026031494","2.8264029026031494"
"491520","2.844142436981201","2.844142436981201","2.844142436981201"
"507904","2.8363075256347656","2.8363075256347656","2.8363075256347656"
"524288","2.8276538848876953","2.8276538848876953","2.8276538848876953"
"540672","2.8393826484680176","2.8393826484680176","2.8393826484680176"
"557056","2.85063099861145","2.85063099861145","2.85063099861145"
"573440","2.8587193489074707","2.8587193489074707","2.8587193489074707"
"589824","2.847276210784912","2.847276210784912","2.847276210784912"
"606208","2.851609230041504","2.851609230041504","2.851609230041504"
"622592","2.8555779457092285","2.8555779457092285","2.8555779457092285"
"638976","2.8485918045043945","2.8485918045043945","2.8485918045043945"
"655360","2.8628416061401367","2.8628416061401367","2.8628416061401367"
"671744","2.854015588760376","2.854015588760376","2.854015588760376"
"688128","2.8644347190856934","2.8644347190856934","2.8644347190856934"
"704512","2.8488752841949463","2.8488752841949463","2.8488752841949463"
"720896","2.8301475048065186","2.8301475048065186","2.8301475048065186"
"737280","2.8218441009521484","2.8218441009521484","2.8218441009521484"
"753664","2.815200090408325","2.815200090408325","2.815200090408325"
"770048","2.8034422397613525","2.8034422397613525","2.8034422397613525"
"786432","2.802786111831665","2.802786111831665","2.802786111831665"
"802816","2.8013203144073486","2.8013203144073486","2.8013203144073486"
"819200","2.7923336029052734","2.7923336029052734","2.7923336029052734"
"835584","2.7925150394439697","2.7925150394439697","2.7925150394439697"
"851968","2.758603811264038","2.758603811264038","2.758603811264038"
"868352","2.758390426635742","2.758390426635742","2.758390426635742"
"884736","2.757424831390381","2.757424831390381","2.757424831390381"
"901120","2.7590246200561523","2.7590246200561523","2.7590246200561523"
"917504","2.773942470550537","2.773942470550537","2.773942470550537"
"933888","2.7663230895996094","2.7663230895996094","2.7663230895996094"
"950272","2.757894515991211","2.757894515991211","2.757894515991211"
"966656","2.770709991455078","2.770709991455078","2.770709991455078"
"983040","2.777665138244629","2.777665138244629","2.777665138244629"
"999424","2.7727980613708496","2.7727980613708496","2.7727980613708496"
"1015808","2.7700634002685547","2.7700634002685547","2.7700634002685547"
"1032192","2.752455234527588","2.752455234527588","2.752455234527588"
"1048576","2.7488489151000977","2.7488489151000977","2.7488489151000977"
"1064960","2.7449731826782227","2.7449731826782227","2.7449731826782227"
"1081344","2.745384454727173","2.745384454727173","2.745384454727173"
"1097728","2.7639360427856445","2.7639360427856445","2.7639360427856445"
