"Step","Entropy","StarGunner-v5__ppo_rle_SwitchStep500 - losses/entropy__MIN","StarGunner-v5__ppo_rle_SwitchStep500 - losses/entropy__MAX"
"16384","2.8903675079345703","2.8903675079345703","2.8903675079345703"
"32768","2.890307903289795","2.890307903289795","2.890307903289795"
"49152","2.8893349170684814","2.8893349170684814","2.8893349170684814"
"65536","2.8864126205444336","2.8864126205444336","2.8864126205444336"
"81920","2.8826656341552734","2.8826656341552734","2.8826656341552734"
"98304","2.879098892211914","2.879098892211914","2.879098892211914"
"114688","2.876307487487793","2.876307487487793","2.876307487487793"
"131072","2.8743128776550293","2.8743128776550293","2.8743128776550293"
"147456","2.8646788597106934","2.8646788597106934","2.8646788597106934"
"163840","2.8695688247680664","2.8695688247680664","2.8695688247680664"
"180224","2.8651108741760254","2.8651108741760254","2.8651108741760254"
"196608","2.8603687286376953","2.8603687286376953","2.8603687286376953"
"212992","2.866677761077881","2.866677761077881","2.866677761077881"
"229376","2.870622396469116","2.870622396469116","2.870622396469116"
"245760","2.8705148696899414","2.8705148696899414","2.8705148696899414"
"262144","2.865361213684082","2.865361213684082","2.865361213684082"
"278528","2.8688836097717285","2.8688836097717285","2.8688836097717285"
"294912","2.8678321838378906","2.8678321838378906","2.8678321838378906"
"311296","2.8724684715270996","2.8724684715270996","2.8724684715270996"
"327680","2.871264934539795","2.871264934539795","2.871264934539795"
"344064","2.8687756061553955","2.8687756061553955","2.8687756061553955"
"360448","2.864135980606079","2.864135980606079","2.864135980606079"
"376832","2.860959768295288","2.860959768295288","2.860959768295288"
"393216","2.850858688354492","2.850858688354492","2.850858688354492"
"409600","2.8557848930358887","2.8557848930358887","2.8557848930358887"
"425984","2.8413333892822266","2.8413333892822266","2.8413333892822266"
"442368","2.830596446990967","2.830596446990967","2.830596446990967"
"458752","2.8337297439575195","2.8337297439575195","2.8337297439575195"
"475136","2.8393304347991943","2.8393304347991943","2.8393304347991943"
"491520","2.830859661102295","2.830859661102295","2.830859661102295"
"507904","2.823467254638672","2.823467254638672","2.823467254638672"
"524288","2.8179898262023926","2.8179898262023926","2.8179898262023926"
"540672","2.8162803649902344","2.8162803649902344","2.8162803649902344"
"557056","2.8128528594970703","2.8128528594970703","2.8128528594970703"
"573440","2.8129825592041016","2.8129825592041016","2.8129825592041016"
"589824","2.8109397888183594","2.8109397888183594","2.8109397888183594"
"606208","2.7925901412963867","2.7925901412963867","2.7925901412963867"
"622592","2.780168056488037","2.780168056488037","2.780168056488037"
"638976","2.779449224472046","2.779449224472046","2.779449224472046"
"655360","2.785578727722168","2.785578727722168","2.785578727722168"
"671744","2.7898216247558594","2.7898216247558594","2.7898216247558594"
"688128","2.780230760574341","2.780230760574341","2.780230760574341"
"704512","2.795718193054199","2.795718193054199","2.795718193054199"
"720896","2.7776074409484863","2.7776074409484863","2.7776074409484863"
"737280","2.788163185119629","2.788163185119629","2.788163185119629"
"753664","2.7855112552642822","2.7855112552642822","2.7855112552642822"
"770048","2.7924137115478516","2.7924137115478516","2.7924137115478516"
"786432","2.777968645095825","2.777968645095825","2.777968645095825"
"802816","2.7866437435150146","2.7866437435150146","2.7866437435150146"
"819200","2.787142038345337","2.787142038345337","2.787142038345337"
"835584","2.7857699394226074","2.7857699394226074","2.7857699394226074"
"851968","2.773120403289795","2.773120403289795","2.773120403289795"
"868352","2.7613472938537598","2.7613472938537598","2.7613472938537598"
"884736","2.7636561393737793","2.7636561393737793","2.7636561393737793"
"901120","2.7532379627227783","2.7532379627227783","2.7532379627227783"
"917504","2.75691556930542","2.75691556930542","2.75691556930542"
"933888","2.755436420440674","2.755436420440674","2.755436420440674"
"950272","2.7475874423980713","2.7475874423980713","2.7475874423980713"
"966656","2.747732162475586","2.747732162475586","2.747732162475586"
"983040","2.7402772903442383","2.7402772903442383","2.7402772903442383"
"999424","2.7460718154907227","2.7460718154907227","2.7460718154907227"
"1015808","2.7450850009918213","2.7450850009918213","2.7450850009918213"
