"Step","Entropy","StarGunner-v5__ppo_noisy_net - losses/entropy__MIN","StarGunner-v5__ppo_noisy_net - losses/entropy__MAX"
"16384","2.890246868133545","2.890246868133545","2.890246868133545"
"32768","2.8902058601379395","2.8902058601379395","2.8902058601379395"
"49152","2.890200138092041","2.890200138092041","2.890200138092041"
"65536","2.890170097351074","2.890170097351074","2.890170097351074"
"81920","2.890246868133545","2.890246868133545","2.890246868133545"
"98304","2.890129566192627","2.890129566192627","2.890129566192627"
"114688","2.890106678009033","2.890106678009033","2.890106678009033"
"131072","2.8900506496429443","2.8900506496429443","2.8900506496429443"
"147456","2.8901047706604004","2.8901047706604004","2.8901047706604004"
"163840","2.8899526596069336","2.8899526596069336","2.8899526596069336"
"180224","2.889854669570923","2.889854669570923","2.889854669570923"
"196608","2.889523983001709","2.889523983001709","2.889523983001709"
"212992","2.8894166946411133","2.8894166946411133","2.8894166946411133"
"229376","2.88916015625","2.88916015625","2.88916015625"
"245760","2.8888914585113525","2.8888914585113525","2.8888914585113525"
"262144","2.8881659507751465","2.8881659507751465","2.8881659507751465"
"278528","2.8857667446136475","2.8857667446136475","2.8857667446136475"
"294912","2.884244918823242","2.884244918823242","2.884244918823242"
"311296","2.8812527656555176","2.8812527656555176","2.8812527656555176"
"327680","2.8740899562835693","2.8740899562835693","2.8740899562835693"
"344064","2.870887279510498","2.870887279510498","2.870887279510498"
"360448","2.8718903064727783","2.8718903064727783","2.8718903064727783"
"376832","2.86440110206604","2.86440110206604","2.86440110206604"
"393216","2.866870403289795","2.866870403289795","2.866870403289795"
"409600","2.8607101440429688","2.8607101440429688","2.8607101440429688"
"425984","2.849128246307373","2.849128246307373","2.849128246307373"
"442368","2.8448023796081543","2.8448023796081543","2.8448023796081543"
"458752","2.8550963401794434","2.8550963401794434","2.8550963401794434"
"475136","2.8360514640808105","2.8360514640808105","2.8360514640808105"
"491520","2.829679489135742","2.829679489135742","2.829679489135742"
"507904","2.8340680599212646","2.8340680599212646","2.8340680599212646"
"524288","2.8276567459106445","2.8276567459106445","2.8276567459106445"
"540672","2.8309102058410645","2.8309102058410645","2.8309102058410645"
"557056","2.8304386138916016","2.8304386138916016","2.8304386138916016"
"573440","2.812708854675293","2.812708854675293","2.812708854675293"
"589824","2.823586940765381","2.823586940765381","2.823586940765381"
"606208","2.827855348587036","2.827855348587036","2.827855348587036"
"622592","2.81880521774292","2.81880521774292","2.81880521774292"
"638976","2.8294975757598877","2.8294975757598877","2.8294975757598877"
"655360","2.8301024436950684","2.8301024436950684","2.8301024436950684"
"671744","2.8154492378234863","2.8154492378234863","2.8154492378234863"
"688128","2.8360049724578857","2.8360049724578857","2.8360049724578857"
"704512","2.8356692790985107","2.8356692790985107","2.8356692790985107"
"720896","2.835829257965088","2.835829257965088","2.835829257965088"
"737280","2.8428027629852295","2.8428027629852295","2.8428027629852295"
"753664","2.843130111694336","2.843130111694336","2.843130111694336"
"770048","2.819021224975586","2.819021224975586","2.819021224975586"
"786432","2.8444292545318604","2.8444292545318604","2.8444292545318604"
"802816","2.8357348442077637","2.8357348442077637","2.8357348442077637"
"819200","2.8298444747924805","2.8298444747924805","2.8298444747924805"
"835584","2.8213462829589844","2.8213462829589844","2.8213462829589844"
"851968","2.8112640380859375","2.8112640380859375","2.8112640380859375"
"868352","2.7966036796569824","2.7966036796569824","2.7966036796569824"
"884736","2.7799999713897705","2.7799999713897705","2.7799999713897705"
"901120","2.7848060131073","2.7848060131073","2.7848060131073"
"917504","2.7538323402404785","2.7538323402404785","2.7538323402404785"
"933888","2.7924063205718994","2.7924063205718994","2.7924063205718994"
"950272","2.7765870094299316","2.7765870094299316","2.7765870094299316"
"966656","2.753783941268921","2.753783941268921","2.753783941268921"
"983040","2.755866050720215","2.755866050720215","2.755866050720215"
"999424","2.7570090293884277","2.7570090293884277","2.7570090293884277"
"1015808","2.7623655796051025","2.7623655796051025","2.7623655796051025"
"1032192","2.723285436630249","2.723285436630249","2.723285436630249"
"1048576","2.7208476066589355","2.7208476066589355","2.7208476066589355"
"1064960","2.7257895469665527","2.7257895469665527","2.7257895469665527"
"1081344","2.713552951812744","2.713552951812744","2.713552951812744"
"1097728","2.7307827472686768","2.7307827472686768","2.7307827472686768"
"1114112","2.7103865146636963","2.7103865146636963","2.7103865146636963"
"1130496","2.687866687774658","2.687866687774658","2.687866687774658"
"1146880","2.7213377952575684","2.7213377952575684","2.7213377952575684"
"1163264","2.7320494651794434","2.7320494651794434","2.7320494651794434"
"1179648","2.7435665130615234","2.7435665130615234","2.7435665130615234"
"1196032","2.7211251258850098","2.7211251258850098","2.7211251258850098"
"1212416","2.716958999633789","2.716958999633789","2.716958999633789"
"1228800","2.705655574798584","2.705655574798584","2.705655574798584"
"1245184","2.6938087940216064","2.6938087940216064","2.6938087940216064"
"1261568","2.6366684436798096","2.6366684436798096","2.6366684436798096"
"1277952","2.6674368381500244","2.6674368381500244","2.6674368381500244"
"1294336","2.683476448059082","2.683476448059082","2.683476448059082"
"1310720","2.6848719120025635","2.6848719120025635","2.6848719120025635"
"1327104","2.669741153717041","2.669741153717041","2.669741153717041"
"1343488","2.687955379486084","2.687955379486084","2.687955379486084"
"1359872","2.691676616668701","2.691676616668701","2.691676616668701"
"1376256","2.6713054180145264","2.6713054180145264","2.6713054180145264"
"1392640","2.6768250465393066","2.6768250465393066","2.6768250465393066"
"1409024","2.6637701988220215","2.6637701988220215","2.6637701988220215"
"1425408","2.6625542640686035","2.6625542640686035","2.6625542640686035"
"1441792","2.6963090896606445","2.6963090896606445","2.6963090896606445"
"1458176","2.630155563354492","2.630155563354492","2.630155563354492"
"1474560","2.637416124343872","2.637416124343872","2.637416124343872"
"1490944","2.5940771102905273","2.5940771102905273","2.5940771102905273"
"1507328","2.6774537563323975","2.6774537563323975","2.6774537563323975"
"1523712","2.6629810333251953","2.6629810333251953","2.6629810333251953"
"1540096","2.5970983505249023","2.5970983505249023","2.5970983505249023"
"1556480","2.6187360286712646","2.6187360286712646","2.6187360286712646"
"1572864","2.624351978302002","2.624351978302002","2.624351978302002"
"1589248","2.662318229675293","2.662318229675293","2.662318229675293"
"1605632","2.5698132514953613","2.5698132514953613","2.5698132514953613"
"1622016","2.593743085861206","2.593743085861206","2.593743085861206"
