"Step","Entropy","StarGunner-v5__ppo_rnd_envpool - losses/entropy__MIN","StarGunner-v5__ppo_rnd_envpool - losses/entropy__MAX"
"16384","2.890371322631836","2.890371322631836","2.890371322631836"
"32768","2.8903698921203613","2.8903698921203613","2.8903698921203613"
"49152","2.890354633331299","2.890354633331299","2.890354633331299"
"65536","2.890249729156494","2.890249729156494","2.890249729156494"
"81920","2.8898134231567383","2.8898134231567383","2.8898134231567383"
"98304","2.8884754180908203","2.8884754180908203","2.8884754180908203"
"114688","2.8877439498901367","2.8877439498901367","2.8877439498901367"
"131072","2.885127305984497","2.885127305984497","2.885127305984497"
"147456","2.8854451179504395","2.8854451179504395","2.8854451179504395"
"163840","2.8884644508361816","2.8884644508361816","2.8884644508361816"
"180224","2.8875534534454346","2.8875534534454346","2.8875534534454346"
"196608","2.882260799407959","2.882260799407959","2.882260799407959"
"212992","2.883899211883545","2.883899211883545","2.883899211883545"
"229376","2.8760972023010254","2.8760972023010254","2.8760972023010254"
"245760","2.8847832679748535","2.8847832679748535","2.8847832679748535"
"262144","2.8847904205322266","2.8847904205322266","2.8847904205322266"
"278528","2.876946210861206","2.876946210861206","2.876946210861206"
"294912","2.866455078125","2.866455078125","2.866455078125"
"311296","2.852607250213623","2.852607250213623","2.852607250213623"
"327680","2.844503164291382","2.844503164291382","2.844503164291382"
"344064","2.840552806854248","2.840552806854248","2.840552806854248"
"360448","2.8237061500549316","2.8237061500549316","2.8237061500549316"
"376832","2.81213641166687","2.81213641166687","2.81213641166687"
"393216","2.8151631355285645","2.8151631355285645","2.8151631355285645"
"409600","2.799854278564453","2.799854278564453","2.799854278564453"
"425984","2.780353546142578","2.780353546142578","2.780353546142578"
"442368","2.7933995723724365","2.7933995723724365","2.7933995723724365"
"458752","2.7968969345092773","2.7968969345092773","2.7968969345092773"
"475136","2.7730977535247803","2.7730977535247803","2.7730977535247803"
"491520","2.7615609169006348","2.7615609169006348","2.7615609169006348"
"507904","2.7513813972473145","2.7513813972473145","2.7513813972473145"
"524288","2.732351779937744","2.732351779937744","2.732351779937744"
"540672","2.709333896636963","2.709333896636963","2.709333896636963"
"557056","2.709750175476074","2.709750175476074","2.709750175476074"
"573440","2.714273452758789","2.714273452758789","2.714273452758789"
"589824","2.6943631172180176","2.6943631172180176","2.6943631172180176"
"606208","2.676640033721924","2.676640033721924","2.676640033721924"
"622592","2.6758017539978027","2.6758017539978027","2.6758017539978027"
"638976","2.6753122806549072","2.6753122806549072","2.6753122806549072"
"655360","2.6690187454223633","2.6690187454223633","2.6690187454223633"
"671744","2.657825469970703","2.657825469970703","2.657825469970703"
"688128","2.666714668273926","2.666714668273926","2.666714668273926"
"704512","2.6774637699127197","2.6774637699127197","2.6774637699127197"
"720896","2.6662302017211914","2.6662302017211914","2.6662302017211914"
"737280","2.6703250408172607","2.6703250408172607","2.6703250408172607"
"753664","2.6593122482299805","2.6593122482299805","2.6593122482299805"
"770048","2.6524465084075928","2.6524465084075928","2.6524465084075928"
"786432","2.673342227935791","2.673342227935791","2.673342227935791"
"802816","2.6788785457611084","2.6788785457611084","2.6788785457611084"
"819200","2.6779301166534424","2.6779301166534424","2.6779301166534424"
"835584","2.6930809020996094","2.6930809020996094","2.6930809020996094"
"851968","2.6853649616241455","2.6853649616241455","2.6853649616241455"
"868352","2.7010245323181152","2.7010245323181152","2.7010245323181152"
"884736","2.679999351501465","2.679999351501465","2.679999351501465"
"901120","2.702352523803711","2.702352523803711","2.702352523803711"
"917504","2.7178897857666016","2.7178897857666016","2.7178897857666016"
"933888","2.6959967613220215","2.6959967613220215","2.6959967613220215"
"950272","2.694024085998535","2.694024085998535","2.694024085998535"
"966656","2.6846060752868652","2.6846060752868652","2.6846060752868652"
"983040","2.6931986808776855","2.6931986808776855","2.6931986808776855"
"999424","2.7177658081054688","2.7177658081054688","2.7177658081054688"
"1015808","2.688978433609009","2.688978433609009","2.688978433609009"
"1032192","2.702683210372925","2.702683210372925","2.702683210372925"
"1048576","2.7046284675598145","2.7046284675598145","2.7046284675598145"
"1064960","2.692667007446289","2.692667007446289","2.692667007446289"
"1081344","2.7017934322357178","2.7017934322357178","2.7017934322357178"
"1097728","2.7247533798217773","2.7247533798217773","2.7247533798217773"
