"Step","RewardsMean","StarGunner-v5__ppo_rle_SwitchStep500 - rewards/rewards_mean__MIN","StarGunner-v5__ppo_rle_SwitchStep500 - rewards/rewards_mean__MAX"
"16384","0.009217651560902596","0.009217651560902596","0.009217651560902596"
"32768","0.007047358900308609","0.007047358900308609","0.007047358900308609"
"49152","0.004758980590850115","0.004758980590850115","0.004758980590850115"
"65536","0.004169117659330368","0.004169117659330368","0.004169117659330368"
"81920","0.0041511040180921555","0.0041511040180921555","0.0041511040180921555"
"98304","0.0033295813482254744","0.0033295813482254744","0.0033295813482254744"
"114688","0.0028199786320328712","0.0028199786320328712","0.0028199786320328712"
"131072","0.002883567940443754","0.002883567940443754","0.002883567940443754"
"147456","0.0030663693323731422","0.0030663693323731422","0.0030663693323731422"
"163840","0.002169067971408367","0.002169067971408367","0.002169067971408367"
"180224","0.002142118290066719","0.002142118290066719","0.002142118290066719"
"196608","0.002515761647373438","0.002515761647373438","0.002515761647373438"
"212992","0.0023426541592925787","0.0023426541592925787","0.0023426541592925787"
"229376","0.0022485959343612194","0.0022485959343612194","0.0022485959343612194"
"245760","0.002428414998576045","0.002428414998576045","0.002428414998576045"
"262144","0.0026831633877009153","0.0026831633877009153","0.0026831633877009153"
"278528","0.0021493565291166306","0.0021493565291166306","0.0021493565291166306"
"294912","0.0028646010905504227","0.0028646010905504227","0.0028646010905504227"
"311296","0.002140357159078121","0.002140357159078121","0.002140357159078121"
"327680","0.00277166860178113","0.00277166860178113","0.00277166860178113"
"344064","0.0031777373515069485","0.0031777373515069485","0.0031777373515069485"
"360448","0.0028289025649428368","0.0028289025649428368","0.0028289025649428368"
"376832","0.00343249156139791","0.00343249156139791","0.00343249156139791"
"393216","0.0034961674828082323","0.0034961674828082323","0.0034961674828082323"
"409600","0.0038777566514909267","0.0038777566514909267","0.0038777566514909267"
"425984","0.0043126363307237625","0.0043126363307237625","0.0043126363307237625"
"442368","0.004868139047175646","0.004868139047175646","0.004868139047175646"
"458752","0.0047299559228122234","0.0047299559228122234","0.0047299559228122234"
"475136","0.004185686819255352","0.004185686819255352","0.004185686819255352"
"491520","0.003832467831671238","0.003832467831671238","0.003832467831671238"
"507904","0.004238608293235302","0.004238608293235302","0.004238608293235302"
"524288","0.004556444473564625","0.004556444473564625","0.004556444473564625"
"540672","0.0036518569104373455","0.0036518569104373455","0.0036518569104373455"
"557056","0.004115968942642212","0.004115968942642212","0.004115968942642212"
"573440","0.003789129201322794","0.003789129201322794","0.003789129201322794"
"589824","0.003830514382570982","0.003830514382570982","0.003830514382570982"
"606208","0.0040988437831401825","0.0040988437831401825","0.0040988437831401825"
"622592","0.0037702578119933605","0.0037702578119933605","0.0037702578119933605"
"638976","0.0037858188152313232","0.0037858188152313232","0.0037858188152313232"
"655360","0.0034876144491136074","0.0034876144491136074","0.0034876144491136074"
"671744","0.003631794126704335","0.003631794126704335","0.003631794126704335"
"688128","0.0033319019712507725","0.0033319019712507725","0.0033319019712507725"
"704512","0.003208048641681671","0.003208048641681671","0.003208048641681671"
"720896","0.0034973863512277603","0.0034973863512277603","0.0034973863512277603"
"737280","0.003402351401746273","0.003402351401746273","0.003402351401746273"
"753664","0.003882408607751131","0.003882408607751131","0.003882408607751131"
"770048","0.0031383195891976357","0.0031383195891976357","0.0031383195891976357"
"786432","0.00318552041426301","0.00318552041426301","0.00318552041426301"
"802816","0.003548071254044771","0.003548071254044771","0.003548071254044771"
"819200","0.003424028865993023","0.003424028865993023","0.003424028865993023"
"835584","0.0034058457240462303","0.0034058457240462303","0.0034058457240462303"
"851968","0.0028191504534333944","0.0028191504534333944","0.0028191504534333944"
"868352","0.0034196453634649515","0.0034196453634649515","0.0034196453634649515"
"884736","0.0033299685455858707","0.0033299685455858707","0.0033299685455858707"
"901120","0.0034614030737429857","0.0034614030737429857","0.0034614030737429857"
"917504","0.0033336454071104527","0.0033336454071104527","0.0033336454071104527"
"933888","0.0031504095532000065","0.0031504095532000065","0.0031504095532000065"
"950272","0.0031474612187594175","0.0031474612187594175","0.0031474612187594175"
"966656","0.0031074960716068745","0.0031074960716068745","0.0031074960716068745"
"983040","0.002744517754763365","0.002744517754763365","0.002744517754763365"
"999424","0.003093089209869504","0.003093089209869504","0.003093089209869504"
