"Step","RewardsMean","StarGunner-v5__ppo_rnd_envpool - rewards/rewards_mean__MIN","StarGunner-v5__ppo_rnd_envpool - rewards/rewards_mean__MAX"
"16384","0.009246225468814373","0.009246225468814373","0.009246225468814373"
"32768","0.007023227401077747","0.007023227401077747","0.007023227401077747"
"49152","0.005337440874427557","0.005337440874427557","0.005337440874427557"
"65536","0.004014643840491772","0.004014643840491772","0.004014643840491772"
"81920","0.0034601446241140366","0.0034601446241140366","0.0034601446241140366"
"98304","0.00311783654615283","0.00311783654615283","0.00311783654615283"
"114688","0.0032253568060696125","0.0032253568060696125","0.0032253568060696125"
"131072","0.002758460119366646","0.002758460119366646","0.002758460119366646"
"147456","0.0018807860324159265","0.0018807860324159265","0.0018807860324159265"
"163840","0.0019496779423207045","0.0019496779423207045","0.0019496779423207045"
"180224","0.0017835424514487386","0.0017835424514487386","0.0017835424514487386"
"196608","0.0029331224504858255","0.0029331224504858255","0.0029331224504858255"
"212992","0.002457559807226062","0.002457559807226062","0.002457559807226062"
"229376","0.002273952355608344","0.002273952355608344","0.002273952355608344"
"245760","0.002180531620979309","0.002180531620979309","0.002180531620979309"
"262144","0.002211198676377535","0.002211198676377535","0.002211198676377535"
"278528","0.0028221295215189457","0.0028221295215189457","0.0028221295215189457"
"294912","0.0031106416136026382","0.0031106416136026382","0.0031106416136026382"
"311296","0.0025884159840643406","0.0025884159840643406","0.0025884159840643406"
"327680","0.0023758341558277607","0.0023758341558277607","0.0023758341558277607"
"344064","0.0019869094248861074","0.0019869094248861074","0.0019869094248861074"
"360448","0.0013104435056447983","0.0013104435056447983","0.0013104435056447983"
"376832","0.001466203248128295","0.001466203248128295","0.001466203248128295"
"393216","0.00219197990372777","0.00219197990372777","0.00219197990372777"
"409600","0.0025433707050979137","0.0025433707050979137","0.0025433707050979137"
"425984","0.0017135036177933216","0.0017135036177933216","0.0017135036177933216"
"442368","0.0019094005692750216","0.0019094005692750216","0.0019094005692750216"
"458752","0.002223254181444645","0.002223254181444645","0.002223254181444645"
"475136","0.0026128257159143686","0.0026128257159143686","0.0026128257159143686"
"491520","0.0027298606000840664","0.0027298606000840664","0.0027298606000840664"
"507904","0.0028861616738140583","0.0028861616738140583","0.0028861616738140583"
"524288","0.002499285154044628","0.002499285154044628","0.002499285154044628"
"540672","0.002341833431273699","0.002341833431273699","0.002341833431273699"
