"Step","RewardsMean","StarGunner-v5__ppo - rewards/rewards_mean__MIN","StarGunner-v5__ppo - rewards/rewards_mean__MAX"
"16384","0.010197027586400509","0.010197027586400509","0.010197027586400509"
"32768","0.01287146657705307","0.01287146657705307","0.01287146657705307"
"49152","0.012163104489445686","0.012163104489445686","0.012163104489445686"
"65536","0.011012890376150608","0.011012890376150608","0.011012890376150608"
"81920","0.009947835467755795","0.009947835467755795","0.009947835467755795"
"98304","0.009665269404649734","0.009665269404649734","0.009665269404649734"
"114688","0.009252868592739105","0.009252868592739105","0.009252868592739105"
"131072","0.009488029405474663","0.009488029405474663","0.009488029405474663"
"147456","0.010248060338199139","0.010248060338199139","0.010248060338199139"
"163840","0.007746370509266853","0.007746370509266853","0.007746370509266853"
"180224","0.009724973700940609","0.009724973700940609","0.009724973700940609"
"196608","0.007914279587566853","0.007914279587566853","0.007914279587566853"
"212992","0.009736665524542332","0.009736665524542332","0.009736665524542332"
"229376","0.010249949991703033","0.010249949991703033","0.010249949991703033"
"245760","0.01089615561068058","0.01089615561068058","0.01089615561068058"
"262144","0.01010756753385067","0.01010756753385067","0.01010756753385067"
"278528","0.010891932994127274","0.010891932994127274","0.010891932994127274"
"294912","0.011861445382237434","0.011861445382237434","0.011861445382237434"
"311296","0.012444401159882545","0.012444401159882545","0.012444401159882545"
"327680","0.013040266931056976","0.013040266931056976","0.013040266931056976"
"344064","0.011335602030158043","0.011335602030158043","0.011335602030158043"
"360448","0.010794539004564285","0.010794539004564285","0.010794539004564285"
"376832","0.009381253272294998","0.009381253272294998","0.009381253272294998"
"393216","0.00826718658208847","0.00826718658208847","0.00826718658208847"
"409600","0.009665144607424736","0.009665144607424736","0.009665144607424736"
"425984","0.011161135509610176","0.011161135509610176","0.011161135509610176"
"442368","0.011147722601890564","0.011147722601890564","0.011147722601890564"
"458752","0.010792703367769718","0.010792703367769718","0.010792703367769718"
"475136","0.010438540950417519","0.010438540950417519","0.010438540950417519"
"491520","0.011195776984095573","0.011195776984095573","0.011195776984095573"
