"Step","RewardsMean","StarGunner-v5__ppo_noisy_net - rewards/rewards_mean__MIN","StarGunner-v5__ppo_noisy_net - rewards/rewards_mean__MAX"
"16384","0.011019596830010414","0.011019596830010414","0.011019596830010414"
"32768","0.015437355265021324","0.015437355265021324","0.015437355265021324"
"49152","0.010046113282442093","0.010046113282442093","0.010046113282442093"
"65536","0.009511107578873634","0.009511107578873634","0.009511107578873634"
"81920","0.011844199150800705","0.011844199150800705","0.011844199150800705"
"98304","0.008692603558301926","0.008692603558301926","0.008692603558301926"
"114688","0.010435269214212894","0.010435269214212894","0.010435269214212894"
"131072","0.009141568094491959","0.009141568094491959","0.009141568094491959"
"147456","0.009013427421450615","0.009013427421450615","0.009013427421450615"
"163840","0.009437564760446548","0.009437564760446548","0.009437564760446548"
"180224","0.00859583355486393","0.00859583355486393","0.00859583355486393"
"196608","0.006691551301628351","0.006691551301628351","0.006691551301628351"
"212992","0.009176671504974365","0.009176671504974365","0.009176671504974365"
"229376","0.009426744654774666","0.009426744654774666","0.009426744654774666"
"245760","0.011572466231882572","0.011572466231882572","0.011572466231882572"
"262144","0.008585469797253609","0.008585469797253609","0.008585469797253609"
"278528","0.009272634983062744","0.009272634983062744","0.009272634983062744"
"294912","0.008767753839492798","0.008767753839492798","0.008767753839492798"
"311296","0.010634821839630604","0.010634821839630604","0.010634821839630604"
"327680","0.008484512567520142","0.008484512567520142","0.008484512567520142"
"344064","0.008112188428640366","0.008112188428640366","0.008112188428640366"
"360448","0.009885020554065704","0.009885020554065704","0.009885020554065704"
"376832","0.00959850288927555","0.00959850288927555","0.00959850288927555"
"393216","0.007980050519108772","0.007980050519108772","0.007980050519108772"
"409600","0.007053340785205364","0.007053340785205364","0.007053340785205364"
"425984","0.008963629603385925","0.008963629603385925","0.008963629603385925"
"442368","0.0093727707862854","0.0093727707862854","0.0093727707862854"
"458752","0.008558297529816628","0.008558297529816628","0.008558297529816628"
"475136","0.009899655357003212","0.009899655357003212","0.009899655357003212"
"491520","0.00638531194999814","0.00638531194999814","0.00638531194999814"
"507904","0.007363704964518547","0.007363704964518547","0.007363704964518547"
"524288","0.008057855069637299","0.008057855069637299","0.008057855069637299"
"540672","0.005894115660339594","0.005894115660339594","0.005894115660339594"
"557056","0.0068727051839232445","0.0068727051839232445","0.0068727051839232445"
"573440","0.007287569344043732","0.007287569344043732","0.007287569344043732"
"589824","0.008385910652577877","0.008385910652577877","0.008385910652577877"
"606208","0.006331125274300575","0.006331125274300575","0.006331125274300575"
"622592","0.006893499288707972","0.006893499288707972","0.006893499288707972"
"638976","0.008282724767923355","0.008282724767923355","0.008282724767923355"
"655360","0.008690308779478073","0.008690308779478073","0.008690308779478073"
"671744","0.009091918356716633","0.009091918356716633","0.009091918356716633"
"688128","0.008962331339716911","0.008962331339716911","0.008962331339716911"
"704512","0.00924106128513813","0.00924106128513813","0.00924106128513813"
"720896","0.00937102921307087","0.00937102921307087","0.00937102921307087"
"737280","0.012211782857775688","0.012211782857775688","0.012211782857775688"
"753664","0.012003288604319096","0.012003288604319096","0.012003288604319096"
"770048","0.014486968517303467","0.014486968517303467","0.014486968517303467"
"786432","0.010916235856711864","0.010916235856711864","0.010916235856711864"
"802816","0.01339985802769661","0.01339985802769661","0.01339985802769661"
"819200","0.014096423983573914","0.014096423983573914","0.014096423983573914"
"835584","0.014394155703485012","0.014394155703485012","0.014394155703485012"
"851968","0.017574306577444077","0.017574306577444077","0.017574306577444077"
"868352","0.021502770483493805","0.021502770483493805","0.021502770483493805"
"884736","0.020456433296203613","0.020456433296203613","0.020456433296203613"
"901120","0.020151743665337563","0.020151743665337563","0.020151743665337563"
"917504","0.021129626780748367","0.021129626780748367","0.021129626780748367"
"933888","0.020234297960996628","0.020234297960996628","0.020234297960996628"
"950272","0.017374219372868538","0.017374219372868538","0.017374219372868538"
"966656","0.0198407843708992","0.0198407843708992","0.0198407843708992"
"983040","0.02152222767472267","0.02152222767472267","0.02152222767472267"
"999424","0.019627612084150314","0.019627612084150314","0.019627612084150314"
"1015808","0.018411759287118912","0.018411759287118912","0.018411759287118912"
"1032192","0.021569490432739258","0.021569490432739258","0.021569490432739258"
"1048576","0.021977726370096207","0.021977726370096207","0.021977726370096207"
"1064960","0.022713150829076767","0.022713150829076767","0.022713150829076767"
"1081344","0.02014557644724846","0.02014557644724846","0.02014557644724846"
"1097728","0.018968092277646065","0.018968092277646065","0.018968092277646065"
"1114112","0.020352788269519806","0.020352788269519806","0.020352788269519806"
"1130496","0.02185562252998352","0.02185562252998352","0.02185562252998352"
"1146880","0.020440971478819847","0.020440971478819847","0.020440971478819847"
"1163264","0.02147267386317253","0.02147267386317253","0.02147267386317253"
"1179648","0.021204151213169098","0.021204151213169098","0.021204151213169098"
"1196032","0.021050233393907547","0.021050233393907547","0.021050233393907547"
