vmf/direction_dim_14_hist,vmf/direction_dim_0_hist,vmf/mean_direction,vmf/direction_dim_6_hist,losses/int_value_loss,vmf/direction_dim_13_hist,charts/max_traj_len,returns/int_advantages,vmf/direction_dim_12_hist,charts/episode_return,vmf/direction_dim_11_hist,vmf/direction_dim_1_hist,charts/game_score,rewards/raw_game_rewards_min,_timestamp,rewards/rewards_mean,charts/SPS,charts/learning_rate,rewards/num_envs_with_pos_rews,charts/vmf_kappa,charts/traj_len,rewards/intrinsic_rewards_mean,rewards/raw_game_rewards_mean,charts/min_traj_len,charts/iterations,vmf/direction_dim_5_hist,returns/values_int,returns/advantages,charts/time_per_it,rewards/raw_game_rewards_max,returns/ext_advantages,losses/entropy,losses/ext_value_loss,_step,charts/returns_hist,vmf/direction_dim_3_hist,rewards/rewards_max,losses/approx_kl,vmf/direction_dim_15_hist,charts/min_game_score,losses/policy_loss,rewards/rewards_min,charts/success_rate,rewards/rewards_for_plot,vmf/direction_dim_9_hist,vmf/direction_dim_10_hist,losses/old_approx_kl,rewards/intrinsic_rewards_max,rewards/intrinsic_rewards_min,charts/e1_mu_angle,vmf/direction_dim_2_hist,losses/all_loss,_runtime,charts/max_game_score,losses/clipfrac,vmf/direction_dim_4_hist,vmf/direction_dim_7_hist,vmf/direction_dim_8_hist,returns/values_ext,returns/ret_ext,returns/ret_int
,,,,0.012466810643672943,,1059.0,0.0022609587758779526,,320.0,,,338.125,0.0,1733526058.9681573,0.00433909147977829,825.0,0.0003,108.0,22.76062846183777,649.7578125,0.010613419115543365,0.04730224609375,0.0,68.0,,0.7230902910232544,-0.002754411194473505,18.84776520729065,1.0,-0.002777020912617445,2.555060863494873,0.007461546920239925,1114112.0,,,0.09173119813203812,0.0019236874068155885,,0.0,-0.002204239834100008,0.0,1.0,0.04730224609375,,,0.0007518195197917521,0.0434163436293602,-0.030647626146674156,75.66443456730649,,-0.017790667712688446,1380.8477096,920.0,0.0578155517578125,,,,0.5513429641723633,0.5485658645629883,0.7253512144088745
,,,,,,,,,330.0,,,,,1733526066.6530204,,,,,22.769886553287506,,,,,,,,,,,,,,1120128.0,,,,,,,,,1.0,,,,,,,,,,1388.975609001,,,,,,,,
,,,,,,,,,320.0,,,,,1733526166.7307591,,,,,23.150789737701416,,,,,,,,,,,,,,1206272.0,,,,,,,,,1.0,,,,,,,,,,1490.639074509,,,,,,,,
,,,,,,,,,300.0,,,,,1733526176.4779236,,,,,23.150789737701416,,,,,,,,,,,,,,1212928.0,,,,,,,,,1.0,,,,,,,,,,1498.334903929,,,,,,,,
,,,,,,,,,270.0,,,,,1733526250.5295148,,,,,22.929243743419647,,,,,,,,,,,,,,1276800.0,,,,,,,,,1.0,,,,,,,,,,1572.380813246,,,,,,,,
,,,,,,,,,240.0,,,,,1733526290.648,,,,,22.927859723567963,,,,,,,,,,,,,,1310592.0,,,,,,,,,1.0,,,,,,,,,,1612.514316326,,,,,,,,
,,,,,,,,,400.0,,,,,1733526418.069459,,,,,22.950162291526794,,,,,,,,,,,,,,1417216.0,,,,,,,,,1.0,,,,,,,,,,1741.340281127,,,,,,,,
,,,,,,,,,310.0,,,,,1733526540.1387572,,,,,23.193517327308655,,,,,,,,,,,,,,1520000.0,,,,,,,,,1.0,,,,,,,,,,1863.154696415,,,,,,,,
,,,,,,,,,470.0,,,,,1733526549.049155,,,,,23.193517327308655,,,,,,,,,,,,,,1526016.0,,,,,,,,,1.0,,,,,,,,,,1870.793497738,,,,,,,,
,,,,,,,,,290.0,,,,,1733526549.1758869,,,,,23.193517327308655,,,,,,,,,,,,,,1526144.0,,,,,,,,,1.0,,,,,,,,,,1870.919147437,,,,,,,,
