charts/time_per_it,returns/ret_ext,_step,losses/approx_kl,losses/old_approx_kl,charts/min_game_score,returns/values_ext,_runtime,rewards/num_envs_with_pos_rews,losses/clipfrac,losses/policy_loss,returns/advantages,charts/max_game_score,losses/entropy,charts/learning_rate,rewards/rewards_min,rewards/rewards_mean,rewards/rewards_max,charts/max_traj_len,charts/min_traj_len,charts/SPS,charts/game_score,charts/iterations,_timestamp,losses/all_loss,charts/traj_len,losses/value_loss
20.290326833724976,0.46948209404945374,16384,8.710748807061464e-05,0.00018369301687926054,0,-0.04418741911649704,50,128,0.0,-0.000729030929505825,0.513669490814209,0,2.8901662826538086,0.0001,0,0.03480364382266998,0.6945467591285706,0,0,745,NaN,1,1733300735,0.0905357375741005,NaN,0.1825295388698578
17.60318422317505,0.2935296893119812,32768,2.6352034183219075e-05,-0.00022285612067207694,0,0.022417673841118813,68,125,0.0,-0.0003205370157957077,0.27111202478408813,0,2.89016056060791,0.0001,0,0.020258817821741104,0.7002541422843933,0,0,827,NaN,2,1733300753,0.04312041401863098,NaN,0.08688190579414368
17.907626628875732,0.20286667346954346,49152,1.3352531823329628e-05,-6.917770951986313e-05,0,-0.017154380679130554,86,111,0.0,-0.00024225004017353058,0.220021054148674,0,2.890190601348877,0.0001,0,0.015311803668737411,0.7250537276268005,0,0,854,NaN,3,1733300771,0.03451986610889435,NaN,0.06952422857284546
17.404966354370117,0.2491091638803482,65536,2.0006278646178544e-05,0.00016258517280220985,0,0.02399931475520134,103,106,0.0,-0.0005087209865450859,0.22510983049869537,170,2.8901774883270264,0.0001,0,0.016009541228413582,0.7127726078033447,511,0,874,144.2857208251953,4,1733300788,0.03585514798760414,493.57142857142856,0.0727277398109436
18.20068120956421,0.290520578622818,81920,2.562366717029363e-05,3.0105002224445343e-07,0,0.01773068867623806,121,110,0.0,-0.0003071902319788933,0.2727898955345154,270,2.8902437686920166,0.0001,0,0.02024633251130581,0.6939663887023926,640,0,879,165.5223846435547,5,1733300806,0.04695403203368187,577.5970149253732,0.09452244639396667
17.730763912200928,0.37409695982933044,98304,0.00013427823432721198,0.0001351330429315567,0,0.03716764226555824,139,125,0.0,-0.0006124656647443771,0.3369293212890625,320,2.8901185989379883,0.0001,0,0.02484310232102871,0.6694562435150146,761,0,886,174.81817626953125,6,1733300824,0.05953623354434967,625.5272727272727,0.1202974021434784
17.35178828239441,0.3837818503379822,114688,0.00011509384785313159,0.0005822649109177291,0,0.12540236115455627,156,123,0.0,-0.0003362782299518585,0.2583794593811035,780,2.8898017406463623,0.0001,0,0.020184986293315887,0.6654140949249268,888,0,894,187.47967529296875,7,1733300841,0.04365241527557373,645.8373983739838,0.08797738701105118
18.418378829956055,0.27897658944129944,131072,0.00014551410276908427,0.0003452732926234603,0,0.0403531938791275,175,116,0.0,-0.0006659494247287512,0.23862339556217194,780,2.889786720275879,0.0001,0,0.01757078804075718,0.6617926359176636,934,0,893,188.828125,8,1733300860,0.04061008617281914,653.3359375,0.08255206793546677
17.27837061882019,0.29578840732574463,147456,0.00033141643507406116,0.0010392280528321862,0,0.09327997267246246,192,102,0.0,-0.0010235607624053955,0.20250846445560455,780,2.888512134552002,0.0001,0,0.01538977399468422,0.6600682139396667,1094,0,899,192.1875,9,1733300877,0.03680362552404404,661.0234375,0.07565437257289886
17.491190671920776,0.3544386327266693,163840,0.001036513363942504,1.2467557098716497e-05,0,0.12123362720012665,210,106,0.0,-0.00180804543197155,0.23320500552654266,780,2.8861331939697266,0.0001,0,0.018290938809514046,0.6528948545455933,1094,0,903,193.828125,10,1733300895,0.04256999492645264,669.0625,0.08875607699155807
19.363986253738403,0.45111408829689026,180224,0.0009002116275951266,0.0006475584232248366,0,0.16966208815574646,229,122,0.0068359375,-0.0010525754187256098,0.2814520001411438,780,2.8848166465759277,0.0001,0,0.022820226848125458,0.6457453966140747,1094,0,897,200.625,11,1733300914,0.05328679829835892,671.5234375,0.10867875069379807
17.562907934188843,0.3468133211135864,196608,0.0004696266842074692,0.0005705031217075884,0,0.0805455893278122,246,116,0.0,-0.001044735312461853,0.26626771688461304,1770,2.8830795288085938,0.0001,0,0.020213618874549866,0.6405801773071289,1094,0,900,213.671875,12,1733300931,0.044653281569480896,674.765625,0.0913960337638855
17.188485145568848,0.25052908062934875,212992,0.0013867104426026344,0.0008005510317161679,0,0.026797957718372345,264,110,0.001373291015625,-0.0017809998244047165,0.223731130361557,1770,2.8779098987579346,0.0001,0,0.016079317778348923,0.64569491147995,1094,0,904,207.578125,13,1733300949,0.03587324917316437,670.0234375,0.07530849426984787
17.753466367721558,0.40572571754455566,229376,0.0009013272938318551,0.0007248831097967923,0,0.15908636152744293,281,113,0.0250396728515625,-0.001473278971388936,0.24663937091827393,1770,2.871997117996216,0.0001,0,0.0195377916097641,0.6427854299545288,978,0,905,207.03125,14,1733300966,0.04341858625411987,668.7265625,0.08978372812271118
18.101362943649292,0.4655913710594177,245760,0.0010585663840174675,0.001136565813794732,0,0.25360846519470215,300,117,0.0187835693359375,-0.0010892720893025398,0.21198293566703796,1770,2.8644797801971436,0.0001,0,0.019097261130809784,0.642483651638031,1089,0,905,220.078125,15,1733300985,0.04092628136277199,683.984375,0.0840311050415039
17.867145776748657,0.4570590853691101,262144,0.001427436014637351,-0.0009280862868763506,0,0.1946716159582138,317,122,0.028900146484375,-0.002154378220438957,0.2623874545097351,1770,2.85715913772583,0.0001,0,0.021878201514482498,0.63668292760849,1089,0,906,222.96875,16,1733301002,0.05230308324098587,682.34375,0.10891492664813995
