charts/time_per_it,returns/ret_ext,_step,losses/approx_kl,losses/old_approx_kl,charts/min_game_score,returns/values_ext,_runtime,rewards/num_envs_with_pos_rews,losses/clipfrac,losses/policy_loss,returns/advantages,charts/max_game_score,losses/entropy,charts/learning_rate,rewards/rewards_min,rewards/rewards_mean,rewards/rewards_max,charts/max_traj_len,charts/min_traj_len,charts/SPS,charts/game_score,charts/iterations,_timestamp,losses/all_loss,charts/traj_len,losses/value_loss
13.754507064819336,0.171098530292511,16384,4.6139757614582777e-07,-4.739849828183651e-07,0,9.532706462778151e-05,40,31,0.0,-4.265829920768738e-05,0.17100322246551514,0,2.890371322631836,0.0001,0,0.010197027586400509,5.06266975402832,0,0,1145,NaN,1,1733163239,0.08528052270412445,NaN,0.22845378518104553
11.640503406524658,0.21684902906417847,32768,4.416651790961623e-07,8.535571396350861e-07,0,0.03493918478488922,52,59,0.0,-8.150702342391014e-06,0.18190982937812805,0,2.8903698921203613,0.0001,0,0.01287146657705307,2.7387807369232178,0,0,1262,NaN,2,1733163251,0.03953186422586441,NaN,0.13688743114471436
11.698539018630981,0.30529361963272095,49152,9.635841706767678e-07,2.1117215510457754e-05,0,0.1590651571750641,64,62,0.0,-2.4541281163692474e-05,0.14622847735881805,400,2.8903684616088867,0.0001,0,0.012163104489445686,2.3444740772247314,374,0,1305,400,3,1733163263,0.019242171198129654,374,0.09634079039096832
11.719887495040894,0.3577168583869934,65536,7.695271051488817e-06,1.5250639989972115e-05,0,0.2419438362121582,75,62,0.0,-3.764918074011803e-05,0.1157730221748352,400,2.890354633331299,0.0001,0,0.011012890376150608,2.2004292011260986,488,0,1327,200,4,1733163274,0.019631054252386093,431,0.09714449942111969
10.870421886444092,0.4031829833984375,81920,1.9398503354750574e-05,-0.00010630826000124216,0,0.3168315291404724,86,55,0.0,-5.604047328233719e-05,0.0863514393568039,900,2.8903093338012695,0.0001,0,0.009947835467755795,2.1445438861846924,614,0,1359,409.0909118652344,5,1733163285,0.014493867754936218,537.0909090909091,0.08690600097179413
10.210708379745483,0.4359290301799774,98304,0.00014175771502777934,-0.0003308654995635152,0,0.3785918951034546,96,60,0.0,-0.0007720086723566055,0.057337164878845215,1100,2.8900489807128906,0.0001,0,0.009665269404649734,2.11141037940979,756,0,1395,475.862060546875,6,1733163295,0.007317973300814629,636.6206896551724,0.07398094236850739
11.456142663955688,0.49615368247032166,114688,0.0010549451690167189,0.00188979203812778,0,0.44884657859802246,108,55,0.0004119873046875,-0.000985526479780674,0.04730714485049248,1100,2.888065814971924,0.0001,0,0.009252868592739105,2.105541467666626,895,0,1400,525.6410522460938,7,1733163307,0.006499726325273514,692.3076923076923,0.07273182272911072
11.650009155273438,0.539087176322937,131072,0.0004090704023838043,-0.00022382230963557959,0,0.497487336397171,120,56,0.0,-0.0006531944964081049,0.04159978777170181,1100,2.8862671852111816,0.0001,0,0.009488029405474663,2.100701093673706,1019,0,1400,545.4545288085938,8,1733163319,0.00791165977716446,769.8909090909091,0.07485505193471909
11.683096170425415,0.5659164190292358,147456,0.0008470587199553847,-0.00010137411300092936,0,0.5278496742248535,131,60,0.0083465576171875,-0.0021209027618169785,0.038066692650318146,1300,2.883371353149414,0.0001,0,0.010248060338199139,2.0988028049468994,1148,0,1401,579.2207641601562,9,1733163330,0.010001158341765404,854.5714285714286,0.08191154897212982
11.573740482330322,0.5587095022201538,163840,0.0004895841702818871,-0.0004985826089978218,0,0.5443747043609619,143,52,0.0,-0.0014224974438548088,0.0143347829580307,1300,2.8853249549865723,0.0001,0,0.007746370509266853,2.1152756214141846,1278,0,1402,607.6190185546875,10,1733163342,0.0015711784362792969,921.1142857142858,0.06369385123252869
10.546624183654785,0.5962725877761841,180224,0.00026800725026987493,0.0005552511429414153,0,0.5575939416885376,153,59,0.0,-0.00019276142120361328,0.03867869824171066,1300,2.8850693702697754,0.0001,0,0.009724973700940609,2.124452829360962,1366,0,1414,605.26318359375,11,1733163352,0.009150326251983643,940.6929824561404,0.07638756185770035
10.588295936584473,0.5899036526679993,196608,0.0014050111640244722,0.0018026863690465689,0,0.5902441143989563,164,46,0.000335693359375,-0.002064547035843134,-0.000340532511472702,1300,2.8789548873901367,0.0001,0,0.007914279587566853,2.125697612762451,1511,0,1425,621.4285888671875,12,1733163363,0.0019702427089214325,970.015873015873,0.06564867496490479
11.581946611404419,0.6138501167297363,212992,0.001731632393784821,0.0037061935290694237,0,0.5959628820419312,176,55,0.0171661376953125,-0.001970835728570819,0.017887186259031296,1300,2.869032382965088,0.0001,0,0.009736665524542332,2.127007007598877,1661,0,1424,628.90625,13,1733163375,0.006711579859256744,1008.4375,0.07474547624588013
11.545613527297974,0.6474519968032837,229376,0.0016766944900155067,0.003523412626236677,0,0.6229873895645142,187,64,0.0303802490234375,-0.0010573677718639374,0.02446458488702774,1500,2.857475757598877,0.0001,0,0.010249949991703033,2.1257617473602295,1684,0,1423,649.21875,14,1733163386,0.01098695769906044,1038.6953125,0.08123816549777985
11.527150869369507,0.6794792413711548,245760,0.0015820669941604137,0.0013194538187235594,0,0.6384498476982117,199,62,0.0058746337890625,-0.001953206956386566,0.04102940857410431,1500,2.8536570072174072,0.0001,0,0.01089615561068058,2.1252691745758057,1855,0,1423,646.875,15,1733163398,0.012115251272916794,1062.3828125,0.08521005511283875
