"Step","Score","StarGunner-v5__ppo_rle_SwitchStep500 - charts/game_score__MIN","StarGunner-v5__ppo_rle_SwitchStep500 - charts/game_score__MAX"
"2326528","1698.4375","1698.4375","1698.4375"
"2342912","1634.375","1634.375","1634.375"
"2359296","1689.84375","1689.84375","1689.84375"
"2375680","1681.25","1681.25","1681.25"
"2392064","1681.25","1681.25","1681.25"
"2408448","1682.03125","1682.03125","1682.03125"
"2424832","1730.46875","1730.46875","1730.46875"
"2441216","1669.53125","1669.53125","1669.53125"
"2457600","1689.84375","1689.84375","1689.84375"
"2473984","1665.625","1665.625","1665.625"
"2490368","1701.5625","1701.5625","1701.5625"
"2506752","1629.6875","1629.6875","1629.6875"
"2523136","1630.46875","1630.46875","1630.46875"
"2539520","1632.03125","1632.03125","1632.03125"
"2555904","1685.9375","1685.9375","1685.9375"
"2572288","1682.03125","1682.03125","1682.03125"
"2588672","1714.0625","1714.0625","1714.0625"
"2605056","1706.25","1706.25","1706.25"
"2621440","1772.65625","1772.65625","1772.65625"
"2637824","1792.1875","1792.1875","1792.1875"
"2654208","1757.8125","1757.8125","1757.8125"
"2670592","1760.15625","1760.15625","1760.15625"
"2686976","1746.09375","1746.09375","1746.09375"
"2703360","1783.59375","1783.59375","1783.59375"
"2719744","1810.15625","1810.15625","1810.15625"
"2736128","1828.90625","1828.90625","1828.90625"
"2752512","1850","1850","1850"
"2768896","1836.71875","1836.71875","1836.71875"
"2785280","1834.375","1834.375","1834.375"
"2801664","1857.03125","1857.03125","1857.03125"
"2818048","1914.84375","1914.84375","1914.84375"
"2834432","1925.78125","1925.78125","1925.78125"
"2850816","1913.28125","1913.28125","1913.28125"
"2867200","1885.9375","1885.9375","1885.9375"
"2883584","1896.09375","1896.09375","1896.09375"
"2899968","1932.03125","1932.03125","1932.03125"
"2916352","1947.65625","1947.65625","1947.65625"
"2932736","1951.5625","1951.5625","1951.5625"
"2949120","1978.125","1978.125","1978.125"
"2965504","1953.125","1953.125","1953.125"
"2981888","2004.6875","2004.6875","2004.6875"
"2998272","2010.9375","2010.9375","2010.9375"
"3014656","2065.625","2065.625","2065.625"
"3031040","2103.125","2103.125","2103.125"
"3047424","2061.71875","2061.71875","2061.71875"
"3063808","2037.5","2037.5","2037.5"
"3080192","2076.5625","2076.5625","2076.5625"
"3096576","2051.5625","2051.5625","2051.5625"
"3112960","2109.375","2109.375","2109.375"
"3129344","2144.53125","2144.53125","2144.53125"
"3145728","2205.46875","2205.46875","2205.46875"
"3162112","2198.4375","2198.4375","2198.4375"
"3178496","2231.25","2231.25","2231.25"
"3194880","2184.375","2184.375","2184.375"
"3211264","2220.3125","2220.3125","2220.3125"
"3227648","2257.8125","2257.8125","2257.8125"
"3244032","2123.4375","2123.4375","2123.4375"
"3260416","2149.21875","2149.21875","2149.21875"
"3276800","2178.125","2178.125","2178.125"
"3293184","2228.90625","2228.90625","2228.90625"
"3309568","2155.46875","2155.46875","2155.46875"
"3325952","2167.1875","2167.1875","2167.1875"
"3342336","2140.625","2140.625","2140.625"
"3358720","2238.28125","2238.28125","2238.28125"
"3375104","2236.71875","2236.71875","2236.71875"
"3391488","2193.75","2193.75","2193.75"
"3407872","2174.21875","2174.21875","2174.21875"
"3424256","2203.90625","2203.90625","2203.90625"
"3440640","2187.5","2187.5","2187.5"
"3457024","2221.875","2221.875","2221.875"
"3473408","2233.59375","2233.59375","2233.59375"
"3489792","2249.21875","2249.21875","2249.21875"
"3506176","2288.28125","2288.28125","2288.28125"
"3522560","2389.84375","2389.84375","2389.84375"
"3538944","2419.53125","2419.53125","2419.53125"
"3555328","2467.96875","2467.96875","2467.96875"
"3571712","2505.46875","2505.46875","2505.46875"
"3588096","2482.8125","2482.8125","2482.8125"
"3604480","2484.375","2484.375","2484.375"
"3620864","2460.15625","2460.15625","2460.15625"
"3637248","2417.96875","2417.96875","2417.96875"
"3653632","2397.65625","2397.65625","2397.65625"
"3670016","2373.4375","2373.4375","2373.4375"
"3686400","2346.875","2346.875","2346.875"
"3702784","2469.53125","2469.53125","2469.53125"
"3719168","2546.09375","2546.09375","2546.09375"
"3735552","2653.125","2653.125","2653.125"
"3751936","2742.96875","2742.96875","2742.96875"
"3768320","2782.8125","2782.8125","2782.8125"
"3784704","2891.40625","2891.40625","2891.40625"
"3801088","2835.15625","2835.15625","2835.15625"
"3817472","2900.78125","2900.78125","2900.78125"
"3833856","2851.5625","2851.5625","2851.5625"
"3850240","2839.0625","2839.0625","2839.0625"
"3866624","2745.3125","2745.3125","2745.3125"
"3883008","2763.28125","2763.28125","2763.28125"
"3899392","2732.8125","2732.8125","2732.8125"
"3915776","2794.53125","2794.53125","2794.53125"
"3932160","2860.9375","2860.9375","2860.9375"
"3948544","2839.84375","2839.84375","2839.84375"
"3964928","2861.71875","2861.71875","2861.71875"
"3981312","2927.34375","2927.34375","2927.34375"
"3997696","3016.40625","3016.40625","3016.40625"
"4014080","3092.96875","3092.96875","3092.96875"
"4030464","3021.875","3021.875","3021.875"
"4046848","3009.375","3009.375","3009.375"
"4063232","3033.59375","3033.59375","3033.59375"
"4079616","3039.0625","3039.0625","3039.0625"
"4096000","2988.28125","2988.28125","2988.28125"
"4112384","3019.53125","3019.53125","3019.53125"
"4128768","2853.90625","2853.90625","2853.90625"
"4145152","2846.875","2846.875","2846.875"
"4161536","3059.375","3059.375","3059.375"
