"Step","Score","StarGunner-v5__ppo_noisy_net - charts/game_score__MIN","StarGunner-v5__ppo_noisy_net - charts/game_score__MAX"
"2375680","1328.125","1328.125","1328.125"
"2392064","1312.5","1312.5","1312.5"
"2408448","1313.28125","1313.28125","1313.28125"
"2424832","1300","1300","1300"
"2441216","1292.96875","1292.96875","1292.96875"
"2457600","1334.375","1334.375","1334.375"
"2473984","1360.15625","1360.15625","1360.15625"
"2490368","1365.625","1365.625","1365.625"
"2506752","1385.15625","1385.15625","1385.15625"
"2523136","1407.03125","1407.03125","1407.03125"
"2539520","1407.03125","1407.03125","1407.03125"
"2555904","1402.34375","1402.34375","1402.34375"
"2572288","1449.21875","1449.21875","1449.21875"
"2588672","1484.375","1484.375","1484.375"
"2605056","1497.65625","1497.65625","1497.65625"
"2621440","1507.03125","1507.03125","1507.03125"
"2637824","1475.78125","1475.78125","1475.78125"
"2654208","1440.625","1440.625","1440.625"
"2670592","1425.78125","1425.78125","1425.78125"
"2686976","1433.59375","1433.59375","1433.59375"
"2703360","1467.1875","1467.1875","1467.1875"
"2719744","1458.59375","1458.59375","1458.59375"
"2736128","1451.5625","1451.5625","1451.5625"
"2752512","1448.4375","1448.4375","1448.4375"
"2768896","1443.75","1443.75","1443.75"
"2785280","1395.3125","1395.3125","1395.3125"
"2801664","1397.65625","1397.65625","1397.65625"
"2818048","1414.0625","1414.0625","1414.0625"
"2834432","1425.78125","1425.78125","1425.78125"
"2850816","1392.96875","1392.96875","1392.96875"
"2867200","1414.84375","1414.84375","1414.84375"
"2883584","1439.0625","1439.0625","1439.0625"
"2899968","1441.40625","1441.40625","1441.40625"
"2916352","1469.53125","1469.53125","1469.53125"
"2932736","1532.8125","1532.8125","1532.8125"
"2949120","1561.71875","1561.71875","1561.71875"
"2965504","1555.46875","1555.46875","1555.46875"
"2981888","1528.90625","1528.90625","1528.90625"
"2998272","1506.25","1506.25","1506.25"
"3014656","1427.34375","1427.34375","1427.34375"
"3031040","1375.78125","1375.78125","1375.78125"
"3047424","1357.8125","1357.8125","1357.8125"
"3063808","1390.625","1390.625","1390.625"
"3080192","1401.5625","1401.5625","1401.5625"
"3096576","1435.9375","1435.9375","1435.9375"
"3112960","1450","1450","1450"
"3129344","1489.0625","1489.0625","1489.0625"
"3145728","1478.90625","1478.90625","1478.90625"
"3162112","1522.65625","1522.65625","1522.65625"
"3178496","1492.1875","1492.1875","1492.1875"
"3194880","1507.8125","1507.8125","1507.8125"
"3211264","1511.71875","1511.71875","1511.71875"
"3227648","1512.5","1512.5","1512.5"
"3244032","1485.15625","1485.15625","1485.15625"
"3260416","1521.09375","1521.09375","1521.09375"
"3276800","1508.59375","1508.59375","1508.59375"
"3293184","1494.53125","1494.53125","1494.53125"
"3309568","1467.96875","1467.96875","1467.96875"
"3325952","1482.8125","1482.8125","1482.8125"
"3342336","1479.6875","1479.6875","1479.6875"
"3358720","1492.96875","1492.96875","1492.96875"
"3375104","1482.03125","1482.03125","1482.03125"
"3391488","1496.09375","1496.09375","1496.09375"
"3407872","1498.4375","1498.4375","1498.4375"
"3424256","1497.65625","1497.65625","1497.65625"
"3440640","1502.34375","1502.34375","1502.34375"
"3457024","1539.0625","1539.0625","1539.0625"
"3473408","1576.5625","1576.5625","1576.5625"
"3489792","1642.96875","1642.96875","1642.96875"
"3506176","1603.90625","1603.90625","1603.90625"
"3522560","1662.5","1662.5","1662.5"
"3538944","1677.34375","1677.34375","1677.34375"
"3555328","1636.71875","1636.71875","1636.71875"
"3571712","1633.59375","1633.59375","1633.59375"
"3588096","1626.5625","1626.5625","1626.5625"
"3604480","1578.125","1578.125","1578.125"
"3620864","1574.21875","1574.21875","1574.21875"
"3637248","1554.6875","1554.6875","1554.6875"
"3653632","1593.75","1593.75","1593.75"
"3670016","1564.0625","1564.0625","1564.0625"
"3686400","1625","1625","1625"
"3702784","1617.1875","1617.1875","1617.1875"
"3719168","1669.53125","1669.53125","1669.53125"
"3735552","1622.65625","1622.65625","1622.65625"
"3751936","1632.03125","1632.03125","1632.03125"
"3768320","1642.1875","1642.1875","1642.1875"
"3784704","1620.3125","1620.3125","1620.3125"
"3801088","1586.71875","1586.71875","1586.71875"
"3817472","1616.40625","1616.40625","1616.40625"
"3833856","1609.375","1609.375","1609.375"
"3850240","1628.90625","1628.90625","1628.90625"
"3866624","1663.28125","1663.28125","1663.28125"
