"Step","Score","StarGunner-v5__ppo - charts/game_score__MIN","StarGunner-v5__ppo - charts/game_score__MAX"
"2375680","1825.78125","1825.78125","1825.78125"
"2392064","1817.96875","1817.96875","1817.96875"
"2408448","1936.71875","1936.71875","1936.71875"
"2424832","2080.46875","2080.46875","2080.46875"
"2441216","2101.5625","2101.5625","2101.5625"
"2457600","2073.4375","2073.4375","2073.4375"
"2473984","2101.5625","2101.5625","2101.5625"
"2490368","2124.21875","2124.21875","2124.21875"
"2506752","2114.0625","2114.0625","2114.0625"
"2523136","2032.8125","2032.8125","2032.8125"
"2539520","2009.375","2009.375","2009.375"
"2555904","2038.28125","2038.28125","2038.28125"
"2572288","2022.65625","2022.65625","2022.65625"
"2588672","2042.96875","2042.96875","2042.96875"
"2605056","2048.4375","2048.4375","2048.4375"
"2621440","2078.90625","2078.90625","2078.90625"
"2637824","2117.96875","2117.96875","2117.96875"
"2654208","2088.28125","2088.28125","2088.28125"
"2670592","2119.53125","2119.53125","2119.53125"
"2686976","2184.375","2184.375","2184.375"
"2703360","2217.96875","2217.96875","2217.96875"
"2719744","2183.59375","2183.59375","2183.59375"
"2736128","2237.5","2237.5","2237.5"
"2752512","2241.40625","2241.40625","2241.40625"
"2768896","2233.59375","2233.59375","2233.59375"
"2785280","2221.875","2221.875","2221.875"
"2801664","2149.21875","2149.21875","2149.21875"
"2818048","2137.5","2137.5","2137.5"
"2834432","2092.96875","2092.96875","2092.96875"
"2850816","2089.84375","2089.84375","2089.84375"
"2867200","2055.46875","2055.46875","2055.46875"
"2883584","2031.25","2031.25","2031.25"
"2899968","2017.1875","2017.1875","2017.1875"
"2916352","2003.90625","2003.90625","2003.90625"
"2932736","2075","2075","2075"
"2949120","2079.6875","2079.6875","2079.6875"
"2965504","2098.4375","2098.4375","2098.4375"
"2981888","2099.21875","2099.21875","2099.21875"
"2998272","2121.09375","2121.09375","2121.09375"
"3014656","2199.21875","2199.21875","2199.21875"
"3031040","2271.875","2271.875","2271.875"
"3047424","2326.5625","2326.5625","2326.5625"
"3063808","2359.375","2359.375","2359.375"
"3080192","2362.5","2362.5","2362.5"
"3096576","2415.625","2415.625","2415.625"
"3112960","2355.46875","2355.46875","2355.46875"
"3129344","2365.625","2365.625","2365.625"
"3145728","2394.53125","2394.53125","2394.53125"
"3162112","2416.40625","2416.40625","2416.40625"
"3178496","2432.03125","2432.03125","2432.03125"
"3194880","2432.03125","2432.03125","2432.03125"
"3211264","2408.59375","2408.59375","2408.59375"
"3227648","2476.5625","2476.5625","2476.5625"
"3244032","2394.53125","2394.53125","2394.53125"
"3260416","2432.8125","2432.8125","2432.8125"
"3276800","2381.25","2381.25","2381.25"
"3293184","2315.625","2315.625","2315.625"
"3309568","2329.6875","2329.6875","2329.6875"
"3325952","2343.75","2343.75","2343.75"
"3342336","2369.53125","2369.53125","2369.53125"
"3358720","2364.84375","2364.84375","2364.84375"
"3375104","2364.84375","2364.84375","2364.84375"
"3391488","2371.875","2371.875","2371.875"
"3407872","2342.1875","2342.1875","2342.1875"
"3424256","2311.71875","2311.71875","2311.71875"
"3440640","2350","2350","2350"
"3457024","2393.75","2393.75","2393.75"
"3473408","2331.25","2331.25","2331.25"
"3489792","2417.96875","2417.96875","2417.96875"
"3506176","2407.8125","2407.8125","2407.8125"
"3522560","2511.71875","2511.71875","2511.71875"
"3538944","2639.0625","2639.0625","2639.0625"
"3555328","2603.90625","2603.90625","2603.90625"
"3571712","2642.96875","2642.96875","2642.96875"
"3588096","2639.84375","2639.84375","2639.84375"
"3604480","2594.53125","2594.53125","2594.53125"
"3620864","2561.71875","2561.71875","2561.71875"
"3637248","2565.625","2565.625","2565.625"
"3653632","2475.78125","2475.78125","2475.78125"
"3670016","2532.8125","2532.8125","2532.8125"
"3686400","2561.71875","2561.71875","2561.71875"
"3702784","2551.5625","2551.5625","2551.5625"
"3719168","2601.5625","2601.5625","2601.5625"
"3735552","2795.3125","2795.3125","2795.3125"
"3751936","2839.84375","2839.84375","2839.84375"
"3768320","2893.75","2893.75","2893.75"
"3784704","2956.25","2956.25","2956.25"
"3801088","3043.75","3043.75","3043.75"
"3817472","3025.78125","3025.78125","3025.78125"
"3833856","2992.96875","2992.96875","2992.96875"
"3850240","2925","2925","2925"
"3866624","2892.1875","2892.1875","2892.1875"
"3883008","2881.25","2881.25","2881.25"
"3899392","2838.28125","2838.28125","2838.28125"
"3915776","2792.96875","2792.96875","2792.96875"
"3932160","2871.875","2871.875","2871.875"
"3948544","2915.625","2915.625","2915.625"
"3964928","2989.0625","2989.0625","2989.0625"
"3981312","3160.9375","3160.9375","3160.9375"
"3997696","3194.53125","3194.53125","3194.53125"
"4014080","3197.65625","3197.65625","3197.65625"
"4030464","3139.84375","3139.84375","3139.84375"
"4046848","3089.0625","3089.0625","3089.0625"
"4063232","3046.875","3046.875","3046.875"
"4079616","3087.5","3087.5","3087.5"
"4096000","3089.0625","3089.0625","3089.0625"
"4112384","3024.21875","3024.21875","3024.21875"
"4128768","3120.3125","3120.3125","3120.3125"
"4145152","3110.9375","3110.9375","3110.9375"
"4161536","3178.125","3178.125","3178.125"
"4177920","3248.4375","3248.4375","3248.4375"
"4194304","3358.59375","3358.59375","3358.59375"
"4210688","3335.9375","3335.9375","3335.9375"
"4227072","3227.34375","3227.34375","3227.34375"
"4243456","3278.125","3278.125","3278.125"
"4259840","3267.1875","3267.1875","3267.1875"
"4276224","3325.78125","3325.78125","3325.78125"
"4292608","3437.5","3437.5","3437.5"
"4308992","3350.78125","3350.78125","3350.78125"
"4325376","3287.5","3287.5","3287.5"
"4341760","3415.625","3415.625","3415.625"
"4358144","3521.09375","3521.09375","3521.09375"
"4374528","3475.78125","3475.78125","3475.78125"
"4390912","3424.21875","3424.21875","3424.21875"
"4407296","3461.71875","3461.71875","3461.71875"
"4423680","3532.8125","3532.8125","3532.8125"
"4440064","3576.5625","3576.5625","3576.5625"
"4456448","3539.84375","3539.84375","3539.84375"
"4472832","3571.09375","3571.09375","3571.09375"
"4489216","3574.21875","3574.21875","3574.21875"
"4505600","3632.03125","3632.03125","3632.03125"
"4521984","3669.53125","3669.53125","3669.53125"
"4538368","3571.09375","3571.09375","3571.09375"
"4554752","3565.625","3565.625","3565.625"
"4571136","3602.34375","3602.34375","3602.34375"
"4587520","3635.9375","3635.9375","3635.9375"
"4603904","3641.40625","3641.40625","3641.40625"
"4620288","3737.5","3737.5","3737.5"
"4636672","3746.875","3746.875","3746.875"
"4653056","3715.625","3715.625","3715.625"
"4669440","3792.96875","3792.96875","3792.96875"
"4685824","3826.5625","3826.5625","3826.5625"
"4702208","3767.96875","3767.96875","3767.96875"
"4718592","3808.59375","3808.59375","3808.59375"
"4734976","3825.78125","3825.78125","3825.78125"
"4751360","3966.40625","3966.40625","3966.40625"
"4767744","3925.78125","3925.78125","3925.78125"
"4784128","4048.4375","4048.4375","4048.4375"
"4800512","4105.46875","4105.46875","4105.46875"
"4816896","4073.4375","4073.4375","4073.4375"
"4833280","4048.4375","4048.4375","4048.4375"
"4849664","4021.875","4021.875","4021.875"
"4866048","4003.125","4003.125","4003.125"
"4882432","4021.875","4021.875","4021.875"
"4898816","4035.15625","4035.15625","4035.15625"
"4915200","4005.46875","4005.46875","4005.46875"
"4931584","3926.5625","3926.5625","3926.5625"
"4947968","4160.9375","4160.9375","4160.9375"
"4964352","4242.96875","4242.96875","4242.96875"
"4980736","4350","4350","4350"
"4997120","4393.75","4393.75","4393.75"
"5013504","4375","4375","4375"
"5029888","4321.875","4321.875","4321.875"
"5046272","4513.28125","4513.28125","4513.28125"
"5062656","4526.5625","4526.5625","4526.5625"
"5079040","4514.0625","4514.0625","4514.0625"
"5095424","4437.5","4437.5","4437.5"
"5111808","4470.3125","4470.3125","4470.3125"
"5128192","4458.59375","4458.59375","4458.59375"
"5144576","4427.34375","4427.34375","4427.34375"
"5160960","4510.9375","4510.9375","4510.9375"
"5177344","4621.09375","4621.09375","4621.09375"
"5193728","4598.4375","4598.4375","4598.4375"
"5210112","4748.4375","4748.4375","4748.4375"
"5226496","4789.0625","4789.0625","4789.0625"
"5242880","4838.28125","4838.28125","4838.28125"
"5259264","4977.34375","4977.34375","4977.34375"
"5275648","5167.96875","5167.96875","5167.96875"
"5292032","5336.71875","5336.71875","5336.71875"
"5308416","5243.75","5243.75","5243.75"
"5324800","5276.5625","5276.5625","5276.5625"
"5341184","5200","5200","5200"
"5357568","5171.875","5171.875","5171.875"
"5373952","5260.9375","5260.9375","5260.9375"
"5390336","5233.59375","5233.59375","5233.59375"
"5406720","5476.5625","5476.5625","5476.5625"
"5423104","5427.34375","5427.34375","5427.34375"
"5439488","5507.03125","5507.03125","5507.03125"
"5455872","5517.96875","5517.96875","5517.96875"
"5472256","5801.5625","5801.5625","5801.5625"
"5488640","5921.875","5921.875","5921.875"
"5505024","6046.875","6046.875","6046.875"
"5521408","5989.84375","5989.84375","5989.84375"
"5537792","5832.8125","5832.8125","5832.8125"
"5554176","5745.3125","5745.3125","5745.3125"
"5570560","5565.625","5565.625","5565.625"
"5586944","5645.3125","5645.3125","5645.3125"
"5603328","5321.09375","5321.09375","5321.09375"
"5619712","5261.71875","5261.71875","5261.71875"
"5636096","5183.59375","5183.59375","5183.59375"
"5652480","5277.34375","5277.34375","5277.34375"
"5668864","5409.375","5409.375","5409.375"
"5685248","5461.71875","5461.71875","5461.71875"
"5701632","5669.53125","5669.53125","5669.53125"
"5718016","5668.75","5668.75","5668.75"
"5734400","5790.625","5790.625","5790.625"
"5750784","5971.09375","5971.09375","5971.09375"
"5767168","6022.65625","6022.65625","6022.65625"
"5783552","5900","5900","5900"
"5799936","6024.21875","6024.21875","6024.21875"
"5816320","6093.75","6093.75","6093.75"
"5832704","6085.9375","6085.9375","6085.9375"
"5849088","6072.65625","6072.65625","6072.65625"
"5865472","5916.40625","5916.40625","5916.40625"
"5881856","6074.21875","6074.21875","6074.21875"
"5898240","6151.5625","6151.5625","6151.5625"
"5914624","6239.0625","6239.0625","6239.0625"
"5931008","6105.46875","6105.46875","6105.46875"
"5947392","6064.84375","6064.84375","6064.84375"
"5963776","6104.6875","6104.6875","6104.6875"
"5980160","6112.5","6112.5","6112.5"
"5996544","6091.40625","6091.40625","6091.40625"
"6012928","6725.78125","6725.78125","6725.78125"
"6029312","6858.59375","6858.59375","6858.59375"
"6045696","6905.46875","6905.46875","6905.46875"
"6062080","6771.875","6771.875","6771.875"
"6078464","7230.46875","7230.46875","7230.46875"
"6094848","7217.96875","7217.96875","7217.96875"
"6111232","7271.875","7271.875","7271.875"
"6127616","7343.75","7343.75","7343.75"
"6144000","7417.1875","7417.1875","7417.1875"
"6160384","7418.75","7418.75","7418.75"
"6176768","7025.78125","7025.78125","7025.78125"
"6193152","7087.5","7087.5","7087.5"
"6209536","7343.75","7343.75","7343.75"
"6225920","7433.59375","7433.59375","7433.59375"
"6242304","7046.875","7046.875","7046.875"
"6258688","6996.09375","6996.09375","6996.09375"
"6275072","7032.03125","7032.03125","7032.03125"
"6291456","7207.03125","7207.03125","7207.03125"
"6307840","7311.71875","7311.71875","7311.71875"
"6324224","7503.90625","7503.90625","7503.90625"
"6340608","7547.65625","7547.65625","7547.65625"
"6356992","7292.96875","7292.96875","7292.96875"
"6373376","7194.53125","7194.53125","7194.53125"
"6389760","7078.125","7078.125","7078.125"
"6406144","7143.75","7143.75","7143.75"
"6422528","7345.3125","7345.3125","7345.3125"
"6438912","7475","7475","7475"
"6455296","7706.25","7706.25","7706.25"
"6471680","7689.84375","7689.84375","7689.84375"
"6488064","7741.40625","7741.40625","7741.40625"
"6504448","7729.6875","7729.6875","7729.6875"
"6520832","7912.5","7912.5","7912.5"
"6537216","8156.25","8156.25","8156.25"
"6553600","8629.6875","8629.6875","8629.6875"
"6569984","8665.625","8665.625","8665.625"
"6586368","8737.5","8737.5","8737.5"
"6602752","8967.1875","8967.1875","8967.1875"
"6619136","8865.625","8865.625","8865.625"
"6635520","8962.5","8962.5","8962.5"
"6651904","8943.75","8943.75","8943.75"
"6668288","9035.15625","9035.15625","9035.15625"
"6684672","8826.5625","8826.5625","8826.5625"
"6701056","8821.09375","8821.09375","8821.09375"
"6717440","8543.75","8543.75","8543.75"
"6733824","8707.8125","8707.8125","8707.8125"
"6750208","8510.9375","8510.9375","8510.9375"
"6766592","8277.34375","8277.34375","8277.34375"
"6782976","8220.3125","8220.3125","8220.3125"
"6799360","8385.15625","8385.15625","8385.15625"
"6815744","8180.46875","8180.46875","8180.46875"
"6832128","8122.65625","8122.65625","8122.65625"
"6848512","7917.96875","7917.96875","7917.96875"
"6864896","8108.59375","8108.59375","8108.59375"
"6881280","7881.25","7881.25","7881.25"
"6897664","7707.03125","7707.03125","7707.03125"
"6914048","7475.78125","7475.78125","7475.78125"
"6930432","7663.28125","7663.28125","7663.28125"
"6946816","7354.6875","7354.6875","7354.6875"
"6963200","7584.375","7584.375","7584.375"
"6979584","7582.03125","7582.03125","7582.03125"
"6995968","7554.6875","7554.6875","7554.6875"
"7012352","7718.75","7718.75","7718.75"
"7028736","7631.25","7631.25","7631.25"
"7045120","7864.84375","7864.84375","7864.84375"
"7061504","8066.40625","8066.40625","8066.40625"
"7077888","8267.1875","8267.1875","8267.1875"
"7094272","8353.125","8353.125","8353.125"
"7110656","8679.6875","8679.6875","8679.6875"
"7127040","8711.71875","8711.71875","8711.71875"
"7143424","8555.46875","8555.46875","8555.46875"
"7159808","8761.71875","8761.71875","8761.71875"
"7176192","8765.625","8765.625","8765.625"
