"Step","TrajLen","StarGunner-v5__ppo_noisy_net - charts/traj_len__MIN","StarGunner-v5__ppo_noisy_net - charts/traj_len__MAX"
"1949696","651.6328125","651.6328125","651.6328125"
"1966080","663.8828125","663.8828125","663.8828125"
"1982464","678.9765625","678.9765625","678.9765625"
"1998848","681.8046875","681.8046875","681.8046875"
"2015232","664.6875","664.6875","664.6875"
"2031616","663.4140625","663.4140625","663.4140625"
"2048000","662.984375","662.984375","662.984375"
"2064384","635.1796875","635.1796875","635.1796875"
"2080768","651.9765625","651.9765625","651.9765625"
"2097152","644.765625","644.765625","644.765625"
"2113536","663.5234375","663.5234375","663.5234375"
"2129920","689.1640625","689.1640625","689.1640625"
"2146304","686.359375","686.359375","686.359375"
"2162688","698.6171875","698.6171875","698.6171875"
"2179072","691.6640625","691.6640625","691.6640625"
"2195456","674.515625","674.515625","674.515625"
"2211840","640.546875","640.546875","640.546875"
"2228224","663.0703125","663.0703125","663.0703125"
"2244608","655.6484375","655.6484375","655.6484375"
"2260992","659.6484375","659.6484375","659.6484375"
"2277376","676.171875","676.171875","676.171875"
"2293760","674.8515625","674.8515625","674.8515625"
"2310144","688.9765625","688.9765625","688.9765625"
"2326528","686.9296875","686.9296875","686.9296875"
"2342912","684.671875","684.671875","684.671875"
"2359296","654.75","654.75","654.75"
"2375680","635.5859375","635.5859375","635.5859375"
"2392064","604.0546875","604.0546875","604.0546875"
"2408448","594.6640625","594.6640625","594.6640625"
"2424832","597.359375","597.359375","597.359375"
"2441216","593.6796875","593.6796875","593.6796875"
"2457600","608.4921875","608.4921875","608.4921875"
"2473984","631.0078125","631.0078125","631.0078125"
"2490368","638.71875","638.71875","638.71875"
"2506752","642.6796875","642.6796875","642.6796875"
"2523136","653.046875","653.046875","653.046875"
"2539520","647.6484375","647.6484375","647.6484375"
"2555904","643.0625","643.0625","643.0625"
"2572288","651.3828125","651.3828125","651.3828125"
"2588672","669.9296875","669.9296875","669.9296875"
"2605056","672.5390625","672.5390625","672.5390625"
"2621440","660.40625","660.40625","660.40625"
"2637824","663.375","663.375","663.375"
"2654208","636.15625","636.15625","636.15625"
"2670592","616.234375","616.234375","616.234375"
"2686976","616.5078125","616.5078125","616.5078125"
"2703360","646.984375","646.984375","646.984375"
"2719744","647.578125","647.578125","647.578125"
"2736128","654.3671875","654.3671875","654.3671875"
"2752512","653.3984375","653.3984375","653.3984375"
"2768896","658.125","658.125","658.125"
"2785280","650.671875","650.671875","650.671875"
"2801664","648.984375","648.984375","648.984375"
"2818048","660.1875","660.1875","660.1875"
"2834432","663.09375","663.09375","663.09375"
"2850816","648.1796875","648.1796875","648.1796875"
"2867200","655.0703125","655.0703125","655.0703125"
"2883584","657.640625","657.640625","657.640625"
"2899968","661.671875","661.671875","661.671875"
"2916352","670.3125","670.3125","670.3125"
"2932736","682.5234375","682.5234375","682.5234375"
"2949120","695.5390625","695.5390625","695.5390625"
"2965504","679.34375","679.34375","679.34375"
"2981888","670.3671875","670.3671875","670.3671875"
"2998272","660.0859375","660.0859375","660.0859375"
"3014656","642.609375","642.609375","642.609375"
"3031040","619.359375","619.359375","619.359375"
"3047424","615.953125","615.953125","615.953125"
"3063808","605.375","605.375","605.375"
"3080192","605.015625","605.015625","605.015625"
"3096576","615.2578125","615.2578125","615.2578125"
"3112960","599.5","599.5","599.5"
"3129344","616.0625","616.0625","616.0625"
