"Step","TrajLen","StarGunner-v5__ppo_rle_SwitchStep500 - charts/traj_len__MIN","StarGunner-v5__ppo_rle_SwitchStep500 - charts/traj_len__MAX"
"1998848","993.5","993.5","993.5"
"2015232","1002.8671875","1002.8671875","1002.8671875"
"2031616","996.2265625","996.2265625","996.2265625"
"2048000","1018.1640625","1018.1640625","1018.1640625"
"2064384","999.59375","999.59375","999.59375"
"2080768","1000.25","1000.25","1000.25"
"2097152","989.515625","989.515625","989.515625"
"2113536","994.4375","994.4375","994.4375"
"2129920","997.1484375","997.1484375","997.1484375"
"2146304","989.453125","989.453125","989.453125"
"2162688","965.9765625","965.9765625","965.9765625"
"2179072","960.3828125","960.3828125","960.3828125"
"2195456","973.875","973.875","973.875"
"2211840","965.109375","965.109375","965.109375"
"2228224","944.953125","944.953125","944.953125"
"2244608","944.3515625","944.3515625","944.3515625"
"2260992","952.125","952.125","952.125"
"2277376","969.328125","969.328125","969.328125"
"2293760","945.875","945.875","945.875"
"2310144","951.953125","951.953125","951.953125"
"2326528","963.0234375","963.0234375","963.0234375"
"2342912","955.0859375","955.0859375","955.0859375"
"2359296","966.875","966.875","966.875"
"2375680","956.1328125","956.1328125","956.1328125"
"2392064","952.15625","952.15625","952.15625"
"2408448","953.875","953.875","953.875"
"2424832","955.2265625","955.2265625","955.2265625"
"2441216","928.5546875","928.5546875","928.5546875"
"2457600","930.109375","930.109375","930.109375"
"2473984","924.5703125","924.5703125","924.5703125"
"2490368","947.2578125","947.2578125","947.2578125"
"2506752","927.640625","927.640625","927.640625"
"2523136","920.5625","920.5625","920.5625"
"2539520","922.46875","922.46875","922.46875"
"2555904","939.109375","939.109375","939.109375"
"2572288","921.6640625","921.6640625","921.6640625"
"2588672","916.0234375","916.0234375","916.0234375"
"2605056","927.25","927.25","927.25"
"2621440","943.640625","943.640625","943.640625"
"2637824","942.7734375","942.7734375","942.7734375"
"2654208","946.46875","946.46875","946.46875"
"2670592","945.8203125","945.8203125","945.8203125"
"2686976","944.484375","944.484375","944.484375"
"2703360","964.046875","964.046875","964.046875"
"2719744","956.46875","956.46875","956.46875"
"2736128","944.5625","944.5625","944.5625"
"2752512","952.2578125","952.2578125","952.2578125"
"2768896","934.015625","934.015625","934.015625"
"2785280","916.5546875","916.5546875","916.5546875"
"2801664","925.5078125","925.5078125","925.5078125"
"2818048","920.9609375","920.9609375","920.9609375"
"2834432","914.984375","914.984375","914.984375"
"2850816","916.40625","916.40625","916.40625"
"2867200","900.421875","900.421875","900.421875"
"2883584","899.75","899.75","899.75"
"2899968","911.8671875","911.8671875","911.8671875"
"2916352","914","914","914"
"2932736","916.8046875","916.8046875","916.8046875"
"2949120","917.1015625","917.1015625","917.1015625"
"2965504","904.03125","904.03125","904.03125"
"2981888","913.375","913.375","913.375"
"2998272","902.3359375","902.3359375","902.3359375"
"3014656","911.6328125","911.6328125","911.6328125"
"3031040","914.96875","914.96875","914.96875"
"3047424","898.8671875","898.8671875","898.8671875"
"3063808","887.203125","887.203125","887.203125"
"3080192","901.578125","901.578125","901.578125"
"3096576","898.2109375","898.2109375","898.2109375"
"3112960","904.5625","904.5625","904.5625"
"3129344","911.3125","911.3125","911.3125"
"3145728","918.6640625","918.6640625","918.6640625"
"3162112","921.3671875","921.3671875","921.3671875"
"3178496","930.8203125","930.8203125","930.8203125"
"3194880","901.5234375","901.5234375","901.5234375"
"3211264","903.5","903.5","903.5"
"3227648","913.5234375","913.5234375","913.5234375"
"3244032","884.7734375","884.7734375","884.7734375"
"3260416","887.4296875","887.4296875","887.4296875"
"3276800","891.3359375","891.3359375","891.3359375"
"3293184","906.2109375","906.2109375","906.2109375"
"3309568","899.34375","899.34375","899.34375"
"3325952","899.6953125","899.6953125","899.6953125"
"3342336","896.921875","896.921875","896.921875"
"3358720","898.921875","898.921875","898.921875"
"3375104","902.4921875","902.4921875","902.4921875"
"3391488","897.375","897.375","897.375"
"3407872","891.0703125","891.0703125","891.0703125"
"3424256","892.8671875","892.8671875","892.8671875"
"3440640","888.1015625","888.1015625","888.1015625"
"3457024","887.2265625","887.2265625","887.2265625"
"3473408","899.6015625","899.6015625","899.6015625"
"3489792","917.1015625","917.1015625","917.1015625"
"3506176","918.9609375","918.9609375","918.9609375"
"3522560","940.640625","940.640625","940.640625"
"3538944","954.765625","954.765625","954.765625"
"3555328","967.234375","967.234375","967.234375"
"3571712","970.828125","970.828125","970.828125"
"3588096","962.203125","962.203125","962.203125"
"3604480","946.109375","946.109375","946.109375"
"3620864","943.8984375","943.8984375","943.8984375"
"3637248","946.484375","946.484375","946.484375"
"3653632","920.1015625","920.1015625","920.1015625"
"3670016","912.390625","912.390625","912.390625"
"3686400","908.5859375","908.5859375","908.5859375"
"3702784","949.1015625","949.1015625","949.1015625"
"3719168","961.71875","961.71875","961.71875"
"3735552","990.1875","990.1875","990.1875"
"3751936","1008.0078125","1008.0078125","1008.0078125"
"3768320","1004.53125","1004.53125","1004.53125"
"3784704","1033.640625","1033.640625","1033.640625"
"3801088","1024.1015625","1024.1015625","1024.1015625"
"3817472","1025.75","1025.75","1025.75"
"3833856","1008.078125","1008.078125","1008.078125"
"3850240","1005.390625","1005.390625","1005.390625"
"3866624","985.0859375","985.0859375","985.0859375"
"3883008","987.046875","987.046875","987.046875"
"3899392","978.2578125","978.2578125","978.2578125"
"3915776","986.5625","986.5625","986.5625"
"3932160","989.65625","989.65625","989.65625"
"3948544","977.5546875","977.5546875","977.5546875"
"3964928","976.421875","976.421875","976.421875"
"3981312","987.1171875","987.1171875","987.1171875"
"3997696","999.6328125","999.6328125","999.6328125"
"4014080","1011.671875","1011.671875","1011.671875"
"4030464","992.4375","992.4375","992.4375"
"4046848","996.8828125","996.8828125","996.8828125"
"4063232","992.515625","992.515625","992.515625"
"4079616","987.8671875","987.8671875","987.8671875"
"4096000","980.3046875","980.3046875","980.3046875"
"4112384","976.21875","976.21875","976.21875"
"4128768","946.0625","946.0625","946.0625"
"4145152","940.8671875","940.8671875","940.8671875"
"4161536","971.0859375","971.0859375","971.0859375"
"4177920","982.3203125","982.3203125","982.3203125"
"4194304","996.046875","996.046875","996.046875"
"4210688","1003.3671875","1003.3671875","1003.3671875"
"4227072","1021.328125","1021.328125","1021.328125"
"4243456","1026.8125","1026.8125","1026.8125"
"4259840","1035.3671875","1035.3671875","1035.3671875"
"4276224","1052.34375","1052.34375","1052.34375"
"4292608","1072.78125","1072.78125","1072.78125"
"4308992","1078.421875","1078.421875","1078.421875"
"4325376","1089.6953125","1089.6953125","1089.6953125"
"4341760","1094.1015625","1094.1015625","1094.1015625"
"4358144","1087.0078125","1087.0078125","1087.0078125"
"4374528","1100.5390625","1100.5390625","1100.5390625"
"4390912","1121.328125","1121.328125","1121.328125"
"4407296","1103.6640625","1103.6640625","1103.6640625"
"4423680","1094.296875","1094.296875","1094.296875"
"4440064","1100.03125","1100.03125","1100.03125"
"4456448","1090.875","1090.875","1090.875"
"4472832","1096.609375","1096.609375","1096.609375"
"4489216","1099.265625","1099.265625","1099.265625"
"4505600","1092.859375","1092.859375","1092.859375"
"4521984","1086.1953125","1086.1953125","1086.1953125"
"4538368","1086.265625","1086.265625","1086.265625"
"4554752","1121.1796875","1121.1796875","1121.1796875"
"4571136","1143.03125","1143.03125","1143.03125"
"4587520","1126.5859375","1126.5859375","1126.5859375"
"4603904","1113.2265625","1113.2265625","1113.2265625"
"4620288","1111.6953125","1111.6953125","1111.6953125"
"4636672","1111.15625","1111.15625","1111.15625"
"4653056","1122.3125","1122.3125","1122.3125"
"4669440","1113.8125","1113.8125","1113.8125"
"4685824","1111.5390625","1111.5390625","1111.5390625"
"4702208","1116.28125","1116.28125","1116.28125"
"4718592","1102.125","1102.125","1102.125"
"4734976","1115.625","1115.625","1115.625"
"4751360","1120.34375","1120.34375","1120.34375"
"4767744","1123.5390625","1123.5390625","1123.5390625"
"4784128","1119.5390625","1119.5390625","1119.5390625"
"4800512","1122.546875","1122.546875","1122.546875"
"4816896","1147.9765625","1147.9765625","1147.9765625"
"4833280","1153.609375","1153.609375","1153.609375"
"4849664","1161.1640625","1161.1640625","1161.1640625"
"4866048","1162.2890625","1162.2890625","1162.2890625"
"4882432","1164.0390625","1164.0390625","1164.0390625"
"4898816","1158.8671875","1158.8671875","1158.8671875"
"4915200","1173.6875","1173.6875","1173.6875"
"4931584","1182.890625","1182.890625","1182.890625"
"4947968","1197.8828125","1197.8828125","1197.8828125"
"4964352","1197.109375","1197.109375","1197.109375"
"4980736","1191.0703125","1191.0703125","1191.0703125"
"4997120","1160.09375","1160.09375","1160.09375"
"5013504","1186.046875","1186.046875","1186.046875"
"5029888","1193.171875","1193.171875","1193.171875"
"5046272","1198.8359375","1198.8359375","1198.8359375"
"5062656","1199.84375","1199.84375","1199.84375"
"5079040","1210.2265625","1210.2265625","1210.2265625"
"5095424","1221.890625","1221.890625","1221.890625"
"5111808","1227.7890625","1227.7890625","1227.7890625"
"5128192","1225.7421875","1225.7421875","1225.7421875"
"5144576","1230.546875","1230.546875","1230.546875"
"5160960","1252.8125","1252.8125","1252.8125"
"5177344","1264.3125","1264.3125","1264.3125"
"5193728","1292.3359375","1292.3359375","1292.3359375"
"5210112","1302.3046875","1302.3046875","1302.3046875"
"5226496","1296.625","1296.625","1296.625"
"5242880","1295.921875","1295.921875","1295.921875"
"5259264","1290.2734375","1290.2734375","1290.2734375"
"5275648","1280.1015625","1280.1015625","1280.1015625"
"5292032","1299.203125","1299.203125","1299.203125"
"5308416","1311.21875","1311.21875","1311.21875"
"5324800","1302.7890625","1302.7890625","1302.7890625"
"5341184","1287.5390625","1287.5390625","1287.5390625"
"5357568","1257.875","1257.875","1257.875"
"5373952","1260.1796875","1260.1796875","1260.1796875"
"5390336","1250.0859375","1250.0859375","1250.0859375"
"5406720","1251.5078125","1251.5078125","1251.5078125"
"5423104","1269.6171875","1269.6171875","1269.6171875"
"5439488","1288.3671875","1288.3671875","1288.3671875"
"5455872","1280.2734375","1280.2734375","1280.2734375"
"5472256","1273.0859375","1273.0859375","1273.0859375"
"5488640","1295.859375","1295.859375","1295.859375"
"5505024","1284.1015625","1284.1015625","1284.1015625"
"5521408","1280.140625","1280.140625","1280.140625"
"5537792","1304.9375","1304.9375","1304.9375"
"5554176","1305.1171875","1305.1171875","1305.1171875"
"5570560","1296.9609375","1296.9609375","1296.9609375"
"5586944","1309.578125","1309.578125","1309.578125"
"5603328","1292.4453125","1292.4453125","1292.4453125"
"5619712","1295.453125","1295.453125","1295.453125"
"5636096","1292.0546875","1292.0546875","1292.0546875"
"5652480","1276.2421875","1276.2421875","1276.2421875"
"5668864","1282.59375","1282.59375","1282.59375"
"5685248","1341.9140625","1341.9140625","1341.9140625"
"5701632","1349.5703125","1349.5703125","1349.5703125"
"5718016","1352.734375","1352.734375","1352.734375"
"5734400","1352.78125","1352.78125","1352.78125"
"5750784","1326.265625","1326.265625","1326.265625"
"5767168","1356.6796875","1356.6796875","1356.6796875"
"5783552","1352.1796875","1352.1796875","1352.1796875"
"5799936","1341.0703125","1341.0703125","1341.0703125"
"5816320","1352.9296875","1352.9296875","1352.9296875"
"5832704","1347.4921875","1347.4921875","1347.4921875"
"5849088","1297.8671875","1297.8671875","1297.8671875"
"5865472","1318.6484375","1318.6484375","1318.6484375"
"5881856","1312.8203125","1312.8203125","1312.8203125"
"5898240","1311.8203125","1311.8203125","1311.8203125"
"5914624","1345.0859375","1345.0859375","1345.0859375"
"5931008","1339.6484375","1339.6484375","1339.6484375"
"5947392","1343.5234375","1343.5234375","1343.5234375"
