"Step","TrajLen","StarGunner-v5__ppo - charts/traj_len__MIN","StarGunner-v5__ppo - charts/traj_len__MAX"
"1998848","735.4296875","735.4296875","735.4296875"
"2015232","755.4609375","755.4609375","755.4609375"
"2031616","766.7421875","766.7421875","766.7421875"
"2048000","760.90625","760.90625","760.90625"
"2064384","760.1328125","760.1328125","760.1328125"
"2080768","782.15625","782.15625","782.15625"
"2097152","789.7265625","789.7265625","789.7265625"
"2113536","778.515625","778.515625","778.515625"
"2129920","783.7734375","783.7734375","783.7734375"
"2146304","762.2890625","762.2890625","762.2890625"
"2162688","795.046875","795.046875","795.046875"
"2179072","780.4296875","780.4296875","780.4296875"
"2195456","777","777","777"
"2211840","786.484375","786.484375","786.484375"
"2228224","779.7109375","779.7109375","779.7109375"
"2244608","782.5625","782.5625","782.5625"
"2260992","773.921875","773.921875","773.921875"
"2277376","780.625","780.625","780.625"
"2293760","790.59375","790.59375","790.59375"
"2310144","770.59375","770.59375","770.59375"
"2326528","766.0703125","766.0703125","766.0703125"
"2342912","765.9140625","765.9140625","765.9140625"
"2359296","771.4375","771.4375","771.4375"
"2375680","781.9609375","781.9609375","781.9609375"
"2392064","767.4375","767.4375","767.4375"
"2408448","801.0703125","801.0703125","801.0703125"
"2424832","829.140625","829.140625","829.140625"
"2441216","837.46875","837.46875","837.46875"
"2457600","820.6171875","820.6171875","820.6171875"
"2473984","824.3515625","824.3515625","824.3515625"
"2490368","837.8359375","837.8359375","837.8359375"
"2506752","840.234375","840.234375","840.234375"
"2523136","806.1171875","806.1171875","806.1171875"
"2539520","803.9140625","803.9140625","803.9140625"
"2555904","805.53125","805.53125","805.53125"
"2572288","813.09375","813.09375","813.09375"
"2588672","814.453125","814.453125","814.453125"
"2605056","799.4765625","799.4765625","799.4765625"
"2621440","814.390625","814.390625","814.390625"
"2637824","815.4609375","815.4609375","815.4609375"
"2654208","809.40625","809.40625","809.40625"
"2670592","819.328125","819.328125","819.328125"
"2686976","828.4296875","828.4296875","828.4296875"
"2703360","844.125","844.125","844.125"
"2719744","839.234375","839.234375","839.234375"
"2736128","848.1796875","848.1796875","848.1796875"
"2752512","858.53125","858.53125","858.53125"
"2768896","852.15625","852.15625","852.15625"
"2785280","845.1953125","845.1953125","845.1953125"
"2801664","819.171875","819.171875","819.171875"
"2818048","817.9921875","817.9921875","817.9921875"
"2834432","814.578125","814.578125","814.578125"
"2850816","814.0078125","814.0078125","814.0078125"
"2867200","798.03125","798.03125","798.03125"
"2883584","803.453125","803.453125","803.453125"
"2899968","793.0078125","793.0078125","793.0078125"
"2916352","801.140625","801.140625","801.140625"
"2932736","809.328125","809.328125","809.328125"
"2949120","799.78125","799.78125","799.78125"
"2965504","804.4296875","804.4296875","804.4296875"
"2981888","802.125","802.125","802.125"
"2998272","810.5625","810.5625","810.5625"
"3014656","829.234375","829.234375","829.234375"
"3031040","834.765625","834.765625","834.765625"
"3047424","852.4921875","852.4921875","852.4921875"
"3063808","856.703125","856.703125","856.703125"
"3080192","846.1015625","846.1015625","846.1015625"
"3096576","850.625","850.625","850.625"
"3112960","829.3125","829.3125","829.3125"
"3129344","830.0859375","830.0859375","830.0859375"
"3145728","836.9921875","836.9921875","836.9921875"
"3162112","840.7578125","840.7578125","840.7578125"
"3178496","850.6484375","850.6484375","850.6484375"
"3194880","853.5703125","853.5703125","853.5703125"
"3211264","854.796875","854.796875","854.796875"
"3227648","867.5234375","867.5234375","867.5234375"
"3244032","854.3046875","854.3046875","854.3046875"
"3260416","853.796875","853.796875","853.796875"
"3276800","844.0703125","844.0703125","844.0703125"
"3293184","823.75","823.75","823.75"
"3309568","823.75","823.75","823.75"
"3325952","825.8125","825.8125","825.8125"
"3342336","816.875","816.875","816.875"
"3358720","809.296875","809.296875","809.296875"
"3375104","811.65625","811.65625","811.65625"
"3391488","812.0859375","812.0859375","812.0859375"
"3407872","807.390625","807.390625","807.390625"
"3424256","804.1484375","804.1484375","804.1484375"
"3440640","819.6640625","819.6640625","819.6640625"
"3457024","838.4921875","838.4921875","838.4921875"
"3473408","835.3125","835.3125","835.3125"
"3489792","845.4375","845.4375","845.4375"
"3506176","843.515625","843.515625","843.515625"
"3522560","854.515625","854.515625","854.515625"
"3538944","868.15625","868.15625","868.15625"
"3555328","852.6953125","852.6953125","852.6953125"
"3571712","852.2109375","852.2109375","852.2109375"
"3588096","849.0546875","849.0546875","849.0546875"
"3604480","836.21875","836.21875","836.21875"
"3620864","826.5078125","826.5078125","826.5078125"
"3637248","822.6484375","822.6484375","822.6484375"
"3653632","811.5390625","811.5390625","811.5390625"
"3670016","820.1953125","820.1953125","820.1953125"
"3686400","824.1171875","824.1171875","824.1171875"
"3702784","822.109375","822.109375","822.109375"
"3719168","834.84375","834.84375","834.84375"
"3735552","867.984375","867.984375","867.984375"
"3751936","888.6015625","888.6015625","888.6015625"
"3768320","911.0859375","911.0859375","911.0859375"
"3784704","918.71875","918.71875","918.71875"
"3801088","927.0078125","927.0078125","927.0078125"
"3817472","929.4765625","929.4765625","929.4765625"
"3833856","920.390625","920.390625","920.390625"
"3850240","909.1640625","909.1640625","909.1640625"
"3866624","900","900","900"
"3883008","883.015625","883.015625","883.015625"
"3899392","864.3671875","864.3671875","864.3671875"
"3915776","857.71875","857.71875","857.71875"
"3932160","861.40625","861.40625","861.40625"
"3948544","872.2578125","872.2578125","872.2578125"
"3964928","885.40625","885.40625","885.40625"
"3981312","917.4140625","917.4140625","917.4140625"
"3997696","917.5625","917.5625","917.5625"
"4014080","914.609375","914.609375","914.609375"
"4030464","900.5078125","900.5078125","900.5078125"
"4046848","891.03125","891.03125","891.03125"
"4063232","878.3359375","878.3359375","878.3359375"
"4079616","882.8828125","882.8828125","882.8828125"
"4096000","877.296875","877.296875","877.296875"
"4112384","875.421875","875.421875","875.421875"
"4128768","888.0859375","888.0859375","888.0859375"
"4145152","891.6484375","891.6484375","891.6484375"
"4161536","919.0625","919.0625","919.0625"
"4177920","940.3359375","940.3359375","940.3359375"
"4194304","967.4609375","967.4609375","967.4609375"
"4210688","973.203125","973.203125","973.203125"
"4227072","947.9296875","947.9296875","947.9296875"
"4243456","956.8046875","956.8046875","956.8046875"
"4259840","940.2578125","940.2578125","940.2578125"
"4276224","946.6796875","946.6796875","946.6796875"
"4292608","950.828125","950.828125","950.828125"
"4308992","926.0546875","926.0546875","926.0546875"
"4325376","915.2734375","915.2734375","915.2734375"
"4341760","929","929","929"
"4358144","952.421875","952.421875","952.421875"
"4374528","944.3359375","944.3359375","944.3359375"
"4390912","940.8125","940.8125","940.8125"
"4407296","942.4296875","942.4296875","942.4296875"
"4423680","959.5546875","959.5546875","959.5546875"
"4440064","954.890625","954.890625","954.890625"
"4456448","948.6953125","948.6953125","948.6953125"
"4472832","949.0703125","949.0703125","949.0703125"
"4489216","947.3828125","947.3828125","947.3828125"
"4505600","944.953125","944.953125","944.953125"
"4521984","949.5625","949.5625","949.5625"
"4538368","920.28125","920.28125","920.28125"
"4554752","924.2109375","924.2109375","924.2109375"
"4571136","940.7265625","940.7265625","940.7265625"
"4587520","934.6171875","934.6171875","934.6171875"
"4603904","929.5625","929.5625","929.5625"
"4620288","939.125","939.125","939.125"
"4636672","946.7265625","946.7265625","946.7265625"
