"Step","TrajLen","StarGunner-v5__ppo_rnd_envpool - charts/traj_len__MIN","StarGunner-v5__ppo_rnd_envpool - charts/traj_len__MAX"
"1818624","1067.015625","1067.015625","1067.015625"
"1835008","1056.390625","1056.390625","1056.390625"
"1851392","1035.6640625","1035.6640625","1035.6640625"
"1867776","1029.265625","1029.265625","1029.265625"
"1884160","1047.203125","1047.203125","1047.203125"
"1900544","1036.8515625","1036.8515625","1036.8515625"
"1916928","1008.96875","1008.96875","1008.96875"
"1933312","1021.5546875","1021.5546875","1021.5546875"
"1949696","1012.6875","1012.6875","1012.6875"
"1966080","1031.4296875","1031.4296875","1031.4296875"
"1982464","1046.3046875","1046.3046875","1046.3046875"
"1998848","1054.6328125","1054.6328125","1054.6328125"
"2015232","1050.0859375","1050.0859375","1050.0859375"
"2031616","1059.75","1059.75","1059.75"
"2048000","1088.9921875","1088.9921875","1088.9921875"
"2064384","1092.6953125","1092.6953125","1092.6953125"
"2080768","1089.3671875","1089.3671875","1089.3671875"
"2097152","1109.4375","1109.4375","1109.4375"
"2113536","1115.1953125","1115.1953125","1115.1953125"
"2129920","1095.140625","1095.140625","1095.140625"
"2146304","1098.984375","1098.984375","1098.984375"
"2162688","1094.0546875","1094.0546875","1094.0546875"
"2179072","1064.09375","1064.09375","1064.09375"
"2195456","1080.5234375","1080.5234375","1080.5234375"
"2211840","1081.15625","1081.15625","1081.15625"
"2228224","1088.28125","1088.28125","1088.28125"
"2244608","1078.1484375","1078.1484375","1078.1484375"
"2260992","1074.7109375","1074.7109375","1074.7109375"
"2277376","1083.046875","1083.046875","1083.046875"
"2293760","1080.0234375","1080.0234375","1080.0234375"
"2310144","1081.5546875","1081.5546875","1081.5546875"
"2326528","1072.5078125","1072.5078125","1072.5078125"
"2342912","1052.171875","1052.171875","1052.171875"
"2359296","1058.8515625","1058.8515625","1058.8515625"
"2375680","1061.9375","1061.9375","1061.9375"
"2392064","1053.2578125","1053.2578125","1053.2578125"
"2408448","1024.1953125","1024.1953125","1024.1953125"
"2424832","1013.2578125","1013.2578125","1013.2578125"
"2441216","995.140625","995.140625","995.140625"
"2457600","970.984375","970.984375","970.984375"
"2473984","963.078125","963.078125","963.078125"
"2490368","944.46875","944.46875","944.46875"
"2506752","958.3203125","958.3203125","958.3203125"
"2523136","949.65625","949.65625","949.65625"
"2539520","953.4140625","953.4140625","953.4140625"
"2555904","930.5625","930.5625","930.5625"
"2572288","938.3046875","938.3046875","938.3046875"
"2588672","927.5234375","927.5234375","927.5234375"
"2605056","945.265625","945.265625","945.265625"
"2621440","914.1796875","914.1796875","914.1796875"
"2637824","921.2890625","921.2890625","921.2890625"
"2654208","939.1015625","939.1015625","939.1015625"
"2670592","955.9765625","955.9765625","955.9765625"
"2686976","953.7265625","953.7265625","953.7265625"
"2703360","965.03125","965.03125","965.03125"
"2719744","979.796875","979.796875","979.796875"
"2736128","974.796875","974.796875","974.796875"
"2752512","1013.828125","1013.828125","1013.828125"
"2768896","999.4921875","999.4921875","999.4921875"
"2785280","999.953125","999.953125","999.953125"
"2801664","996.1015625","996.1015625","996.1015625"
"2818048","992.15625","992.15625","992.15625"
"2834432","979.40625","979.40625","979.40625"
"2850816","985.6875","985.6875","985.6875"
"2867200","991.3125","991.3125","991.3125"
"2883584","991.921875","991.921875","991.921875"
"2899968","996.8125","996.8125","996.8125"
"2916352","1001.1328125","1001.1328125","1001.1328125"
"2932736","992.8125","992.8125","992.8125"
"2949120","997.40625","997.40625","997.40625"
"2965504","1005.4296875","1005.4296875","1005.4296875"
"2981888","1017.484375","1017.484375","1017.484375"
"2998272","1026.6484375","1026.6484375","1026.6484375"
"3014656","1004.203125","1004.203125","1004.203125"
"3031040","997.25","997.25","997.25"
"3047424","1006.2578125","1006.2578125","1006.2578125"
"3063808","992.34375","992.34375","992.34375"
"3080192","988.5625","988.5625","988.5625"
"3096576","983.4609375","983.4609375","983.4609375"
"3112960","985.2421875","985.2421875","985.2421875"
"3129344","980.578125","980.578125","980.578125"
