"Step","TrajLen","Alien-v5__atarienvpool_bootstrCI - charts/traj_len__MIN","Alien-v5__atarienvpool_bootstrCI - charts/traj_len__MAX"
"2048000","590.3359375","590.3359375","590.3359375"
"2064384","586.0703125","586.0703125","586.0703125"
"2080768","572.0625","572.0625","572.0625"
"2097152","576.09375","576.09375","576.09375"
"2113536","580","580","580"
"2129920","581.4765625","581.4765625","581.4765625"
"2146304","589.1328125","589.1328125","589.1328125"
"2162688","597.171875","597.171875","597.171875"
"2179072","595.3671875","595.3671875","595.3671875"
"2195456","591.9375","591.9375","591.9375"
"2211840","584.4140625","584.4140625","584.4140625"
"2228224","583.4375","583.4375","583.4375"
"2244608","596.8984375","596.8984375","596.8984375"
"2260992","584.203125","584.203125","584.203125"
"2277376","587","587","587"
"2293760","597.6015625","597.6015625","597.6015625"
"2310144","586.6015625","586.6015625","586.6015625"
"2326528","589.3515625","589.3515625","589.3515625"
"2342912","603.0234375","603.0234375","603.0234375"
"2359296","603.9375","603.9375","603.9375"
"2375680","599.109375","599.109375","599.109375"
"2392064","603.1953125","603.1953125","603.1953125"
"2408448","598.0390625","598.0390625","598.0390625"
"2424832","594.9375","594.9375","594.9375"
"2441216","587.46875","587.46875","587.46875"
"2457600","593.40625","593.40625","593.40625"
"2473984","590.0078125","590.0078125","590.0078125"
"2490368","594.8203125","594.8203125","594.8203125"
"2506752","597.65625","597.65625","597.65625"
"2523136","606.1796875","606.1796875","606.1796875"
"2539520","617.78125","617.78125","617.78125"
"2555904","617.453125","617.453125","617.453125"
"2572288","609.078125","609.078125","609.078125"
"2588672","619.3125","619.3125","619.3125"
"2605056","616.9375","616.9375","616.9375"
"2621440","610.4453125","610.4453125","610.4453125"
"2637824","601.3515625","601.3515625","601.3515625"
"2654208","588.6015625","588.6015625","588.6015625"
"2670592","576.9375","576.9375","576.9375"
"2686976","569.765625","569.765625","569.765625"
"2703360","572.84375","572.84375","572.84375"
"2719744","590.84375","590.84375","590.84375"
"2736128","592.203125","592.203125","592.203125"
"2752512","599.3515625","599.3515625","599.3515625"
"2768896","590.5234375","590.5234375","590.5234375"
"2785280","584.421875","584.421875","584.421875"
"2801664","594.6640625","594.6640625","594.6640625"
"2818048","580.59375","580.59375","580.59375"
"2834432","588.875","588.875","588.875"
"2850816","580.6875","580.6875","580.6875"
"2867200","575.625","575.625","575.625"
"2883584","575.453125","575.453125","575.453125"
"2899968","588.9375","588.9375","588.9375"
"2916352","594.03125","594.03125","594.03125"
"2932736","597.6484375","597.6484375","597.6484375"
"2949120","602.0859375","602.0859375","602.0859375"
"2965504","606.375","606.375","606.375"
"2981888","603.453125","603.453125","603.453125"
"2998272","610.1875","610.1875","610.1875"
"3014656","605.828125","605.828125","605.828125"
"3031040","609.703125","609.703125","609.703125"
"3047424","605.6015625","605.6015625","605.6015625"
"3063808","595.6875","595.6875","595.6875"
"3080192","600.4453125","600.4453125","600.4453125"
"3096576","606.203125","606.203125","606.203125"
"3112960","600.65625","600.65625","600.65625"
"3129344","602.6796875","602.6796875","602.6796875"
"3145728","609","609","609"
"3162112","611.1484375","611.1484375","611.1484375"
"3178496","610.3828125","610.3828125","610.3828125"
"3194880","616.578125","616.578125","616.578125"
"3211264","622.1796875","622.1796875","622.1796875"
"3227648","636.3515625","636.3515625","636.3515625"
"3244032","635.296875","635.296875","635.296875"
"3260416","653.6640625","653.6640625","653.6640625"
"3276800","658.390625","658.390625","658.390625"
"3293184","668.8984375","668.8984375","668.8984375"
"3309568","676.3984375","676.3984375","676.3984375"
"3325952","677.5078125","677.5078125","677.5078125"
"3342336","670.625","670.625","670.625"
"3358720","675.59375","675.59375","675.59375"
"3375104","680.4296875","680.4296875","680.4296875"
"3391488","678.03125","678.03125","678.03125"
"3407872","695.8984375","695.8984375","695.8984375"
"3424256","696.359375","696.359375","696.359375"
"3440640","701.1796875","701.1796875","701.1796875"
"3457024","705.2109375","705.2109375","705.2109375"
"3473408","712.921875","712.921875","712.921875"
"3489792","714.5390625","714.5390625","714.5390625"
"3506176","717.40625","717.40625","717.40625"
"3522560","720.015625","720.015625","720.015625"
"3538944","721.328125","721.328125","721.328125"
"3555328","725.9765625","725.9765625","725.9765625"
"3571712","732.59375","732.59375","732.59375"
"3588096","733.453125","733.453125","733.453125"
"3604480","723.5234375","723.5234375","723.5234375"
"3620864","719.4609375","719.4609375","719.4609375"
"3637248","715.3046875","715.3046875","715.3046875"
"3653632","716.265625","716.265625","716.265625"
"3670016","716.28125","716.28125","716.28125"
"3686400","721.390625","721.390625","721.390625"
"3702784","726.859375","726.859375","726.859375"
"3719168","735.75","735.75","735.75"
"3735552","731.90625","731.90625","731.90625"
"3751936","734.9609375","734.9609375","734.9609375"
"3768320","719.1484375","719.1484375","719.1484375"
"3784704","710.4140625","710.4140625","710.4140625"
"3801088","703.6953125","703.6953125","703.6953125"
"3817472","709.828125","709.828125","709.828125"
"3833856","693.109375","693.109375","693.109375"
"3850240","693.203125","693.203125","693.203125"
"3866624","684.8671875","684.8671875","684.8671875"
"3883008","682.2734375","682.2734375","682.2734375"
"3899392","681.546875","681.546875","681.546875"
"3915776","675.3671875","675.3671875","675.3671875"
"3932160","680.5234375","680.5234375","680.5234375"
"3948544","682.5546875","682.5546875","682.5546875"
"3964928","678.6953125","678.6953125","678.6953125"
"3981312","679.015625","679.015625","679.015625"
"3997696","682.3671875","682.3671875","682.3671875"
"4014080","688.078125","688.078125","688.078125"
"4030464","680.3828125","680.3828125","680.3828125"
"4046848","680.578125","680.578125","680.578125"
"4063232","691.3984375","691.3984375","691.3984375"
"4079616","697.4375","697.4375","697.4375"
"4096000","694.7421875","694.7421875","694.7421875"
"4112384","696.8984375","696.8984375","696.8984375"
"4128768","700.4765625","700.4765625","700.4765625"
"4145152","701.78125","701.78125","701.78125"
"4161536","694.2578125","694.2578125","694.2578125"
"4177920","702.5234375","702.5234375","702.5234375"
"4194304","703.578125","703.578125","703.578125"
"4210688","703.0546875","703.0546875","703.0546875"
"4227072","699.8984375","699.8984375","699.8984375"
"4243456","706.203125","706.203125","706.203125"
"4259840","706.0859375","706.0859375","706.0859375"
"4276224","694.6484375","694.6484375","694.6484375"
"4292608","683.8203125","683.8203125","683.8203125"
"4308992","681.921875","681.921875","681.921875"
"4325376","675.4375","675.4375","675.4375"
"4341760","678.6640625","678.6640625","678.6640625"
"4358144","680.9140625","680.9140625","680.9140625"
"4374528","681.6484375","681.6484375","681.6484375"
"4390912","690.1171875","690.1171875","690.1171875"
"4407296","697.359375","697.359375","697.359375"
"4423680","700.046875","700.046875","700.046875"
"4440064","699.5","699.5","699.5"
"4456448","705.4609375","705.4609375","705.4609375"
"4472832","705.4765625","705.4765625","705.4765625"
"4489216","698.4453125","698.4453125","698.4453125"
"4505600","693.5859375","693.5859375","693.5859375"
"4521984","687.578125","687.578125","687.578125"
"4538368","689.515625","689.515625","689.515625"
"4554752","682.59375","682.59375","682.59375"
"4571136","689.484375","689.484375","689.484375"
"4587520","690.234375","690.234375","690.234375"
"4603904","696.546875","696.546875","696.546875"
"4620288","702.8046875","702.8046875","702.8046875"
"4636672","702.640625","702.640625","702.640625"
"4653056","697.7265625","697.7265625","697.7265625"
"4669440","699.9140625","699.9140625","699.9140625"
"4685824","692.6484375","692.6484375","692.6484375"
"4702208","699.765625","699.765625","699.765625"
"4718592","693.171875","693.171875","693.171875"
"4734976","701.5078125","701.5078125","701.5078125"
"4751360","707.796875","707.796875","707.796875"
"4767744","712.796875","712.796875","712.796875"
"4784128","725.8828125","725.8828125","725.8828125"
"4800512","728.1875","728.1875","728.1875"
"4816896","722.3125","722.3125","722.3125"
"4833280","721.265625","721.265625","721.265625"
"4849664","709.8984375","709.8984375","709.8984375"
"4866048","714.453125","714.453125","714.453125"
"4882432","705.703125","705.703125","705.703125"
"4898816","703.5859375","703.5859375","703.5859375"
"4915200","705.2578125","705.2578125","705.2578125"
"4931584","707.6640625","707.6640625","707.6640625"
"4947968","701.078125","701.078125","701.078125"
"4964352","700.4609375","700.4609375","700.4609375"
"4980736","706.8671875","706.8671875","706.8671875"
"4997120","701.0859375","701.0859375","701.0859375"
"5013504","710.921875","710.921875","710.921875"
"5029888","705.2578125","705.2578125","705.2578125"
"5046272","707.90625","707.90625","707.90625"
"5062656","713.6328125","713.6328125","713.6328125"
"5079040","707.296875","707.296875","707.296875"
"5095424","697.2421875","697.2421875","697.2421875"
"5111808","692.546875","692.546875","692.546875"
"5128192","688.2890625","688.2890625","688.2890625"
"5144576","682.046875","682.046875","682.046875"
"5160960","684.625","684.625","684.625"
"5177344","683.703125","683.703125","683.703125"
"5193728","688.3046875","688.3046875","688.3046875"
"5210112","690.578125","690.578125","690.578125"
"5226496","679.203125","679.203125","679.203125"
"5242880","659.1875","659.1875","659.1875"
"5259264","658.328125","658.328125","658.328125"
"5275648","658.3515625","658.3515625","658.3515625"
"5292032","653.859375","653.859375","653.859375"
"5308416","642.4453125","642.4453125","642.4453125"
"5324800","648.3359375","648.3359375","648.3359375"
"5341184","648.8671875","648.8671875","648.8671875"
"5357568","640.2109375","640.2109375","640.2109375"
"5373952","635.6796875","635.6796875","635.6796875"
"5390336","641.4453125","641.4453125","641.4453125"
"5406720","650.25","650.25","650.25"
"5423104","637.203125","637.203125","637.203125"
"5439488","631.1171875","631.1171875","631.1171875"
"5455872","645.3203125","645.3203125","645.3203125"
"5472256","643.4296875","643.4296875","643.4296875"
"5488640","638.96875","638.96875","638.96875"
"5505024","648.3046875","648.3046875","648.3046875"
"5521408","662.4609375","662.4609375","662.4609375"
"5537792","657.515625","657.515625","657.515625"
"5554176","666.0234375","666.0234375","666.0234375"
"5570560","668.703125","668.703125","668.703125"
"5586944","666.953125","666.953125","666.953125"
"5603328","663.0546875","663.0546875","663.0546875"
"5619712","665.359375","665.359375","665.359375"
"5636096","661.75","661.75","661.75"
"5652480","650.6484375","650.6484375","650.6484375"
"5668864","650.390625","650.390625","650.390625"
"5685248","647.453125","647.453125","647.453125"
"5701632","648.640625","648.640625","648.640625"
"5718016","651.5546875","651.5546875","651.5546875"
"5734400","655.6953125","655.6953125","655.6953125"
"5750784","670.4921875","670.4921875","670.4921875"
"5767168","681.8984375","681.8984375","681.8984375"
"5783552","672.78125","672.78125","672.78125"
"5799936","667.3046875","667.3046875","667.3046875"
"5816320","663.5859375","663.5859375","663.5859375"
"5832704","652.78125","652.78125","652.78125"
"5849088","639.46875","639.46875","639.46875"
"5865472","640.640625","640.640625","640.640625"
"5881856","625.484375","625.484375","625.484375"
"5898240","619.78125","619.78125","619.78125"
"5914624","603.03125","603.03125","603.03125"
"5931008","608.4921875","608.4921875","608.4921875"
"5947392","607.0703125","607.0703125","607.0703125"
"5963776","596.796875","596.796875","596.796875"
"5980160","595.1953125","595.1953125","595.1953125"
"5996544","599.6796875","599.6796875","599.6796875"
"6012928","599.90625","599.90625","599.90625"
"6029312","605.9296875","605.9296875","605.9296875"
"6045696","614.0234375","614.0234375","614.0234375"
"6062080","621.984375","621.984375","621.984375"
"6078464","632.5078125","632.5078125","632.5078125"
"6094848","628.0078125","628.0078125","628.0078125"
"6111232","624","624","624"
"6127616","614.921875","614.921875","614.921875"
"6144000","603.46875","603.46875","603.46875"
"6160384","596.484375","596.484375","596.484375"
"6176768","594.71875","594.71875","594.71875"
"6193152","604.8125","604.8125","604.8125"
"6209536","618.3359375","618.3359375","618.3359375"
"6225920","618.125","618.125","618.125"
"6242304","618.359375","618.359375","618.359375"
"6258688","615.390625","615.390625","615.390625"
"6275072","625.0625","625.0625","625.0625"
"6291456","625.2734375","625.2734375","625.2734375"
