"Step","TrajLen","Alien-v5 PPO NoisyNet - charts/traj_len__MIN","Alien-v5 PPO NoisyNet - charts/traj_len__MAX"
"2080768","513.8671875","513.8671875","513.8671875"
"2097152","518.171875","518.171875","518.171875"
"2113536","515.9609375","515.9609375","515.9609375"
"2129920","514.6171875","514.6171875","514.6171875"
"2146304","516.2734375","516.2734375","516.2734375"
"2162688","500.96875","500.96875","500.96875"
"2179072","506.578125","506.578125","506.578125"
"2195456","512.484375","512.484375","512.484375"
"2211840","499.1640625","499.1640625","499.1640625"
"2228224","497.7265625","497.7265625","497.7265625"
"2244608","486.296875","486.296875","486.296875"
"2260992","484.8828125","484.8828125","484.8828125"
"2277376","486.0625","486.0625","486.0625"
"2293760","486.4375","486.4375","486.4375"
"2310144","486.1640625","486.1640625","486.1640625"
"2326528","481.6953125","481.6953125","481.6953125"
"2342912","477.5625","477.5625","477.5625"
"2359296","481.2578125","481.2578125","481.2578125"
"2375680","497.5859375","497.5859375","497.5859375"
"2392064","507.203125","507.203125","507.203125"
"2408448","508.9921875","508.9921875","508.9921875"
"2424832","490.53125","490.53125","490.53125"
"2441216","489.65625","489.65625","489.65625"
"2457600","478.3046875","478.3046875","478.3046875"
"2473984","477.234375","477.234375","477.234375"
"2490368","474.3984375","474.3984375","474.3984375"
"2506752","477.6015625","477.6015625","477.6015625"
"2523136","475.0078125","475.0078125","475.0078125"
"2539520","479.03125","479.03125","479.03125"
"2555904","479.859375","479.859375","479.859375"
"2572288","485","485","485"
"2588672","492.2265625","492.2265625","492.2265625"
"2605056","488.6484375","488.6484375","488.6484375"
"2621440","497","497","497"
"2637824","490.65625","490.65625","490.65625"
"2654208","477.890625","477.890625","477.890625"
"2670592","476.0546875","476.0546875","476.0546875"
"2686976","478.6015625","478.6015625","478.6015625"
"2703360","480.25","480.25","480.25"
"2719744","491.484375","491.484375","491.484375"
"2736128","482.7421875","482.7421875","482.7421875"
"2752512","481.1640625","481.1640625","481.1640625"
"2768896","481.5390625","481.5390625","481.5390625"
"2785280","469.0859375","469.0859375","469.0859375"
"2801664","475.328125","475.328125","475.328125"
"2818048","468.59375","468.59375","468.59375"
"2834432","466.2734375","466.2734375","466.2734375"
"2850816","471.171875","471.171875","471.171875"
"2867200","467.4140625","467.4140625","467.4140625"
"2883584","472.5390625","472.5390625","472.5390625"
"2899968","468.875","468.875","468.875"
"2916352","466.4765625","466.4765625","466.4765625"
"2932736","467.5","467.5","467.5"
"2949120","467.1015625","467.1015625","467.1015625"
"2965504","472.4609375","472.4609375","472.4609375"
"2981888","464.34375","464.34375","464.34375"
"2998272","466.65625","466.65625","466.65625"
"3014656","471.1875","471.1875","471.1875"
"3031040","460.0078125","460.0078125","460.0078125"
"3047424","465.59375","465.59375","465.59375"
"3063808","463.34375","463.34375","463.34375"
"3080192","461.3359375","461.3359375","461.3359375"
"3096576","465.234375","465.234375","465.234375"
"3112960","466.7421875","466.7421875","466.7421875"
"3129344","480.140625","480.140625","480.140625"
"3145728","482.390625","482.390625","482.390625"
"3162112","479.2265625","479.2265625","479.2265625"
"3178496","462.3203125","462.3203125","462.3203125"
"3194880","469.9140625","469.9140625","469.9140625"
"3211264","467.9765625","467.9765625","467.9765625"
"3227648","480.2734375","480.2734375","480.2734375"
"3244032","470.6796875","470.6796875","470.6796875"
"3260416","472.5078125","472.5078125","472.5078125"
"3276800","478.1640625","478.1640625","478.1640625"
"3293184","484.6953125","484.6953125","484.6953125"
"3309568","508.46875","508.46875","508.46875"
"3325952","515.7421875","515.7421875","515.7421875"
"3342336","516.28125","516.28125","516.28125"
"3358720","521.203125","521.203125","521.203125"
"3375104","507.8671875","507.8671875","507.8671875"
"3391488","505.0078125","505.0078125","505.0078125"
"3407872","506.171875","506.171875","506.171875"
"3424256","487.203125","487.203125","487.203125"
"3440640","492.8515625","492.8515625","492.8515625"
"3457024","498.1015625","498.1015625","498.1015625"
"3473408","502.8828125","502.8828125","502.8828125"
"3489792","505.9140625","505.9140625","505.9140625"
"3506176","489.78125","489.78125","489.78125"
"3522560","477.171875","477.171875","477.171875"
"3538944","467.765625","467.765625","467.765625"
"3555328","467.28125","467.28125","467.28125"
"3571712","465.0390625","465.0390625","465.0390625"
"3588096","470.46875","470.46875","470.46875"
"3604480","479.9140625","479.9140625","479.9140625"
"3620864","480.515625","480.515625","480.515625"
"3637248","505.421875","505.421875","505.421875"
"3653632","491.640625","491.640625","491.640625"
"3670016","480.890625","480.890625","480.890625"
"3686400","481.6328125","481.6328125","481.6328125"
"3702784","472.9921875","472.9921875","472.9921875"
"3719168","476.8984375","476.8984375","476.8984375"
"3735552","478.84375","478.84375","478.84375"
"3751936","464.2890625","464.2890625","464.2890625"
"3768320","459.2109375","459.2109375","459.2109375"
"3784704","469.7109375","469.7109375","469.7109375"
"3801088","475.8203125","475.8203125","475.8203125"
"3817472","478.1484375","478.1484375","478.1484375"
"3833856","472.1484375","472.1484375","472.1484375"
"3850240","477.3125","477.3125","477.3125"
"3866624","498.7734375","498.7734375","498.7734375"
"3883008","501.734375","501.734375","501.734375"
"3899392","504.7734375","504.7734375","504.7734375"
"3915776","502.125","502.125","502.125"
"3932160","486.5546875","486.5546875","486.5546875"
"3948544","480.78125","480.78125","480.78125"
"3964928","501.4375","501.4375","501.4375"
"3981312","516.109375","516.109375","516.109375"
"3997696","513.5625","513.5625","513.5625"
"4014080","506.09375","506.09375","506.09375"
"4030464","488.2109375","488.2109375","488.2109375"
"4046848","480.6875","480.6875","480.6875"
"4063232","481.5703125","481.5703125","481.5703125"
"4079616","497.421875","497.421875","497.421875"
"4096000","496.734375","496.734375","496.734375"
"4112384","490.1875","490.1875","490.1875"
"4128768","478.3046875","478.3046875","478.3046875"
"4145152","468.6796875","468.6796875","468.6796875"
"4161536","468.4765625","468.4765625","468.4765625"
"4177920","470.8359375","470.8359375","470.8359375"
"4194304","472.96875","472.96875","472.96875"
"4210688","477.53125","477.53125","477.53125"
"4227072","477.84375","477.84375","477.84375"
"4243456","496.4609375","496.4609375","496.4609375"
"4259840","491.2109375","491.2109375","491.2109375"
"4276224","499.328125","499.328125","499.328125"
"4292608","487.3671875","487.3671875","487.3671875"
"4308992","475.2890625","475.2890625","475.2890625"
"4325376","485.0859375","485.0859375","485.0859375"
"4341760","492.828125","492.828125","492.828125"
"4358144","507.0703125","507.0703125","507.0703125"
"4374528","503.2421875","503.2421875","503.2421875"
"4390912","485.0546875","485.0546875","485.0546875"
"4407296","479.515625","479.515625","479.515625"
"4423680","478.453125","478.453125","478.453125"
"4440064","483.6484375","483.6484375","483.6484375"
"4456448","497.8828125","497.8828125","497.8828125"
"4472832","496.25","496.25","496.25"
"4489216","487.2265625","487.2265625","487.2265625"
"4505600","493.203125","493.203125","493.203125"
"4521984","478.5078125","478.5078125","478.5078125"
