"Step","TrajLen","Alien-v5__bootstrapRLE - charts/traj_len__MIN","Alien-v5__bootstrapRLE - charts/traj_len__MAX"
"2097152","742.1796875","742.1796875","742.1796875"
"2113536","734.8203125","734.8203125","734.8203125"
"2129920","743.0390625","743.0390625","743.0390625"
"2146304","735.1015625","735.1015625","735.1015625"
"2162688","739.359375","739.359375","739.359375"
"2179072","722.7421875","722.7421875","722.7421875"
"2195456","722.7421875","722.7421875","722.7421875"
"2211840","719.7109375","719.7109375","719.7109375"
"2228224","722.828125","722.828125","722.828125"
"2244608","713.3671875","713.3671875","713.3671875"
"2260992","707.0546875","707.0546875","707.0546875"
"2277376","725.125","725.125","725.125"
"2293760","719.796875","719.796875","719.796875"
"2310144","725.53125","725.53125","725.53125"
"2326528","734.90625","734.90625","734.90625"
"2342912","739.4609375","739.4609375","739.4609375"
"2359296","738.234375","738.234375","738.234375"
"2375680","734.34375","734.34375","734.34375"
"2392064","744.6796875","744.6796875","744.6796875"
"2408448","741.390625","741.390625","741.390625"
"2424832","742.1953125","742.1953125","742.1953125"
"2441216","742.3828125","742.3828125","742.3828125"
"2457600","750.2734375","750.2734375","750.2734375"
"2473984","752.328125","752.328125","752.328125"
"2490368","747.90625","747.90625","747.90625"
"2506752","755.25","755.25","755.25"
"2523136","752.6171875","752.6171875","752.6171875"
"2539520","762.875","762.875","762.875"
"2555904","755.3828125","755.3828125","755.3828125"
"2572288","755.859375","755.859375","755.859375"
"2588672","760.109375","760.109375","760.109375"
"2605056","762.1796875","762.1796875","762.1796875"
"2621440","739.3359375","739.3359375","739.3359375"
"2637824","730.875","730.875","730.875"
"2654208","739.578125","739.578125","739.578125"
"2670592","745.3828125","745.3828125","745.3828125"
"2686976","759.109375","759.109375","759.109375"
"2703360","744.9296875","744.9296875","744.9296875"
"2719744","762.578125","762.578125","762.578125"
"2736128","770.25","770.25","770.25"
"2752512","760.2578125","760.2578125","760.2578125"
"2768896","758.4609375","758.4609375","758.4609375"
"2785280","748.7890625","748.7890625","748.7890625"
"2801664","758.4609375","758.4609375","758.4609375"
"2818048","757.875","757.875","757.875"
"2834432","751.3828125","751.3828125","751.3828125"
"2850816","755.359375","755.359375","755.359375"
"2867200","766.09375","766.09375","766.09375"
"2883584","772.9453125","772.9453125","772.9453125"
"2899968","768.4375","768.4375","768.4375"
"2916352","760.796875","760.796875","760.796875"
"2932736","769.4375","769.4375","769.4375"
"2949120","784.296875","784.296875","784.296875"
"2965504","769.796875","769.796875","769.796875"
"2981888","760.171875","760.171875","760.171875"
"2998272","760.0625","760.0625","760.0625"
"3014656","767.5390625","767.5390625","767.5390625"
"3031040","763.3671875","763.3671875","763.3671875"
"3047424","755","755","755"
"3063808","754.9375","754.9375","754.9375"
"3080192","763.4453125","763.4453125","763.4453125"
"3096576","768.0703125","768.0703125","768.0703125"
"3112960","761.9765625","761.9765625","761.9765625"
"3129344","752.953125","752.953125","752.953125"
"3145728","750.3515625","750.3515625","750.3515625"
"3162112","750.328125","750.328125","750.328125"
"3178496","747.6484375","747.6484375","747.6484375"
"3194880","735.875","735.875","735.875"
"3211264","763.609375","763.609375","763.609375"
"3227648","776.8515625","776.8515625","776.8515625"
"3244032","775.59375","775.59375","775.59375"
"3260416","785.9140625","785.9140625","785.9140625"
"3276800","778.46875","778.46875","778.46875"
"3293184","781.5078125","781.5078125","781.5078125"
"3309568","779.1484375","779.1484375","779.1484375"
"3325952","778.9765625","778.9765625","778.9765625"
"3342336","769.5234375","769.5234375","769.5234375"
"3358720","752.8125","752.8125","752.8125"
"3375104","764.765625","764.765625","764.765625"
"3391488","768.890625","768.890625","768.890625"
"3407872","752.09375","752.09375","752.09375"
"3424256","752.2578125","752.2578125","752.2578125"
"3440640","756.2578125","756.2578125","756.2578125"
"3457024","765.921875","765.921875","765.921875"
"3473408","753.8828125","753.8828125","753.8828125"
"3489792","741.5078125","741.5078125","741.5078125"
"3506176","734.5703125","734.5703125","734.5703125"
"3522560","730.5078125","730.5078125","730.5078125"
"3538944","730.7890625","730.7890625","730.7890625"
"3555328","728.3203125","728.3203125","728.3203125"
"3571712","741.140625","741.140625","741.140625"
"3588096","742.0625","742.0625","742.0625"
"3604480","748.875","748.875","748.875"
"3620864","754.21875","754.21875","754.21875"
"3637248","755.171875","755.171875","755.171875"
"3653632","751.7421875","751.7421875","751.7421875"
"3670016","737.828125","737.828125","737.828125"
"3686400","746.234375","746.234375","746.234375"
"3702784","746.4921875","746.4921875","746.4921875"
"3719168","728.5703125","728.5703125","728.5703125"
"3735552","739.2265625","739.2265625","739.2265625"
"3751936","732.6796875","732.6796875","732.6796875"
"3768320","741.2734375","741.2734375","741.2734375"
"3784704","739.25","739.25","739.25"
"3801088","744.921875","744.921875","744.921875"
"3817472","735.234375","735.234375","735.234375"
"3833856","733.4296875","733.4296875","733.4296875"
"3850240","715.4921875","715.4921875","715.4921875"
"3866624","716.8203125","716.8203125","716.8203125"
"3883008","714.265625","714.265625","714.265625"
"3899392","714.3125","714.3125","714.3125"
"3915776","726.1484375","726.1484375","726.1484375"
"3932160","737.2109375","737.2109375","737.2109375"
"3948544","748.8203125","748.8203125","748.8203125"
"3964928","744.546875","744.546875","744.546875"
"3981312","749.40625","749.40625","749.40625"
"3997696","746.8671875","746.8671875","746.8671875"
"4014080","744.8046875","744.8046875","744.8046875"
"4030464","732.734375","732.734375","732.734375"
"4046848","722.890625","722.890625","722.890625"
"4063232","731.71875","731.71875","731.71875"
"4079616","732.1640625","732.1640625","732.1640625"
"4096000","734.375","734.375","734.375"
"4112384","740.703125","740.703125","740.703125"
"4128768","754.2265625","754.2265625","754.2265625"
"4145152","752.125","752.125","752.125"
"4161536","756.6640625","756.6640625","756.6640625"
"4177920","765.4765625","765.4765625","765.4765625"
"4194304","762.796875","762.796875","762.796875"
"4210688","757.0078125","757.0078125","757.0078125"
"4227072","768.140625","768.140625","768.140625"
"4243456","775.0390625","775.0390625","775.0390625"
"4259840","769.9921875","769.9921875","769.9921875"
"4276224","773.078125","773.078125","773.078125"
"4292608","763.2890625","763.2890625","763.2890625"
"4308992","766.0078125","766.0078125","766.0078125"
"4325376","747.5859375","747.5859375","747.5859375"
"4341760","756.4765625","756.4765625","756.4765625"
"4358144","761.0078125","761.0078125","761.0078125"
"4374528","755.4453125","755.4453125","755.4453125"
"4390912","760.328125","760.328125","760.328125"
"4407296","769.109375","769.109375","769.109375"
"4423680","764.1953125","764.1953125","764.1953125"
"4440064","755.6484375","755.6484375","755.6484375"
"4456448","743.1015625","743.1015625","743.1015625"
"4472832","745.203125","745.203125","745.203125"
"4489216","745.4140625","745.4140625","745.4140625"
"4505600","752.375","752.375","752.375"
"4521984","767.203125","767.203125","767.203125"
"4538368","781.5625","781.5625","781.5625"
"4554752","786.390625","786.390625","786.390625"
"4571136","803","803","803"
"4587520","804.4296875","804.4296875","804.4296875"
"4603904","791.390625","791.390625","791.390625"
"4620288","785.859375","785.859375","785.859375"
"4636672","774.9140625","774.9140625","774.9140625"
"4653056","765.9296875","765.9296875","765.9296875"
"4669440","750.4453125","750.4453125","750.4453125"
"4685824","729.890625","729.890625","729.890625"
"4702208","736.3515625","736.3515625","736.3515625"
"4718592","731.8515625","731.8515625","731.8515625"
"4734976","734.6171875","734.6171875","734.6171875"
"4751360","744.1328125","744.1328125","744.1328125"
"4767744","753.859375","753.859375","753.859375"
"4784128","751.0859375","751.0859375","751.0859375"
"4800512","750.203125","750.203125","750.203125"
"4816896","747.703125","747.703125","747.703125"
"4833280","739.9296875","739.9296875","739.9296875"
"4849664","744.3125","744.3125","744.3125"
"4866048","750.4375","750.4375","750.4375"
"4882432","756.9140625","756.9140625","756.9140625"
"4898816","757.390625","757.390625","757.390625"
"4915200","770.46875","770.46875","770.46875"
"4931584","773.3125","773.3125","773.3125"
"4947968","773.90625","773.90625","773.90625"
"4964352","766.359375","766.359375","766.359375"
"4980736","777.046875","777.046875","777.046875"
"4997120","776.515625","776.515625","776.515625"
"5013504","770.65625","770.65625","770.65625"
"5029888","764.359375","764.359375","764.359375"
"5046272","766.5546875","766.5546875","766.5546875"
"5062656","777.2578125","777.2578125","777.2578125"
"5079040","763.3203125","763.3203125","763.3203125"
"5095424","770.0625","770.0625","770.0625"
"5111808","770.265625","770.265625","770.265625"
"5128192","775.8203125","775.8203125","775.8203125"
"5144576","774.8515625","774.8515625","774.8515625"
"5160960","777.9765625","777.9765625","777.9765625"
"5177344","786.8046875","786.8046875","786.8046875"
"5193728","788.6328125","788.6328125","788.6328125"
"5210112","791.4140625","791.4140625","791.4140625"
"5226496","805.1640625","805.1640625","805.1640625"
"5242880","813.1171875","813.1171875","813.1171875"
"5259264","824.1875","824.1875","824.1875"
"5275648","824.9140625","824.9140625","824.9140625"
"5292032","835.1328125","835.1328125","835.1328125"
"5308416","818.7890625","818.7890625","818.7890625"
"5324800","798.109375","798.109375","798.109375"
"5341184","796.859375","796.859375","796.859375"
"5357568","774.6484375","774.6484375","774.6484375"
"5373952","772.203125","772.203125","772.203125"
"5390336","766.4140625","766.4140625","766.4140625"
"5406720","774.1875","774.1875","774.1875"
"5423104","778.2734375","778.2734375","778.2734375"
"5439488","772.2734375","772.2734375","772.2734375"
"5455872","775.0703125","775.0703125","775.0703125"
"5472256","775.7734375","775.7734375","775.7734375"
"5488640","786.0546875","786.0546875","786.0546875"
"5505024","775.609375","775.609375","775.609375"
"5521408","790.6796875","790.6796875","790.6796875"
"5537792","793.75","793.75","793.75"
"5554176","805.671875","805.671875","805.671875"
"5570560","800.4765625","800.4765625","800.4765625"
"5586944","795.1640625","795.1640625","795.1640625"
"5603328","794.328125","794.328125","794.328125"
"5619712","799.8359375","799.8359375","799.8359375"
"5636096","791.4609375","791.4609375","791.4609375"
"5652480","784.125","784.125","784.125"
"5668864","786.03125","786.03125","786.03125"
"5685248","782.1796875","782.1796875","782.1796875"
"5701632","784.46875","784.46875","784.46875"
"5718016","793.09375","793.09375","793.09375"
"5734400","792.4921875","792.4921875","792.4921875"
"5750784","802.9140625","802.9140625","802.9140625"
"5767168","797.703125","797.703125","797.703125"
"5783552","797.7109375","797.7109375","797.7109375"
"5799936","809.34375","809.34375","809.34375"
"5816320","807.203125","807.203125","807.203125"
"5832704","816.6953125","816.6953125","816.6953125"
"5849088","812.0234375","812.0234375","812.0234375"
"5865472","812.6015625","812.6015625","812.6015625"
"5881856","817.0234375","817.0234375","817.0234375"
"5898240","815.0859375","815.0859375","815.0859375"
"5914624","809.921875","809.921875","809.921875"
"5931008","801.2890625","801.2890625","801.2890625"
"5947392","807.7421875","807.7421875","807.7421875"
"5963776","806.515625","806.515625","806.515625"
"5980160","800.5234375","800.5234375","800.5234375"
"5996544","815.6328125","815.6328125","815.6328125"
"6012928","818.1640625","818.1640625","818.1640625"
"6029312","815.0234375","815.0234375","815.0234375"
"6045696","811.3671875","811.3671875","811.3671875"
"6062080","806.265625","806.265625","806.265625"
"6078464","795.15625","795.15625","795.15625"
"6094848","787.4609375","787.4609375","787.4609375"
"6111232","784.296875","784.296875","784.296875"
"6127616","787.6875","787.6875","787.6875"
"6144000","797.5703125","797.5703125","797.5703125"
"6160384","806.5625","806.5625","806.5625"
"6176768","805.6328125","805.6328125","805.6328125"
"6193152","809.7109375","809.7109375","809.7109375"
"6209536","819.2421875","819.2421875","819.2421875"
"6225920","814.40625","814.40625","814.40625"
"6242304","816.4453125","816.4453125","816.4453125"
"6258688","813.0859375","813.0859375","813.0859375"
"6275072","822.3046875","822.3046875","822.3046875"
"6291456","818.15625","818.15625","818.15625"
"6307840","808.359375","808.359375","808.359375"
"6324224","808.0546875","808.0546875","808.0546875"
"6340608","810.5","810.5","810.5"
"6356992","812.890625","812.890625","812.890625"
"6373376","809.7265625","809.7265625","809.7265625"
"6389760","820.8125","820.8125","820.8125"
"6406144","836.5625","836.5625","836.5625"
