"Step","Score","Alien-v5__bootstrapRLE - charts/game_score__MIN","Alien-v5__bootstrapRLE - charts/game_score__MAX"
"2228224","599.921875","599.921875","599.921875"
"2244608","611.875","611.875","611.875"
"2260992","619.921875","619.921875","619.921875"
"2277376","626.796875","626.796875","626.796875"
"2293760","639.0625","639.0625","639.0625"
"2310144","642.578125","642.578125","642.578125"
"2326528","662.109375","662.109375","662.109375"
"2342912","674.140625","674.140625","674.140625"
"2359296","677.65625","677.65625","677.65625"
"2375680","684.375","684.375","684.375"
"2392064","691.71875","691.71875","691.71875"
"2408448","684.375","684.375","684.375"
"2424832","670.390625","670.390625","670.390625"
"2441216","660.46875","660.46875","660.46875"
"2457600","661.015625","661.015625","661.015625"
"2473984","655.234375","655.234375","655.234375"
"2490368","668.671875","668.671875","668.671875"
"2506752","688.515625","688.515625","688.515625"
"2523136","679.375","679.375","679.375"
"2539520","695.234375","695.234375","695.234375"
"2555904","711.5625","711.5625","711.5625"
"2572288","703.515625","703.515625","703.515625"
"2588672","695.859375","695.859375","695.859375"
"2605056","687.890625","687.890625","687.890625"
"2621440","690.46875","690.46875","690.46875"
"2637824","686.015625","686.015625","686.015625"
"2654208","682.34375","682.34375","682.34375"
"2670592","697.109375","697.109375","697.109375"
"2686976","722.578125","722.578125","722.578125"
"2703360","710.390625","710.390625","710.390625"
"2719744","720.9375","720.9375","720.9375"
"2736128","715","715","715"
"2752512","712.65625","712.65625","712.65625"
"2768896","719.84375","719.84375","719.84375"
"2785280","684.84375","684.84375","684.84375"
"2801664","688.4375","688.4375","688.4375"
"2818048","688.984375","688.984375","688.984375"
"2834432","703.203125","703.203125","703.203125"
"2850816","708.28125","708.28125","708.28125"
"2867200","697.1875","697.1875","697.1875"
"2883584","709.921875","709.921875","709.921875"
"2899968","709.0625","709.0625","709.0625"
"2916352","701.640625","701.640625","701.640625"
"2932736","693.671875","693.671875","693.671875"
"2949120","713.4375","713.4375","713.4375"
"2965504","725","725","725"
"2981888","719.609375","719.609375","719.609375"
"2998272","723.671875","723.671875","723.671875"
"3014656","715.15625","715.15625","715.15625"
"3031040","729.140625","729.140625","729.140625"
"3047424","707.265625","707.265625","707.265625"
"3063808","726.09375","726.09375","726.09375"
"3080192","732.421875","732.421875","732.421875"
"3096576","754.21875","754.21875","754.21875"
"3112960","774.609375","774.609375","774.609375"
"3129344","751.328125","751.328125","751.328125"
"3145728","753.203125","753.203125","753.203125"
"3162112","763.671875","763.671875","763.671875"
"3178496","748.828125","748.828125","748.828125"
"3194880","723.75","723.75","723.75"
"3211264","719.921875","719.921875","719.921875"
"3227648","711.5625","711.5625","711.5625"
"3244032","704.921875","704.921875","704.921875"
"3260416","714.765625","714.765625","714.765625"
"3276800","724.84375","724.84375","724.84375"
"3293184","771.484375","771.484375","771.484375"
"3309568","771.875","771.875","771.875"
"3325952","769.0625","769.0625","769.0625"
"3342336","788.203125","788.203125","788.203125"
"3358720","764.609375","764.609375","764.609375"
"3375104","782.1875","782.1875","782.1875"
"3391488","734.921875","734.921875","734.921875"
"3407872","720.3125","720.3125","720.3125"
"3424256","737.734375","737.734375","737.734375"
"3440640","719.296875","719.296875","719.296875"
"3457024","728.4375","728.4375","728.4375"
"3473408","693.59375","693.59375","693.59375"
"3489792","704.6875","704.6875","704.6875"
"3506176","708.828125","708.828125","708.828125"
"3522560","685.78125","685.78125","685.78125"
"3538944","678.75","678.75","678.75"
"3555328","688.125","688.125","688.125"
"3571712","705.390625","705.390625","705.390625"
"3588096","684.765625","684.765625","684.765625"
"3604480","694.84375","694.84375","694.84375"
"3620864","695.3125","695.3125","695.3125"
"3637248","708.4375","708.4375","708.4375"
"3653632","714.6875","714.6875","714.6875"
"3670016","711.71875","711.71875","711.71875"
"3686400","729.6875","729.6875","729.6875"
"3702784","738.90625","738.90625","738.90625"
"3719168","740.546875","740.546875","740.546875"
"3735552","743.75","743.75","743.75"
"3751936","743.59375","743.59375","743.59375"
"3768320","738.359375","738.359375","738.359375"
"3784704","747.109375","747.109375","747.109375"
"3801088","758.828125","758.828125","758.828125"
"3817472","762.65625","762.65625","762.65625"
"3833856","753.203125","753.203125","753.203125"
"3850240","742.96875","742.96875","742.96875"
"3866624","723.828125","723.828125","723.828125"
"3883008","722.734375","722.734375","722.734375"
"3899392","707.109375","707.109375","707.109375"
"3915776","710.703125","710.703125","710.703125"
"3932160","715.078125","715.078125","715.078125"
"3948544","709.84375","709.84375","709.84375"
"3964928","707.421875","707.421875","707.421875"
