"Step","Score","Alien-v5__atarienvpool_bootstrCI - charts/game_score__MIN","Alien-v5__atarienvpool_bootstrCI - charts/game_score__MAX"
"2228224","363.75","363.75","363.75"
"2244608","355.390625","355.390625","355.390625"
"2260992","352.421875","352.421875","352.421875"
"2277376","358.671875","358.671875","358.671875"
"2293760","375.390625","375.390625","375.390625"
"2310144","360.234375","360.234375","360.234375"
"2326528","366.328125","366.328125","366.328125"
"2342912","379.375","379.375","379.375"
"2359296","380.78125","380.78125","380.78125"
"2375680","363.046875","363.046875","363.046875"
"2392064","361.953125","361.953125","361.953125"
"2408448","357.109375","357.109375","357.109375"
"2424832","340.46875","340.46875","340.46875"
"2441216","330.9375","330.9375","330.9375"
"2457600","343.828125","343.828125","343.828125"
"2473984","340.46875","340.46875","340.46875"
"2490368","343.671875","343.671875","343.671875"
"2506752","350.9375","350.9375","350.9375"
"2523136","355.234375","355.234375","355.234375"
"2539520","360.3125","360.3125","360.3125"
"2555904","384.609375","384.609375","384.609375"
"2572288","378.515625","378.515625","378.515625"
"2588672","388.28125","388.28125","388.28125"
"2605056","412.421875","412.421875","412.421875"
"2621440","389.765625","389.765625","389.765625"
"2637824","386.015625","386.015625","386.015625"
"2654208","385","385","385"
"2670592","365.625","365.625","365.625"
"2686976","362.5","362.5","362.5"
"2703360","373.75","373.75","373.75"
"2719744","382.96875","382.96875","382.96875"
"2736128","383.125","383.125","383.125"
"2752512","400.234375","400.234375","400.234375"
"2768896","393.75","393.75","393.75"
"2785280","394.0625","394.0625","394.0625"
"2801664","399.453125","399.453125","399.453125"
"2818048","382.578125","382.578125","382.578125"
"2834432","382.96875","382.96875","382.96875"
"2850816","387.8125","387.8125","387.8125"
"2867200","378.828125","378.828125","378.828125"
"2883584","388.59375","388.59375","388.59375"
"2899968","401.171875","401.171875","401.171875"
"2916352","400.234375","400.234375","400.234375"
"2932736","410.390625","410.390625","410.390625"
"2949120","413.515625","413.515625","413.515625"
"2965504","408.046875","408.046875","408.046875"
"2981888","398.28125","398.28125","398.28125"
"2998272","392.734375","392.734375","392.734375"
"3014656","387.109375","387.109375","387.109375"
"3031040","388.59375","388.59375","388.59375"
"3047424","384.84375","384.84375","384.84375"
"3063808","378.984375","378.984375","378.984375"
"3080192","376.640625","376.640625","376.640625"
"3096576","379.140625","379.140625","379.140625"
"3112960","371.171875","371.171875","371.171875"
"3129344","360.78125","360.78125","360.78125"
"3145728","369.921875","369.921875","369.921875"
"3162112","376.875","376.875","376.875"
"3178496","377.734375","377.734375","377.734375"
"3194880","402.421875","402.421875","402.421875"
"3211264","435.625","435.625","435.625"
"3227648","473.203125","473.203125","473.203125"
"3244032","497.1875","497.1875","497.1875"
"3260416","525.3125","525.3125","525.3125"
"3276800","537.65625","537.65625","537.65625"
"3293184","533.984375","533.984375","533.984375"
"3309568","538.28125","538.28125","538.28125"
"3325952","513.671875","513.671875","513.671875"
"3342336","516.171875","516.171875","516.171875"
"3358720","509.609375","509.609375","509.609375"
"3375104","542.265625","542.265625","542.265625"
"3391488","560.390625","560.390625","560.390625"
"3407872","584.921875","584.921875","584.921875"
"3424256","582.734375","582.734375","582.734375"
"3440640","594.0625","594.0625","594.0625"
"3457024","596.484375","596.484375","596.484375"
"3473408","593.75","593.75","593.75"
"3489792","592.421875","592.421875","592.421875"
"3506176","608.984375","608.984375","608.984375"
"3522560","603.203125","603.203125","603.203125"
"3538944","593.046875","593.046875","593.046875"
"3555328","571.796875","571.796875","571.796875"
"3571712","599.6875","599.6875","599.6875"
"3588096","604.21875","604.21875","604.21875"
"3604480","610.15625","610.15625","610.15625"
"3620864","609.0625","609.0625","609.0625"
"3637248","621.40625","621.40625","621.40625"
"3653632","622.96875","622.96875","622.96875"
"3670016","600.46875","600.46875","600.46875"
"3686400","591.640625","591.640625","591.640625"
"3702784","574.921875","574.921875","574.921875"
"3719168","599.21875","599.21875","599.21875"
"3735552","589.296875","589.296875","589.296875"
"3751936","611.09375","611.09375","611.09375"
"3768320","604.53125","604.53125","604.53125"
"3784704","602.578125","602.578125","602.578125"
"3801088","577.109375","577.109375","577.109375"
"3817472","601.015625","601.015625","601.015625"
"3833856","628.4375","628.4375","628.4375"
"3850240","597.109375","597.109375","597.109375"
"3866624","585.15625","585.15625","585.15625"
"3883008","592.421875","592.421875","592.421875"
"3899392","616.953125","616.953125","616.953125"
"3915776","559.21875","559.21875","559.21875"
"3932160","568.59375","568.59375","568.59375"
"3948544","575.15625","575.15625","575.15625"
"3964928","571.796875","571.796875","571.796875"
"3981312","555.390625","555.390625","555.390625"
"3997696","549.609375","549.609375","549.609375"
"4014080","556.328125","556.328125","556.328125"
"4030464","559.53125","559.53125","559.53125"
"4046848","568.828125","568.828125","568.828125"
"4063232","583.28125","583.28125","583.28125"
"4079616","600.46875","600.46875","600.46875"
"4096000","599.140625","599.140625","599.140625"
"4112384","593.4375","593.4375","593.4375"
"4128768","602.421875","602.421875","602.421875"
"4145152","607.96875","607.96875","607.96875"
"4161536","598.75","598.75","598.75"
"4177920","611.71875","611.71875","611.71875"
"4194304","610.234375","610.234375","610.234375"
"4210688","626.71875","626.71875","626.71875"
"4227072","604.453125","604.453125","604.453125"
"4243456","602.96875","602.96875","602.96875"
"4259840","600.9375","600.9375","600.9375"
"4276224","620.390625","620.390625","620.390625"
"4292608","612.03125","612.03125","612.03125"
"4308992","613.75","613.75","613.75"
"4325376","616.015625","616.015625","616.015625"
"4341760","645.3125","645.3125","645.3125"
"4358144","638.515625","638.515625","638.515625"
"4374528","634.53125","634.53125","634.53125"
"4390912","658.90625","658.90625","658.90625"
"4407296","682.734375","682.734375","682.734375"
"4423680","678.828125","678.828125","678.828125"
"4440064","670.46875","670.46875","670.46875"
"4456448","687.1875","687.1875","687.1875"
"4472832","695.15625","695.15625","695.15625"
"4489216","668.90625","668.90625","668.90625"
"4505600","661.015625","661.015625","661.015625"
"4521984","654.84375","654.84375","654.84375"
"4538368","675.859375","675.859375","675.859375"
"4554752","656.09375","656.09375","656.09375"
"4571136","644.921875","644.921875","644.921875"
"4587520","643.515625","643.515625","643.515625"
