"Step","Score","Alien-v5__ppo_rnd_envpool - charts/game_score__MIN","Alien-v5__ppo_rnd_envpool - charts/game_score__MAX"
"2228224","289.921875","289.921875","289.921875"
"2244608","295.625","295.625","295.625"
"2260992","293.515625","293.515625","293.515625"
"2277376","284.453125","284.453125","284.453125"
"2293760","288.828125","288.828125","288.828125"
"2310144","285.625","285.625","285.625"
"2326528","288.90625","288.90625","288.90625"
"2342912","293.203125","293.203125","293.203125"
"2359296","294.84375","294.84375","294.84375"
"2375680","291.40625","291.40625","291.40625"
"2392064","284.53125","284.53125","284.53125"
"2408448","281.171875","281.171875","281.171875"
"2424832","277.734375","277.734375","277.734375"
"2441216","283.59375","283.59375","283.59375"
"2457600","288.28125","288.28125","288.28125"
"2473984","291.09375","291.09375","291.09375"
"2490368","291.5625","291.5625","291.5625"
"2506752","289.765625","289.765625","289.765625"
"2523136","283.671875","283.671875","283.671875"
"2539520","280.3125","280.3125","280.3125"
"2555904","278.515625","278.515625","278.515625"
"2572288","275.234375","275.234375","275.234375"
"2588672","275.78125","275.78125","275.78125"
"2605056","272.265625","272.265625","272.265625"
"2621440","280.15625","280.15625","280.15625"
"2637824","288.046875","288.046875","288.046875"
"2654208","294.296875","294.296875","294.296875"
"2670592","294.296875","294.296875","294.296875"
"2686976","294.140625","294.140625","294.140625"
"2703360","286.796875","286.796875","286.796875"
"2719744","288.28125","288.28125","288.28125"
"2736128","286.796875","286.796875","286.796875"
"2752512","285.859375","285.859375","285.859375"
"2768896","283.125","283.125","283.125"
"2785280","284.21875","284.21875","284.21875"
"2801664","277.109375","277.109375","277.109375"
"2818048","280.3125","280.3125","280.3125"
"2834432","282.734375","282.734375","282.734375"
"2850816","284.375","284.375","284.375"
"2867200","287.8125","287.8125","287.8125"
"2883584","292.96875","292.96875","292.96875"
"2899968","287.1875","287.1875","287.1875"
"2916352","284.84375","284.84375","284.84375"
"2932736","277.734375","277.734375","277.734375"
"2949120","274.375","274.375","274.375"
"2965504","276.328125","276.328125","276.328125"
"2981888","275.625","275.625","275.625"
"2998272","273.59375","273.59375","273.59375"
"3014656","280.390625","280.390625","280.390625"
"3031040","277.890625","277.890625","277.890625"
"3047424","277.5","277.5","277.5"
