"Step","Score","Alien-v5 PPO NoisyNet - charts/game_score__MIN","Alien-v5 PPO NoisyNet - charts/game_score__MAX"
"2228224","309.21875","309.21875","309.21875"
"2244608","303.671875","303.671875","303.671875"
"2260992","304.140625","304.140625","304.140625"
"2277376","299.53125","299.53125","299.53125"
"2293760","303.4375","303.4375","303.4375"
"2310144","303.984375","303.984375","303.984375"
"2326528","305","305","305"
"2342912","311.875","311.875","311.875"
"2359296","301.484375","301.484375","301.484375"
"2375680","307.578125","307.578125","307.578125"
"2392064","306.171875","306.171875","306.171875"
"2408448","299.84375","299.84375","299.84375"
"2424832","293.90625","293.90625","293.90625"
"2441216","292.96875","292.96875","292.96875"
"2457600","287.5","287.5","287.5"
"2473984","287.265625","287.265625","287.265625"
"2490368","292.34375","292.34375","292.34375"
"2506752","300.15625","300.15625","300.15625"
"2523136","301.25","301.25","301.25"
"2539520","306.25","306.25","306.25"
"2555904","306.640625","306.640625","306.640625"
"2572288","305.390625","305.390625","305.390625"
"2588672","305.9375","305.9375","305.9375"
"2605056","305.78125","305.78125","305.78125"
"2621440","307.265625","307.265625","307.265625"
"2637824","306.09375","306.09375","306.09375"
"2654208","305.78125","305.78125","305.78125"
"2670592","306.953125","306.953125","306.953125"
"2686976","308.125","308.125","308.125"
"2703360","308.671875","308.671875","308.671875"
"2719744","313.984375","313.984375","313.984375"
"2736128","311.328125","311.328125","311.328125"
"2752512","309.140625","309.140625","309.140625"
"2768896","302.578125","302.578125","302.578125"
"2785280","293.90625","293.90625","293.90625"
"2801664","296.5625","296.5625","296.5625"
"2818048","292.65625","292.65625","292.65625"
"2834432","292.96875","292.96875","292.96875"
"2850816","300.625","300.625","300.625"
"2867200","302.421875","302.421875","302.421875"
"2883584","305.546875","305.546875","305.546875"
"2899968","310.78125","310.78125","310.78125"
"2916352","305.625","305.625","305.625"
"2932736","313.984375","313.984375","313.984375"
"2949120","314.6875","314.6875","314.6875"
"2965504","311.71875","311.71875","311.71875"
"2981888","303.28125","303.28125","303.28125"
"2998272","302.8125","302.8125","302.8125"
"3014656","301.796875","301.796875","301.796875"
"3031040","306.09375","306.09375","306.09375"
"3047424","313.828125","313.828125","313.828125"
"3063808","312.34375","312.34375","312.34375"
"3080192","313.828125","313.828125","313.828125"
"3096576","312.109375","312.109375","312.109375"
"3112960","310.9375","310.9375","310.9375"
"3129344","305.9375","305.9375","305.9375"
"3145728","308.28125","308.28125","308.28125"
"3162112","307.34375","307.34375","307.34375"
"3178496","300","300","300"
"3194880","310.78125","310.78125","310.78125"
"3211264","308.515625","308.515625","308.515625"
"3227648","317.421875","317.421875","317.421875"
"3244032","320.15625","320.15625","320.15625"
"3260416","317.109375","317.109375","317.109375"
"3276800","323.671875","323.671875","323.671875"
"3293184","319.53125","319.53125","319.53125"
"3309568","323.28125","323.28125","323.28125"
"3325952","329.6875","329.6875","329.6875"
"3342336","333.203125","333.203125","333.203125"
"3358720","337.578125","337.578125","337.578125"
"3375104","334.84375","334.84375","334.84375"
"3391488","329.921875","329.921875","329.921875"
"3407872","331.171875","331.171875","331.171875"
"3424256","323.828125","323.828125","323.828125"
