"Step","Entropy","Alien-v5__bootstrapRLE - losses/entropy__MIN","Alien-v5__bootstrapRLE - losses/entropy__MAX"
"16384","2.890211582183838","2.890211582183838","2.890211582183838"
"32768","2.886563777923584","2.886563777923584","2.886563777923584"
"49152","2.881627082824707","2.881627082824707","2.881627082824707"
"65536","2.8715457916259766","2.8715457916259766","2.8715457916259766"
"81920","2.8681843280792236","2.8681843280792236","2.8681843280792236"
"98304","2.860260009765625","2.860260009765625","2.860260009765625"
"114688","2.855471611022949","2.855471611022949","2.855471611022949"
"131072","2.843212842941284","2.843212842941284","2.843212842941284"
"147456","2.8356704711914062","2.8356704711914062","2.8356704711914062"
"163840","2.8121337890625","2.8121337890625","2.8121337890625"
"180224","2.7968738079071045","2.7968738079071045","2.7968738079071045"
"196608","2.7985785007476807","2.7985785007476807","2.7985785007476807"
"212992","2.789794921875","2.789794921875","2.789794921875"
"229376","2.777089834213257","2.777089834213257","2.777089834213257"
"245760","2.7416720390319824","2.7416720390319824","2.7416720390319824"
"262144","2.7698206901550293","2.7698206901550293","2.7698206901550293"
"278528","2.7615151405334473","2.7615151405334473","2.7615151405334473"
"294912","2.7535364627838135","2.7535364627838135","2.7535364627838135"
"311296","2.760488510131836","2.760488510131836","2.760488510131836"
"327680","2.7507059574127197","2.7507059574127197","2.7507059574127197"
"344064","2.7410237789154053","2.7410237789154053","2.7410237789154053"
"360448","2.727268695831299","2.727268695831299","2.727268695831299"
"376832","2.702401638031006","2.702401638031006","2.702401638031006"
"393216","2.700092315673828","2.700092315673828","2.700092315673828"
"409600","2.6717894077301025","2.6717894077301025","2.6717894077301025"
"425984","2.703671932220459","2.703671932220459","2.703671932220459"
"442368","2.686307430267334","2.686307430267334","2.686307430267334"
"458752","2.7001028060913086","2.7001028060913086","2.7001028060913086"
"475136","2.6874663829803467","2.6874663829803467","2.6874663829803467"
"491520","2.6738932132720947","2.6738932132720947","2.6738932132720947"
"507904","2.693113327026367","2.693113327026367","2.693113327026367"
"524288","2.6866817474365234","2.6866817474365234","2.6866817474365234"
"540672","2.6722278594970703","2.6722278594970703","2.6722278594970703"
"557056","2.648632049560547","2.648632049560547","2.648632049560547"
"573440","2.63852596282959","2.63852596282959","2.63852596282959"
"589824","2.6421029567718506","2.6421029567718506","2.6421029567718506"
"606208","2.606962203979492","2.606962203979492","2.606962203979492"
"622592","2.607748508453369","2.607748508453369","2.607748508453369"
"638976","2.5853443145751953","2.5853443145751953","2.5853443145751953"
"655360","2.575039863586426","2.575039863586426","2.575039863586426"
"671744","2.5678553581237793","2.5678553581237793","2.5678553581237793"
"688128","2.526136875152588","2.526136875152588","2.526136875152588"
"704512","2.5303750038146973","2.5303750038146973","2.5303750038146973"
"720896","2.5290932655334473","2.5290932655334473","2.5290932655334473"
"737280","2.5435612201690674","2.5435612201690674","2.5435612201690674"
"753664","2.551267147064209","2.551267147064209","2.551267147064209"
"770048","2.513681650161743","2.513681650161743","2.513681650161743"
"786432","2.479494571685791","2.479494571685791","2.479494571685791"
"802816","2.5390095710754395","2.5390095710754395","2.5390095710754395"
"819200","2.5036354064941406","2.5036354064941406","2.5036354064941406"
"835584","2.4892959594726562","2.4892959594726562","2.4892959594726562"
"851968","2.43861722946167","2.43861722946167","2.43861722946167"
"868352","2.4390881061553955","2.4390881061553955","2.4390881061553955"
"884736","2.427003860473633","2.427003860473633","2.427003860473633"
