"Step","Entropy","Alien-v5__atarienvpool_bootstrCI - losses/entropy__MIN","Alien-v5__atarienvpool_bootstrCI - losses/entropy__MAX"
"16384","2.8903703689575195","2.8903703689575195","2.8903703689575195"
"32768","2.890275716781616","2.890275716781616","2.890275716781616"
"49152","2.8884851932525635","2.8884851932525635","2.8884851932525635"
"65536","2.8826375007629395","2.8826375007629395","2.8826375007629395"
"81920","2.8754637241363525","2.8754637241363525","2.8754637241363525"
"98304","2.868589401245117","2.868589401245117","2.868589401245117"
"114688","2.8568522930145264","2.8568522930145264","2.8568522930145264"
"131072","2.841758966445923","2.841758966445923","2.841758966445923"
"147456","2.8282203674316406","2.8282203674316406","2.8282203674316406"
"163840","2.813812255859375","2.813812255859375","2.813812255859375"
"180224","2.8005807399749756","2.8005807399749756","2.8005807399749756"
"196608","2.7857227325439453","2.7857227325439453","2.7857227325439453"
"212992","2.777000904083252","2.777000904083252","2.777000904083252"
"229376","2.756572961807251","2.756572961807251","2.756572961807251"
"245760","2.735262155532837","2.735262155532837","2.735262155532837"
"262144","2.7359459400177","2.7359459400177","2.7359459400177"
"278528","2.7261552810668945","2.7261552810668945","2.7261552810668945"
"294912","2.713301181793213","2.713301181793213","2.713301181793213"
"311296","2.695521116256714","2.695521116256714","2.695521116256714"
"327680","2.688711166381836","2.688711166381836","2.688711166381836"
"344064","2.672152042388916","2.672152042388916","2.672152042388916"
"360448","2.660205364227295","2.660205364227295","2.660205364227295"
"376832","2.626338243484497","2.626338243484497","2.626338243484497"
"393216","2.608046531677246","2.608046531677246","2.608046531677246"
"409600","2.596468925476074","2.596468925476074","2.596468925476074"
"425984","2.5732240676879883","2.5732240676879883","2.5732240676879883"
"442368","2.5705978870391846","2.5705978870391846","2.5705978870391846"
"458752","2.529057025909424","2.529057025909424","2.529057025909424"
"475136","2.543349266052246","2.543349266052246","2.543349266052246"
"491520","2.5437910556793213","2.5437910556793213","2.5437910556793213"
"507904","2.524631977081299","2.524631977081299","2.524631977081299"
"524288","2.4845638275146484","2.4845638275146484","2.4845638275146484"
"540672","2.4610962867736816","2.4610962867736816","2.4610962867736816"
"557056","2.4467406272888184","2.4467406272888184","2.4467406272888184"
"573440","2.470327854156494","2.470327854156494","2.470327854156494"
"589824","2.4534852504730225","2.4534852504730225","2.4534852504730225"
"606208","2.4236390590667725","2.4236390590667725","2.4236390590667725"
"622592","2.382333278656006","2.382333278656006","2.382333278656006"
"638976","2.381826400756836","2.381826400756836","2.381826400756836"
"655360","2.4134159088134766","2.4134159088134766","2.4134159088134766"
"671744","2.400425672531128","2.400425672531128","2.400425672531128"
"688128","2.380303382873535","2.380303382873535","2.380303382873535"
"704512","2.4166274070739746","2.4166274070739746","2.4166274070739746"
"720896","2.4234986305236816","2.4234986305236816","2.4234986305236816"
"737280","2.453521490097046","2.453521490097046","2.453521490097046"
"753664","2.46834659576416","2.46834659576416","2.46834659576416"
"770048","2.4976425170898438","2.4976425170898438","2.4976425170898438"
"786432","2.5038185119628906","2.5038185119628906","2.5038185119628906"
"802816","2.4679934978485107","2.4679934978485107","2.4679934978485107"
"819200","2.4857664108276367","2.4857664108276367","2.4857664108276367"
"835584","2.496154308319092","2.496154308319092","2.496154308319092"
"851968","2.4622998237609863","2.4622998237609863","2.4622998237609863"
"868352","2.4306132793426514","2.4306132793426514","2.4306132793426514"
"884736","2.4720664024353027","2.4720664024353027","2.4720664024353027"
"901120","2.448227882385254","2.448227882385254","2.448227882385254"
"917504","2.443782329559326","2.443782329559326","2.443782329559326"
"933888","2.4195969104766846","2.4195969104766846","2.4195969104766846"
"950272","2.3884477615356445","2.3884477615356445","2.3884477615356445"
"966656","2.407564163208008","2.407564163208008","2.407564163208008"
"983040","2.383070468902588","2.383070468902588","2.383070468902588"
"999424","2.3973727226257324","2.3973727226257324","2.3973727226257324"
"1015808","2.3752057552337646","2.3752057552337646","2.3752057552337646"
"1032192","2.342180013656616","2.342180013656616","2.342180013656616"
"1048576","2.3451080322265625","2.3451080322265625","2.3451080322265625"
"1064960","2.3550987243652344","2.3550987243652344","2.3550987243652344"
"1081344","2.3955514430999756","2.3955514430999756","2.3955514430999756"
"1097728","2.3656110763549805","2.3656110763549805","2.3656110763549805"
"1114112","2.3553619384765625","2.3553619384765625","2.3553619384765625"
"1130496","2.3474197387695312","2.3474197387695312","2.3474197387695312"
"1146880","2.348027467727661","2.348027467727661","2.348027467727661"
"1163264","2.377763032913208","2.377763032913208","2.377763032913208"
"1179648","2.388136386871338","2.388136386871338","2.388136386871338"
"1196032","2.3902623653411865","2.3902623653411865","2.3902623653411865"
"1212416","2.4114365577697754","2.4114365577697754","2.4114365577697754"
"1228800","2.377784252166748","2.377784252166748","2.377784252166748"
"1245184","2.405719757080078","2.405719757080078","2.405719757080078"
"1261568","2.408022880554199","2.408022880554199","2.408022880554199"
"1277952","2.3846607208251953","2.3846607208251953","2.3846607208251953"
"1294336","2.4050073623657227","2.4050073623657227","2.4050073623657227"
"1310720","2.360611915588379","2.360611915588379","2.360611915588379"
"1327104","2.4537713527679443","2.4537713527679443","2.4537713527679443"
"1343488","2.387801170349121","2.387801170349121","2.387801170349121"
"1359872","2.4283885955810547","2.4283885955810547","2.4283885955810547"
"1376256","2.4130287170410156","2.4130287170410156","2.4130287170410156"
"1392640","2.3289237022399902","2.3289237022399902","2.3289237022399902"
"1409024","2.348592519760132","2.348592519760132","2.348592519760132"
"1425408","2.3700735569000244","2.3700735569000244","2.3700735569000244"
"1441792","2.378261089324951","2.378261089324951","2.378261089324951"
"1458176","2.4099888801574707","2.4099888801574707","2.4099888801574707"
"1474560","2.380157947540283","2.380157947540283","2.380157947540283"
"1490944","2.3907806873321533","2.3907806873321533","2.3907806873321533"
"1507328","2.3472900390625","2.3472900390625","2.3472900390625"
"1523712","2.4013195037841797","2.4013195037841797","2.4013195037841797"
"1540096","2.4527714252471924","2.4527714252471924","2.4527714252471924"
"1556480","2.4651780128479004","2.4651780128479004","2.4651780128479004"
"1572864","2.500905990600586","2.500905990600586","2.500905990600586"
"1589248","2.489956855773926","2.489956855773926","2.489956855773926"
"1605632","2.4754104614257812","2.4754104614257812","2.4754104614257812"
"1622016","2.441563844680786","2.441563844680786","2.441563844680786"
"1638400","2.428795099258423","2.428795099258423","2.428795099258423"
"1654784","2.488696336746216","2.488696336746216","2.488696336746216"
"1671168","2.3915953636169434","2.3915953636169434","2.3915953636169434"
"1687552","2.440998077392578","2.440998077392578","2.440998077392578"
"1703936","2.438581705093384","2.438581705093384","2.438581705093384"
"1720320","2.3855538368225098","2.3855538368225098","2.3855538368225098"
"1736704","2.4010443687438965","2.4010443687438965","2.4010443687438965"
"1753088","2.4525012969970703","2.4525012969970703","2.4525012969970703"
"1769472","2.3830275535583496","2.3830275535583496","2.3830275535583496"
"1785856","2.3476901054382324","2.3476901054382324","2.3476901054382324"
"1802240","2.348440408706665","2.348440408706665","2.348440408706665"
