"Step","Entropy","Alien-v5 PPO NoisyNet - losses/entropy__MIN","Alien-v5 PPO NoisyNet - losses/entropy__MAX"
"16384","2.8901662826538086","2.8901662826538086","2.8901662826538086"
"32768","2.89016056060791","2.89016056060791","2.89016056060791"
"49152","2.890190601348877","2.890190601348877","2.890190601348877"
"65536","2.8901774883270264","2.8901774883270264","2.8901774883270264"
"81920","2.8902437686920166","2.8902437686920166","2.8902437686920166"
"98304","2.8901185989379883","2.8901185989379883","2.8901185989379883"
"114688","2.8898017406463623","2.8898017406463623","2.8898017406463623"
"131072","2.889786720275879","2.889786720275879","2.889786720275879"
"147456","2.888512134552002","2.888512134552002","2.888512134552002"
"163840","2.8861331939697266","2.8861331939697266","2.8861331939697266"
"180224","2.8848166465759277","2.8848166465759277","2.8848166465759277"
"196608","2.8830795288085938","2.8830795288085938","2.8830795288085938"
"212992","2.8779098987579346","2.8779098987579346","2.8779098987579346"
"229376","2.871997117996216","2.871997117996216","2.871997117996216"
"245760","2.8644797801971436","2.8644797801971436","2.8644797801971436"
"262144","2.85715913772583","2.85715913772583","2.85715913772583"
"278528","2.846747398376465","2.846747398376465","2.846747398376465"
"294912","2.8434159755706787","2.8434159755706787","2.8434159755706787"
"311296","2.8346052169799805","2.8346052169799805","2.8346052169799805"
"327680","2.8397622108459473","2.8397622108459473","2.8397622108459473"
"344064","2.83660888671875","2.83660888671875","2.83660888671875"
"360448","2.8190977573394775","2.8190977573394775","2.8190977573394775"
"376832","2.813791275024414","2.813791275024414","2.813791275024414"
"393216","2.814952850341797","2.814952850341797","2.814952850341797"
"409600","2.8055381774902344","2.8055381774902344","2.8055381774902344"
"425984","2.776583194732666","2.776583194732666","2.776583194732666"
"442368","2.7705087661743164","2.7705087661743164","2.7705087661743164"
"458752","2.7613086700439453","2.7613086700439453","2.7613086700439453"
"475136","2.74174165725708","2.74174165725708","2.74174165725708"
"491520","2.7478880882263184","2.7478880882263184","2.7478880882263184"
"507904","2.720460891723633","2.720460891723633","2.720460891723633"
"524288","2.6972641944885254","2.6972641944885254","2.6972641944885254"
"540672","2.6803712844848633","2.6803712844848633","2.6803712844848633"
"557056","2.6817173957824707","2.6817173957824707","2.6817173957824707"
"573440","2.6303279399871826","2.6303279399871826","2.6303279399871826"
"589824","2.616687297821045","2.616687297821045","2.616687297821045"
"606208","2.6212515830993652","2.6212515830993652","2.6212515830993652"
"622592","2.568648338317871","2.568648338317871","2.568648338317871"
"638976","2.551677703857422","2.551677703857422","2.551677703857422"
"655360","2.4791808128356934","2.4791808128356934","2.4791808128356934"
"671744","2.4856014251708984","2.4856014251708984","2.4856014251708984"
"688128","2.4601941108703613","2.4601941108703613","2.4601941108703613"
"704512","2.4802744388580322","2.4802744388580322","2.4802744388580322"
"720896","2.476284980773926","2.476284980773926","2.476284980773926"
"737280","2.486577033996582","2.486577033996582","2.486577033996582"
"753664","2.4102587699890137","2.4102587699890137","2.4102587699890137"
"770048","2.4576361179351807","2.4576361179351807","2.4576361179351807"
"786432","2.397019863128662","2.397019863128662","2.397019863128662"
"802816","2.4846386909484863","2.4846386909484863","2.4846386909484863"
"819200","2.5214388370513916","2.5214388370513916","2.5214388370513916"
"835584","2.4537384510040283","2.4537384510040283","2.4537384510040283"
"851968","2.456970691680908","2.456970691680908","2.456970691680908"
"868352","2.4815773963928223","2.4815773963928223","2.4815773963928223"
"884736","2.4951868057250977","2.4951868057250977","2.4951868057250977"
"901120","2.4515929222106934","2.4515929222106934","2.4515929222106934"
"917504","2.4632339477539062","2.4632339477539062","2.4632339477539062"
"933888","2.5564827919006348","2.5564827919006348","2.5564827919006348"
"950272","2.4738388061523438","2.4738388061523438","2.4738388061523438"
"966656","2.439521312713623","2.439521312713623","2.439521312713623"
"983040","2.3751602172851562","2.3751602172851562","2.3751602172851562"
"999424","2.313546657562256","2.313546657562256","2.313546657562256"
"1015808","2.3308393955230713","2.3308393955230713","2.3308393955230713"
"1032192","2.241820812225342","2.241820812225342","2.241820812225342"
"1048576","2.264596462249756","2.264596462249756","2.264596462249756"
"1064960","2.1698875427246094","2.1698875427246094","2.1698875427246094"
"1081344","2.237534761428833","2.237534761428833","2.237534761428833"
